pathway	abundance	LIBID
FAO-PWY: fatty acid &beta;-oxidation I (generic)|unclassified	325.0937387007	MBM166
FAO-PWY: fatty acid &beta;-oxidation I (generic)|g__Klebsiella.s__Klebsiella_pneumoniae	160.0281588516	MBM166
FAO-PWY: fatty acid &beta;-oxidation I (generic)|g__Klebsiella.s__Klebsiella_quasipneumoniae	155.8615306895	MBM166
FAO-PWY: fatty acid &beta;-oxidation I (generic)|g__Escherichia.s__Escherichia_fergusonii	19.8751657723	MBM166
FERMENTATION-PWY: mixed acid fermentation	9707.5168709818	MBM166
FERMENTATION-PWY: mixed acid fermentation|g__Escherichia.s__Escherichia_coli	8206.3087624064	MBM166
FERMENTATION-PWY: mixed acid fermentation|unclassified	99.9038574239	MBM166
FERMENTATION-PWY: mixed acid fermentation|g__Klebsiella.s__Klebsiella_quasipneumoniae	74.9718236117	MBM166
FERMENTATION-PWY: mixed acid fermentation|g__Klebsiella.s__Klebsiella_pneumoniae	62.4235521907	MBM166
PWY-7094: fatty acid salvage	9056.1984604337	MBM166
PWY-7094: fatty acid salvage|g__Escherichia.s__Escherichia_coli	7886.9622690102	MBM166
PWY-7094: fatty acid salvage|unclassified	482.8539503911	MBM166
PWY-7094: fatty acid salvage|g__Klebsiella.s__Klebsiella_quasipneumoniae	170.0774369079	MBM166
PWY-7094: fatty acid salvage|g__Escherichia.s__Escherichia_fergusonii	3.3988007384	MBM166
PWY0-1337: oleate &beta;-oxidation	8760.7645625467	MBM166
PWY0-1337: oleate &beta;-oxidation|g__Escherichia.s__Escherichia_coli	7701.5076267776	MBM166
PWY0-1337: oleate &beta;-oxidation|unclassified	383.8141129376	MBM166
PWY0-1337: oleate &beta;-oxidation|g__Klebsiella.s__Klebsiella_quasipneumoniae	176.8663215666	MBM166
PWY0-1337: oleate &beta;-oxidation|g__Escherichia.s__Escherichia_fergusonii	8.5734166847	MBM166
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	8375.4322211717	MBM166
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|g__Escherichia.s__Escherichia_coli	7417.495740114	MBM166
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|unclassified	370.5021043822	MBM166
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|g__Klebsiella.s__Klebsiella_quasipneumoniae	155.0267854337	MBM166
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|g__Klebsiella.s__Klebsiella_pneumoniae	147.2509296832	MBM166
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|g__Escherichia.s__Escherichia_fergusonii	17.8458075606	MBM166
PWY0-862: (5Z)-dodecenoate biosynthesis I	7180.7905298181	MBM166
PWY0-862: (5Z)-dodecenoate biosynthesis I|g__Escherichia.s__Escherichia_coli	6706.3233679174	MBM166
PWY0-862: (5Z)-dodecenoate biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	330.1201635115	MBM166
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	22.4187809351	MBM166
PWY0-862: (5Z)-dodecenoate biosynthesis I|g__Escherichia.s__Escherichia_fergusonii	20.1727807477	MBM166
PWY0-862: (5Z)-dodecenoate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	5.5129288206	MBM166
FASYN-ELONG-PWY: fatty acid elongation -- saturated	6942.9717608775	MBM166
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Escherichia.s__Escherichia_coli	6413.0664870622	MBM166
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Klebsiella.s__Klebsiella_quasipneumoniae	215.4160368189	MBM166
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Staphylococcus.s__Staphylococcus_epidermidis	18.1126140374	MBM166
PWY-7664: oleate biosynthesis IV (anaerobic)	6646.676108442	MBM166
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Escherichia.s__Escherichia_coli	6151.1540495014	MBM166
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Klebsiella.s__Klebsiella_quasipneumoniae	221.9955360526	MBM166
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	6553.6311834529	MBM166
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)|g__Escherichia.s__Escherichia_coli	5235.3971090084	MBM166
PWY-5989: stearate biosynthesis II (bacteria and plants)	6121.5362973227	MBM166
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Escherichia.s__Escherichia_coli	5613.181452058	MBM166
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Klebsiella.s__Klebsiella_quasipneumoniae	159.8198028818	MBM166
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Staphylococcus.s__Staphylococcus_epidermidis	24.3822461727	MBM166
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Escherichia.s__Escherichia_fergusonii	3.4808322296	MBM166
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	6034.6589016789	MBM166
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Escherichia.s__Escherichia_coli	5561.437200695	MBM166
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Klebsiella.s__Klebsiella_quasipneumoniae	184.4720373165	MBM166
PWY-5973: cis-vaccenate biosynthesis	5495.4307510492	MBM166
PWY-5973: cis-vaccenate biosynthesis|g__Escherichia.s__Escherichia_coli	4867.226270906	MBM166
PWY-5973: cis-vaccenate biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	52.8423031832	MBM166
PWY-5973: cis-vaccenate biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	21.2480308477	MBM166
PWY-5973: cis-vaccenate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	14.4347618901	MBM166
PWY-5973: cis-vaccenate biosynthesis|g__Escherichia.s__Escherichia_fergusonii	13.265715661	MBM166
AST-PWY: L-arginine degradation II (AST pathway)	5394.2385610684	MBM166
AST-PWY: L-arginine degradation II (AST pathway)|g__Escherichia.s__Escherichia_coli	4999.3522182126	MBM166
AST-PWY: L-arginine degradation II (AST pathway)|unclassified	216.8104401026	MBM166
AST-PWY: L-arginine degradation II (AST pathway)|g__Klebsiella.s__Klebsiella_quasipneumoniae	52.84725917	MBM166
AST-PWY: L-arginine degradation II (AST pathway)|g__Klebsiella.s__Klebsiella_pneumoniae	14.4425245463	MBM166
AST-PWY: L-arginine degradation II (AST pathway)|g__Escherichia.s__Escherichia_fergusonii	3.0184696839	MBM166
PWY-7858: (5Z)-dodecenoate biosynthesis II	5282.1805288003	MBM166
PWY-7858: (5Z)-dodecenoate biosynthesis II|g__Escherichia.s__Escherichia_coli	4871.9916398859	MBM166
PWY-7858: (5Z)-dodecenoate biosynthesis II|g__Klebsiella.s__Klebsiella_quasipneumoniae	175.860696559	MBM166
PWY0-1296: purine ribonucleosides degradation	5244.2902529469	MBM166
PWY0-1296: purine ribonucleosides degradation|g__Escherichia.s__Escherichia_coli	2888.5100268477	MBM166
PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_pneumoniae	306.9074843253	MBM166
PWY0-1296: purine ribonucleosides degradation|unclassified	160.5281598512	MBM166
PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_quasipneumoniae	115.683578286	MBM166
PWY0-1296: purine ribonucleosides degradation|g__Escherichia.s__Escherichia_fergusonii	105.6193758467	MBM166
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	4992.2242024618	MBM166
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Escherichia.s__Escherichia_coli	3498.7218680019	MBM166
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	174.3115270619	MBM166
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Bacteroides.s__Bacteroides_fragilis	142.1405213075	MBM166
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Klebsiella.s__Klebsiella_quasipneumoniae	108.4933783552	MBM166
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	4952.7956216019	MBM166
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	2045.3929921924	MBM166
PWY-1042: glycolysis IV	4902.2168033478	MBM166
PWY-1042: glycolysis IV|g__Escherichia.s__Escherichia_coli	3525.5884683342	MBM166
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_fragilis	433.2468567906	MBM166
PWY-1042: glycolysis IV|g__Klebsiella.s__Klebsiella_quasipneumoniae	229.2759541177	MBM166
PWY-1042: glycolysis IV|unclassified	180.0634684283	MBM166
PWY-1042: glycolysis IV|g__Klebsiella.s__Klebsiella_pneumoniae	66.1383721598	MBM166
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_salivarius	19.3470312409	MBM166
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_pneumoniae	6.4377409006	MBM166
PWY-5484: glycolysis II (from fructose 6-phosphate)	4763.9699533849	MBM166
PWY-5484: glycolysis II (from fructose 6-phosphate)|g__Escherichia.s__Escherichia_coli	3001.7432144177	MBM166
PWY-5484: glycolysis II (from fructose 6-phosphate)|g__Bacteroides.s__Bacteroides_fragilis	158.0990349349	MBM166
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	134.7897833281	MBM166
PWY-5484: glycolysis II (from fructose 6-phosphate)|g__Klebsiella.s__Klebsiella_quasipneumoniae	82.3955445191	MBM166
GLUCONEO-PWY: gluconeogenesis I	4724.3441605416	MBM166
GLUCONEO-PWY: gluconeogenesis I|g__Escherichia.s__Escherichia_coli	2887.1232959801	MBM166
GLUCONEO-PWY: gluconeogenesis I|unclassified	128.0436842559	MBM166
GLUCONEO-PWY: gluconeogenesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	115.0339143733	MBM166
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	4607.2388249234	MBM166
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|g__Escherichia.s__Escherichia_coli	4163.4141059262	MBM166
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|unclassified	148.5546137635	MBM166
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|g__Klebsiella.s__Klebsiella_quasipneumoniae	100.8898371546	MBM166
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|g__Klebsiella.s__Klebsiella_pneumoniae	72.1281978451	MBM166
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|g__Escherichia.s__Escherichia_fergusonii	13.6611754944	MBM166
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	4503.6378855343	MBM166
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	2688.777704269	MBM166
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_fragilis	272.3164618412	MBM166
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	169.9319149652	MBM166
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_quasipneumoniae	131.894210295	MBM166
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	4247.2735472257	MBM166
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	1303.4041274929	MBM166
PWY-7118: chitin deacetylation	3799.1699871513	MBM166
PWY-7118: chitin deacetylation|g__Escherichia.s__Escherichia_coli	3537.795428158	MBM166
PWY-7118: chitin deacetylation|unclassified	135.0866346936	MBM166
PWY-7118: chitin deacetylation|g__Klebsiella.s__Klebsiella_quasipneumoniae	91.6407632156	MBM166
PWY-7118: chitin deacetylation|g__Klebsiella.s__Klebsiella_pneumoniae	15.4609349838	MBM166
CALVIN-PWY: Calvin-Benson-Bassham cycle	3227.0186297281	MBM166
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Escherichia.s__Escherichia_coli	1701.7662365649	MBM166
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	265.8566268596	MBM166
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Klebsiella.s__Klebsiella_quasipneumoniae	173.5169309957	MBM166
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bacteroides.s__Bacteroides_fragilis	91.8347884648	MBM166
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Klebsiella.s__Klebsiella_pneumoniae	2.9349603513	MBM166
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	3170.5604362345	MBM166
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Escherichia.s__Escherichia_coli	1801.7080269836	MBM166
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|unclassified	218.9399586153	MBM166
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Klebsiella.s__Klebsiella_quasipneumoniae	78.2107623721	MBM166
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	3060.6555752135	MBM166
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_coli	2251.0635468586	MBM166
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_quasipneumoniae	184.8250727249	MBM166
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Bacteroides.s__Bacteroides_fragilis	153.0141433973	MBM166
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	59.7340875394	MBM166
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	2946.5899493113	MBM166
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass|g__Escherichia.s__Escherichia_coli	1228.6814487212	MBM166
PENTOSE-P-PWY: pentose phosphate pathway	2581.6928052465	MBM166
PENTOSE-P-PWY: pentose phosphate pathway|g__Escherichia.s__Escherichia_coli	2128.7726208743	MBM166
PENTOSE-P-PWY: pentose phosphate pathway|g__Bacteroides.s__Bacteroides_fragilis	130.2056669029	MBM166
PENTOSE-P-PWY: pentose phosphate pathway|g__Klebsiella.s__Klebsiella_quasipneumoniae	95.6619558481	MBM166
PWY-5667: CDP-diacylglycerol biosynthesis I	2539.0376377521	MBM166
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Escherichia.s__Escherichia_coli	1575.2891830759	MBM166
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	175.6937595694	MBM166
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	104.2629052184	MBM166
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	13.7894887035	MBM166
PWY0-1319: CDP-diacylglycerol biosynthesis II	2539.0376377521	MBM166
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Escherichia.s__Escherichia_coli	1575.2891830759	MBM166
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Klebsiella.s__Klebsiella_pneumoniae	175.6937595694	MBM166
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	104.2629052184	MBM166
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Klebsiella.s__Klebsiella_quasipneumoniae	13.7894887035	MBM166
PWY-6902: chitin degradation II (Vibrio)	2504.0875519603	MBM166
PWY-6902: chitin degradation II (Vibrio)|g__Escherichia.s__Escherichia_coli	704.6123655136	MBM166
PWY-6902: chitin degradation II (Vibrio)|unclassified	56.5633992211	MBM166
PWY-4041: &gamma;-glutamyl cycle	2395.0061670618	MBM166
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	1922.1540155257	MBM166
PWY-4041: &gamma;-glutamyl cycle|unclassified	232.7321568372	MBM166
PWY-4041: &gamma;-glutamyl cycle|g__Klebsiella.s__Klebsiella_pneumoniae	71.5103855379	MBM166
PWY-4041: &gamma;-glutamyl cycle|g__Klebsiella.s__Klebsiella_quasipneumoniae	60.0670161817	MBM166
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_fergusonii	11.5157366462	MBM166
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	2378.1750652183	MBM166
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Escherichia.s__Escherichia_coli	1880.2008846412	MBM166
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	180.6722479874	MBM166
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	63.2598784238	MBM166
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	52.2930065823	MBM166
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	34.9499077377	MBM166
PWY0-1061: superpathway of L-alanine biosynthesis	2372.2879363335	MBM166
PWY0-1061: superpathway of L-alanine biosynthesis|g__Escherichia.s__Escherichia_coli	1914.7622802606	MBM166
PWY0-1061: superpathway of L-alanine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	28.6865268722	MBM166
PWY0-1061: superpathway of L-alanine biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	21.8914348841	MBM166
PWY0-1061: superpathway of L-alanine biosynthesis|unclassified	18.4134446908	MBM166
PWY0-1061: superpathway of L-alanine biosynthesis|g__Escherichia.s__Escherichia_fergusonii	2.5466106059	MBM166
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	2317.9202256684	MBM166
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Escherichia.s__Escherichia_coli	1828.4746468311	MBM166
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Bacteroides.s__Bacteroides_fragilis	137.9645935652	MBM166
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Klebsiella.s__Klebsiella_quasipneumoniae	127.0779625815	MBM166
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	2233.0388945154	MBM166
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	1175.5279082249	MBM166
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	115.782632629	MBM166
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Klebsiella.s__Klebsiella_quasipneumoniae	20.0697748989	MBM166
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_fergusonii	4.6412516184	MBM166
VALSYN-PWY: L-valine biosynthesis	2233.0388945154	MBM166
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	1175.5279082249	MBM166
VALSYN-PWY: L-valine biosynthesis|unclassified	197.7126564853	MBM166
VALSYN-PWY: L-valine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	33.1176065216	MBM166
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_fergusonii	25.1738074136	MBM166
VALSYN-PWY: L-valine biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	19.8068784066	MBM166
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	19.3659629606	MBM166
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	2144.9386407352	MBM166
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|g__Escherichia.s__Escherichia_coli	1369.4960597391	MBM166
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|g__Klebsiella.s__Klebsiella_pneumoniae	6.5952272344	MBM166
PWY0-42: 2-methylcitrate cycle I	2121.1591898782	MBM166
PWY0-42: 2-methylcitrate cycle I|g__Escherichia.s__Escherichia_coli	1526.283611047	MBM166
PWY0-42: 2-methylcitrate cycle I|unclassified	67.3267013694	MBM166
PWY0-42: 2-methylcitrate cycle I|g__Klebsiella.s__Klebsiella_pneumoniae	16.95333357	MBM166
PWY-5695: inosine 5'-phosphate degradation	2041.2990012033	MBM166
PWY-5695: inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli	881.7852605064	MBM166
PWY-5695: inosine 5'-phosphate degradation|unclassified	117.623891363	MBM166
PWY-5695: inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_fergusonii	101.1663228609	MBM166
PWY-5695: inosine 5'-phosphate degradation|g__Klebsiella.s__Klebsiella_quasipneumoniae	72.0250160182	MBM166
PWY-5695: inosine 5'-phosphate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	47.4373458743	MBM166
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	2017.7644109125	MBM166
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	92.7450891632	MBM166
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	49.3587537528	MBM166
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Escherichia.s__Escherichia_fergusonii	36.5043712205	MBM166
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	23.1138495325	MBM166
THRESYN-PWY: superpathway of L-threonine biosynthesis	1996.5944194246	MBM166
THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Escherichia.s__Escherichia_coli	1616.1178425747	MBM166
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	41.6323328149	MBM166
THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	20.5170281205	MBM166
THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0.8423357458	MBM166
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	1993.6180951753	MBM166
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Escherichia.s__Escherichia_coli	1701.1027896594	MBM166
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	55.3290020444	MBM166
PWY-3001: superpathway of L-isoleucine biosynthesis I	1988.8854198839	MBM166
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Escherichia.s__Escherichia_coli	1345.7477299418	MBM166
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	27.8877825679	MBM166
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	20.1563134588	MBM166
PWY-6609: adenine and adenosine salvage III	1940.4690510895	MBM166
PWY-6609: adenine and adenosine salvage III|g__Escherichia.s__Escherichia_coli	1283.2769872748	MBM166
PWY-6609: adenine and adenosine salvage III|g__Klebsiella.s__Klebsiella_pneumoniae	287.9909150178	MBM166
PWY-6609: adenine and adenosine salvage III|unclassified	129.8415031259	MBM166
PWY-6609: adenine and adenosine salvage III|g__Klebsiella.s__Klebsiella_quasipneumoniae	100.4769477367	MBM166
PWY-5367: petroselinate biosynthesis	1899.2190914483	MBM166
PWY-5367: petroselinate biosynthesis|g__Escherichia.s__Escherichia_coli	319.2399807808	MBM166
PWY-5367: petroselinate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	222.6698777082	MBM166
PWY-5367: petroselinate biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	35.2420090897	MBM166
PWY-5367: petroselinate biosynthesis|g__Escherichia.s__Escherichia_fergusonii	10.9883787111	MBM166
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	1873.061140219	MBM166
