name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus pseudintermedius	283734	S	26	2	28	0.00000
Staphylococcus warneri	1292	S	36	6	42	0.00001
Staphylococcus xylosus	1288	S	36	0	36	0.00001
Staphylococcus nepalensis	214473	S	35	0	35	0.00001
Staphylococcus arlettae	29378	S	34	0	34	0.00000
Staphylococcus pasteuri	45972	S	32	2	34	0.00000
Staphylococcus equorum	246432	S	25	10	35	0.00001
Staphylococcus kloosii	29384	S	21	0	21	0.00000
Staphylococcus pseudoxylosus	2282419	S	21	0	21	0.00000
Staphylococcus felis	46127	S	18	0	18	0.00000
Staphylococcus lutrae	155085	S	16	0	16	0.00000
Staphylococcus agnetis	985762	S	16	0	16	0.00000
Staphylococcus pettenkoferi	170573	S	14	0	14	0.00000
Staphylococcus auricularis	29379	S	14	0	14	0.00000
Staphylococcus muscae	1294	S	11	0	11	0.00000
Nosocomiicoccus ampullae	489910	S	15	0	15	0.00000
Bacillus subtilis	1423	S	102	52	154	0.00002
Bacillus cereus	1396	S	12	1	13	0.00000
Lysinibacillus sphaericus	1421	S	15	0	15	0.00000
Listeria monocytogenes	1639	S	68	13	81	0.00001
Listeria ivanovii	1638	S	11	0	11	0.00000
Clostridium perfringens	1502	S	1058098	3996	1062094	0.15368
Clostridium baratii	1561	S	39	0	39	0.00001
Clostridium beijerinckii	1520	S	11	2	13	0.00000
Clostridium botulinum	1491	S	10	3	13	0.00000
Clostridioides difficile	1496	S	36	24	60	0.00001
Faecalibacillus intestinalis	1982626	S	39	3	42	0.00001
Longibaculum sp. KGMB06250	2584943	S	15	1	16	0.00000
Peptoniphilus ivorii	54006	S	26	0	26	0.00000
Salmonella enterica	28901	S	238673	1064396	1303069	0.18855
Salmonella bongori	54736	S	966	263	1229	0.00018
Salmonella sp. SSDFZ54	2500542	S	49	588	637	0.00009
Salmonella sp. SSDFZ69	2500543	S	21	75	96	0.00001
Salmonella sp. A39	2878546	S	16	223	239	0.00003
Enterobacter hormaechei	158836	S	75908	661125	737033	0.10664
Enterobacter cloacae complex sp.	2027919	S	5540	71615	77155	0.01116
Enterobacter sp. BIDMC100	1686399	S	3306	70335	73641	0.01066
Enterobacter cloacae complex sp. ECL72	2850078	S	192	6344	6536	0.00095
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	2077137	S	170	1493	1663	0.00024
Enterobacter cloacae complex sp. ECL78	2850492	S	112	7837	7949	0.00115
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	109	771	880	0.00013
Enterobacter sp. BIDMC 29	1329841	S	55	254	309	0.00004
Enterobacter sp. MGH 7	1329816	S	10	10079	10089	0.00146
Enterobacter cloacae	550	S	4670	5097	9767	0.00141
Enterobacter cancerogenus	69218	S	1290	59	1349	0.00020
Enterobacter kobei	208224	S	1085	4135	5220	0.00076
Enterobacter roggenkampii	1812935	S	1036	1482	2518	0.00036
Enterobacter asburiae	61645	S	786	1998	2784	0.00040
Enterobacter chuandaensis	2497875	S	354	103	457	0.00007
Enterobacter chengduensis	2494701	S	240	56	296	0.00004
Enterobacter ludwigii	299767	S	207	762	969	0.00014
Enterobacter sichuanensis	2071710	S	39	21	60	0.00001
Enterobacter sp. LU1	1848517	S	793	13452	14245	0.00206
Enterobacter sp. E20	1560339	S	581	3025	3606	0.00052
Enterobacter sp. YSU	648691	S	439	7043	7482	0.00108
Enterobacter sp. RHBSTW-00175	2742639	S	432	49	481	0.00007
Enterobacter sp. RHBSTW-00994	2742676	S	331	7	338	0.00005
Enterobacter sp. JBIWA008	2831892	S	138	65	203	0.00003
Enterobacter sp. JUb54	2724468	S	121	1	122	0.00002
Enterobacter sp. 638	399742	S	98	1	99	0.00001
Enterobacter sp. SA187	1914861	S	84	2	86	0.00001
Enterobacter sp. C2	2870346	S	68	0	68	0.00001
Enterobacter sp. RHB15-C17	2742619	S	56	5	61	0.00001
Enterobacter sp. SGAir0187	2836161	S	54	43	97	0.00001
Enterobacter sp. E76	2596949	S	49	4	53	0.00001
Enterobacter sp. DNB-S2	2720029	S	45	299	344	0.00005
Enterobacter sp. JBIWA005	2831891	S	40	73	113	0.00002
Enterobacter sp. N18-03635	2500132	S	38	97	135	0.00002
Enterobacter sp. HK169	1868135	S	38	225	263	0.00004
Enterobacter sp. DSM 30060	2747372	S	35	408	443	0.00006
Enterobacter sp. ODB01	1827481	S	29	278	307	0.00004
Enterobacter sp. SES19	2705458	S	27	52	79	0.00001
Enterobacter sp. JBIWA003	2831890	S	22	24	46	0.00001
Enterobacter sp. RHBSTW-00422	2742646	S	16	885	901	0.00013
Enterobacter sp. Colony194	2866201	S	15	2	17	0.00000
Enterobacter sp. R4-368	1166130	S	14	2	16	0.00000
Enterobacter sp. 18A13	2565914	S	11	68	79	0.00001
Enterobacter oligotrophicus	2478464	S	533	36	569	0.00008
Enterobacter mori	539813	S	451	1052	1503	0.00022
Enterobacter bugandensis	881260	S	293	407	700	0.00010
Enterobacter soli	885040	S	167	16	183	0.00003
Escherichia coli	562	S	212338	274826	487164	0.07049
Escherichia albertii	208962	S	608	43	651	0.00009
Escherichia fergusonii	564	S	446	98	544	0.00008
Escherichia marmotae	1499973	S	331	19	350	0.00005
Escherichia sp. E4742	2044467	S	235	17	252	0.00004
Klebsiella quasipneumoniae	1463165	S	50787	121436	172223	0.02492
Klebsiella pneumoniae	573	S	3117	43855	46972	0.00680
Klebsiella variicola	244366	S	857	2157	3014	0.00044
Klebsiella aerogenes	548	S	441	88	529	0.00008
Klebsiella michiganensis	1134687	S	206	568	774	0.00011
Klebsiella sp. CTHL.F3a	2873296	S	16	152	168	0.00002
Klebsiella sp. PL-2018	2851540	S	14	60	74	0.00001
Klebsiella sp. LY	2015795	S	14	190	204	0.00003
Klebsiella sp. A52	2834819	S	14	16	30	0.00000
Klebsiella sp. P1CD1	2267618	S	12	115	127	0.00002
Klebsiella sp. STW0522-44	2681387	S	12	7	19	0.00000
Klebsiella oxytoca	571	S	193	1283	1476	0.00021
Klebsiella quasivariicola	2026240	S	125	45	170	0.00002
Klebsiella africana	2489010	S	118	31	149	0.00002
Klebsiella huaxiensis	2153354	S	72	6	78	0.00001
Klebsiella grimontii	2058152	S	49	196	245	0.00004
Citrobacter sp. TBCP-5362	2576406	S	611	1030	1641	0.00024
Citrobacter sp. RHB25-C09	2742624	S	78	0	78	0.00001
Citrobacter sp. R56	1573676	S	73	0	73	0.00001
Citrobacter sp. RHBSTW-00599	2742657	S	39	15	54	0.00001
Citrobacter sp. RHBSTW-00524	2742653	S	26	12	38	0.00001
Citrobacter sp. MGH 55	1439319	S	15	1	16	0.00000
Citrobacter sp. Y3	2716879	S	14	14	28	0.00000
Citrobacter sp. TSA-1	184912	S	13	4	17	0.00000
Citrobacter sp. RHBSTW-00887	2742668	S	10	5	15	0.00000
Citrobacter freundii	546	S	471	125	596	0.00009
Citrobacter werkmanii	67827	S	254	65	319	0.00005
Citrobacter braakii	57706	S	28	11	39	0.00001
Citrobacter portucalensis	1639133	S	26	13	39	0.00001
Citrobacter sedlakii	67826	S	18	0	18	0.00000
Citrobacter amalonaticus	35703	S	108	15	123	0.00002
Citrobacter rodentium	67825	S	50	1	51	0.00001
Citrobacter arsenatis	2546350	S	39	0	39	0.00001
Citrobacter farmeri	67824	S	37	1	38	0.00001
Citrobacter tructae	2562449	S	31	0	31	0.00000
Citrobacter koseri	545	S	20	0	20	0.00000
Citrobacter pasteurii	1563222	S	18	0	18	0.00000
Citrobacter telavivensis	2653932	S	18	1	19	0.00000
Citrobacter cronae	1748967	S	10	1	11	0.00000
Leclercia sp. 4-9-1-25	2815358	S	70	0	70	0.00001
Leclercia sp. 29361	2714951	S	36	2	38	0.00001
Leclercia sp. 119287	2681308	S	29	40	69	0.00001
Leclercia sp. W17	2282309	S	23	31	54	0.00001
Leclercia sp. J807	2681307	S	15	14	29	0.00000
Leclercia adecarboxylata	83655	S	115	119	234	0.00003
Shigella dysenteriae	622	S	199	171	370	0.00005
Shigella flexneri	623	S	121	284	405	0.00006
Shigella boydii	621	S	79	243	322	0.00005
Raoultella planticola	575	S	182	19	201	0.00003
Raoultella terrigena	577	S	55	20	75	0.00001
Raoultella ornithinolytica	54291	S	50	87	137	0.00002
Raoultella electrica	1259973	S	10	3	13	0.00000
Cronobacter sakazakii	28141	S	222	49	271	0.00004
Cronobacter condimenti	1163710	S	16	0	16	0.00000
Cronobacter dublinensis	413497	S	12	0	12	0.00000
Cronobacter malonaticus	413503	S	11	8	19	0.00000
Kosakonia sp. CCTCC M2018092	2492396	S	19	14	33	0.00000
Kosakonia arachidis	551989	S	31	2	33	0.00000
Kosakonia radicincitans	283686	S	27	13	40	0.00001
Kosakonia cowanii	208223	S	19	9	28	0.00000
Kosakonia sacchari	1158459	S	18	5	23	0.00000
Kosakonia oryzae	497725	S	12	7	19	0.00000
Kosakonia pseudosacchari	1646340	S	12	3	15	0.00000
Lelliottia amnigena	61646	S	83	1	84	0.00001
Lelliottia sp. WB101	2153385	S	30	2	32	0.00000
Cedecea neteri	158822	S	68	3	71	0.00001
Cedecea sp. FDAARGOS_727	2545798	S	17	0	17	0.00000
Cedecea lapagei	158823	S	16	1	17	0.00000
Pluralibacter gergoviae	61647	S	54	0	54	0.00001
[Enterobacter] lignolyticus	1334193	S	37	0	37	0.00001
Kluyvera intermedia	61648	S	49	0	49	0.00001
Kluyvera genomosp. 3	2774055	S	14	22	36	0.00001
Jejubacter calystegiae	2579935	S	69	0	69	0.00001
Scandinavium goeteborgense	1851514	S	63	0	63	0.00001
Yokenella regensburgei	158877	S	59	0	59	0.00001
Buttiauxella agrestis	82977	S	25	2	27	0.00000
Buttiauxella sp. 3AFRM03	2479367	S	16	1	17	0.00000
Atlantibacter hermannii	565	S	44	0	44	0.00001
Candidatus Symbiopectobacterium sp. SyEd1	2871826	S	16	0	16	0.00000
Shimwellia blattae	563	S	37	0	37	0.00001
Phytobacter ursingii	1972431	S	16	2	18	0.00000
Pseudescherichia vulneris	566	S	18	0	18	0.00000
Pantoea ananatis	553	S	29	6	35	0.00001
Pantoea stewartii	66269	S	15	3	18	0.00000
Pantoea agglomerans	549	S	11	4	15	0.00000
Erwinia amylovora	552	S	47	11	58	0.00001
Serratia marcescens	615	S	85	21	106	0.00002
Morganella morganii	582	S	33	0	33	0.00000
Photorhabdus asymbiotica	291112	S	22	2	24	0.00000
Proteus mirabilis	584	S	17	9	26	0.00000
Arsenophonus nasoniae	638	S	10	1	11	0.00000
Acinetobacter guillouiae	106649	S	12	5	17	0.00000
Idiomarina sp. OT37-5b	2100422	S	12	3	15	0.00000
Rheinheimera sp. F8	1763998	S	14	1	15	0.00000
Bacteroides fragilis	817	S	776445	42810	819255	0.11854
Bacteroides xylanisolvens	371601	S	50	4	54	0.00001
Bacteroides sp. CBA7301	2715212	S	18	2	20	0.00000
Bacteroides sp. ZJ-18	2709390	S	12	4	16	0.00000
Bacteroides cellulosilyticus	246787	S	39	0	39	0.00001
Bacteroides caccae	47678	S	36	0	36	0.00001
Bacteroides heparinolyticus	28113	S	23	0	23	0.00000
Bacteroides ovatus	28116	S	22	1	23	0.00000
Bacteroides eggerthii	28111	S	20	1	21	0.00000
Bacteroides coprosuis	151276	S	14	0	14	0.00000
Phocaeicola dorei	357276	S	19	1	20	0.00000
Parabacteroides distasonis	823	S	33	3	36	0.00001
Parabacteroides goldsteinii	328812	S	10	2	12	0.00000
Paraprevotella xylaniphila	454155	S	12	0	12	0.00000
Fusobacterium nucleatum	851	S	20	-1	19	0.00000
Homo sapiens	9606	S	39	0	39	0.00001
Lactobacillus phage phi jlb1	1416334	S	136	92	228	0.00003
Lactobacillus prophage Lj771	139871	S	64	1	65	0.00001
Clostridium phage PhiS63	1187894	S	66	12	78	0.00001
Clostridium phage vB_CpeS-CP51	1305708	S	18	1	19	0.00000
Staphylococcus virus 23MRA	2846248	S	22	105	127	0.00002
