name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Buttiauxella agrestis	82977	S	17	1	18	0.00000
Phytobacter ursingii	1972431	S	28	2	30	0.00000
Pseudescherichia vulneris	566	S	26	0	26	0.00000
Shimwellia blattae	563	S	15	0	15	0.00000
Candidatus Profftia tarda	1177216	S	11	0	11	0.00000
Pantoea ananatis	553	S	91	9	100	0.00001
Pantoea dispersa	59814	S	14	1	15	0.00000
Pantoea agglomerans	549	S	11	2	13	0.00000
Erwinia amylovora	552	S	81	6	87	0.00001
Morganella morganii	582	S	95	1	96	0.00001
Photorhabdus asymbiotica	291112	S	34	3	37	0.00000
Proteus mirabilis	584	S	14	3	17	0.00000
Serratia marcescens	615	S	53	14	67	0.00001
Serratia symbiotica	138074	S	21	1	22	0.00000
Yersinia pestis	632	S	12	30	42	0.00000
Rheinheimera sp. F8	1763998	S	19	0	19	0.00000
Bacteroides fragilis	817	S	1326744	67305	1394049	0.14272
Bacteroides xylanisolvens	371601	S	53	4	57	0.00001
Bacteroides sp. CBA7301	2715212	S	18	3	21	0.00000
Bacteroides sp. ZJ-18	2709390	S	15	5	20	0.00000
Bacteroides caccae	47678	S	46	0	46	0.00000
Bacteroides ovatus	28116	S	43	3	46	0.00000
Bacteroides eggerthii	28111	S	42	3	45	0.00000
Bacteroides cellulosilyticus	246787	S	34	0	34	0.00000
Bacteroides heparinolyticus	28113	S	16	0	16	0.00000
Bacteroides stercoris	46506	S	11	0	11	0.00000
Phocaeicola dorei	357276	S	12	0	12	0.00000
Parabacteroides distasonis	823	S	55	3	58	0.00001
Parabacteroides goldsteinii	328812	S	19	3	22	0.00000
Paraprevotella xylaniphila	454155	S	41	2	43	0.00000
Enterococcus faecalis	1351	S	200538	16582	217120	0.02223
Enterococcus faecium	1352	S	169689	57550	227239	0.02326
Enterococcus hirae	1354	S	206	7	213	0.00002
Enterococcus sp. DA9	2603296	S	160	782	942	0.00010
Enterococcus sp. FDAARGOS_375	2060307	S	27	22	49	0.00001
Enterococcus sp. M190262	2582830	S	11	11	22	0.00000
Enterococcus durans	53345	S	198	15	213	0.00002
Enterococcus lactis	357441	S	139	1153	1292	0.00013
Enterococcus mundtii	53346	S	91	1	92	0.00001
Enterococcus avium	33945	S	83	3	86	0.00001
Enterococcus thailandicus	417368	S	56	0	56	0.00001
Enterococcus casseliflavus	37734	S	34	8	42	0.00000
Enterococcus cecorum	44008	S	21	0	21	0.00000
Enterococcus saigonensis	1805431	S	17	1	18	0.00000
Enterococcus raffinosus	71452	S	10	0	10	0.00000
Tetragenococcus halophilus	51669	S	36	1	37	0.00000
Lactobacillus paragasseri	2107999	S	42404	65495	107899	0.01105
Lactobacillus gasseri	1596	S	11933	26755	38688	0.00396
Lactobacillus johnsonii	33959	S	1502	144	1646	0.00017
Lactobacillus taiwanensis	508451	S	657	47	704	0.00007
Lactobacillus sp. JM1	2690380	S	482	8973	9455	0.00097
Lactobacillus crispatus	47770	S	161	11	172	0.00002
Lactobacillus amylovorus	1604	S	62	9	71	0.00001
Lactobacillus acidophilus	1579	S	55	2	57	0.00001
Lactobacillus amylolyticus	83683	S	53	2	55	0.00001
Lactobacillus acetotolerans	1600	S	41	1	42	0.00000
Lactobacillus ultunensis	227945	S	31	0	31	0.00000
Lactobacillus helveticus	1587	S	29	23	52	0.00001
Lactobacillus jensenii	109790	S	24	0	24	0.00000
Lactobacillus kefiranofaciens	267818	S	22	3	25	0.00000
Lactobacillus panisapium	2012495	S	20	0	20	0.00000
Lactobacillus apis	303541	S	19	0	19	0.00000
Lactobacillus gallinarum	52242	S	18	12	30	0.00000
Lactobacillus iners	147802	S	11	0	11	0.00000
Limosilactobacillus fermentum	1613	S	143	204	347	0.00004
Limosilactobacillus mucosae	97478	S	84	5	89	0.00001
Limosilactobacillus gastricus	227942	S	32	2	34	0.00000
Limosilactobacillus vaginalis	1633	S	13	1	14	0.00000
Ligilactobacillus salivarius	1624	S	238	12	250	0.00003
Lacticaseibacillus paracasei	1597	S	166	64	230	0.00002
Lactiplantibacillus plantarum	1590	S	119	677	796	0.00008
Levilactobacillus brevis	1580	S	52	8	60	0.00001
Oenococcus kitaharae	336988	S	22	0	22	0.00000
Paucilactobacillus hokkaidonensis	1193095	S	14	2	16	0.00000
Streptococcus thermophilus	1308	S	23	33	56	0.00001
Marinilactibacillus sp. 15R	1911586	S	22	0	22	0.00000
Staphylococcus aureus	1280	S	49193	115437	164630	0.01685
Staphylococcus schweitzeri	1654388	S	82	5	87	0.00001
Staphylococcus sp. MZ8	2836366	S	30	1756	1786	0.00018
Staphylococcus sp. MZ9	2836367	S	17	4387	4404	0.00045
Staphylococcus sp. 17KM0847	2583989	S	15	0	15	0.00000
Staphylococcus simiae	308354	S	59	0	59	0.00001
Staphylococcus debuckii	2044912	S	48	0	48	0.00000
Staphylococcus argenteus	985002	S	44	89	133	0.00001
Staphylococcus cohnii	29382	S	41	9	50	0.00001
Staphylococcus pseudintermedius	283734	S	24	0	24	0.00000
Staphylococcus haemolyticus	1283	S	24	1	25	0.00000
Staphylococcus epidermidis	1282	S	20	1	21	0.00000
Staphylococcus lugdunensis	28035	S	20	0	20	0.00000
Staphylococcus caprae	29380	S	19	0	19	0.00000
Staphylococcus capitis	29388	S	19	1	20	0.00000
Staphylococcus arlettae	29378	S	16	0	16	0.00000
Staphylococcus simulans	1286	S	15	0	15	0.00000
Staphylococcus saccharolyticus	33028	S	13	0	13	0.00000
Staphylococcus pasteuri	45972	S	12	0	12	0.00000
Staphylococcus saprophyticus	29385	S	12	0	12	0.00000
Staphylococcus felis	46127	S	11	0	11	0.00000
Staphylococcus equorum	246432	S	11	7	18	0.00000
Bacillus subtilis	1423	S	29	16	45	0.00000
Listeria monocytogenes	1639	S	14	1	15	0.00000
Clostridium perfringens	1502	S	604655	5513	610168	0.06247
Clostridium botulinum	1491	S	13	25	38	0.00000
Clostridium baratii	1561	S	12	0	12	0.00000
Clostridioides difficile	1496	S	13	1	14	0.00000
Clostridium phage PhiS63	1187894	S	45	5	50	0.00001
Staphylococcus virus 23MRA	2846248	S	17	50	67	0.00001
Lactobacillus phage phi jlb1	1416334	S	45	19	64	0.00001
Lactobacillus prophage Lj771	139871	S	12	1	13	0.00000
