condition	isolated from	batch	technical_replicate	RLU
4-062 S. cap Ax	Ax	1	3	1.319915327
3-009 S. cap Ch	Ch	1	3	0.931497143
1-001 S. cap Sc	Sc	1	3	1.203389777
1-076 S. epi Ac	Ac	1	3	0.908898188
4-066 S. epi Ax	Ax	1	3	1.021892776
8-043 S. epi Ch	Ch	1	3	0.654660935
8-074 S. epi Ch	Ch	1	3	0.608050791
1-060 S. hom Ac	Ac	1	3	0.511299351
2-069 S. hom Ac	Ac	1	3	0.372881342
12-071 S. hom Ac	Ac	1	3	0.589509715
13-082 S. hom Ac	Ac	1	3	0.465776595
3-042 S. hom Ax	Ax	1	3	0.716101614
4-065 S. hom Ax	Ax	1	3	0.392655262
9-083 S. hom Ax	Ax	1	3	0.638576205
8-063 S. hom Ch	Ch	1	3	0.637865132
4-057 S. war Ax	Ax	1	3	0.309332609
9-044 S. war Ax	Ax	1	3	0.74026493
9-005 S. war Sc	Sc	1	3	0.603020667
9-050 S. war Sc	Sc	1	3	1.226663775
untreated		2	1	0.936932428
5% BHI		2	1	0.695660904
1uM ANS		2	1	5.375781784
0.2% TritonX		2	1	0.694450047
1-065 S. cap Ac	Ac	2	1	1.724318833
4-062 S. cap Ax	Ax	2	1	1.878708448
3-009 S. cap Ch	Ch	2	1	1.52512612
1-001 S. cap Sc	Sc	2	1	1.7152372
1-076 S. epi Ac	Ac	2	1	1.546619546
4-066 S. epi Ax	Ax	2	1	2.291321833
8-043 S. epi Ch	Ch	2	1	1.017457154
8-074 S. epi Ch	Ch	2	1	0.801614525
1-060 S. hom Ac	Ac	2	1	0.759233061
2-069 S. hom Ac	Ac	2	1	0.512815372
12-071 S. hom Ac	Ac	2	1	0.474221328
13-082 S. hom Ac	Ac	2	1	0.40086615
3-042 S. hom Ax	Ax	2	1	0.863673008
4-065 S. hom Ax	Ax	2	1	0.433198769
9-083 S. hom Ax	Ax	2	1	1.158159362
8-063 S. hom Ch	Ch	2	1	1.069280862
4-057 S. war Ax	Ax	2	1	0.414258836
9-044 S. war Ax	Ax	2	1	0.534792608
9-005 S. war Sc	Sc	2	1	0.894567719
9-050 S. war Sc	Sc	2	1	1.373050401
untreated		2	2	1.020484338
5% BHI		2	2	0.79858726
1uM ANS		2	2	5.178708375
0.2% TritonX		2	2	0.664177561
1-065 S. cap Ac	Ac	2	2	1.756104992
4-062 S. cap Ax	Ax	2	2	1.995257293
3-009 S. cap Ch	Ch	2	2	1.374066666
1-001 S. cap Sc	Sc	2	2	1.74308781
1-076 S. epi Ac	Ac	2	2	1.580222032
4-066 S. epi Ax	Ax	2	2	2.076084754
8-043 S. epi Ch	Ch	2	2	1.167608485
8-074 S. epi Ch	Ch	2	2	0.649949521
1-060 S. hom Ac	Ac	2	2	0.974167486
2-069 S. hom Ac	Ac	2	2	0.662663969
12-071 S. hom Ac	Ac	2	2	0.4638725
13-082 S. hom Ac	Ac	2	2	0.539662668
3-042 S. hom Ax	Ax	2	2	1.009283564
4-065 S. hom Ax	Ax	2	2	0.450756808
9-083 S. hom Ax	Ax	2	2	1.042191217
8-063 S. hom Ch	Ch	2	2	0.88574074
4-057 S. war Ax	Ax	2	2	0.469046914
9-044 S. war Ax	Ax	2	2	0.701591912
9-005 S. war Sc	Sc	2	2	0.797471109
9-050 S. war Sc	Sc	2	2	1.358440301
untreated		2	3	1.042583234
5% BHI		2	3	0.874571129
1uM ANS		2	3	5.63854722
0.2% TritonX		2	3	0.696871843
1-065 S. cap Ac	Ac	2	3	1.58900093
4-062 S. cap Ax	Ax	2	3	1.481533717
3-009 S. cap Ch	Ch	2	3	1.489404654
1-001 S. cap Sc	Sc	2	3	1.460948575
1-076 S. epi Ac	Ac	2	3	0.88546925
4-066 S. epi Ax	Ax	2	3	2.02552986
8-043 S. epi Ch	Ch	2	3	1.090413678
8-074 S. epi Ch	Ch	2	3	0.816750768
1-060 S. hom Ac	Ac	2	3	0.914228064
2-069 S. hom Ac	Ac	2	3	0.58607463
12-071 S. hom Ac	Ac	2	3	0.529618194
13-082 S. hom Ac	Ac	2	3	0.452914885
3-042 S. hom Ax	Ax	2	3	1.044702376
4-065 S. hom Ax	Ax	2	3	0.482845621
9-083 S. hom Ax	Ax	2	3	1.123764586
8-063 S. hom Ch	Ch	2	3	1.083586608
4-057 S. war Ax	Ax	2	3	0.50587668
9-044 S. war Ax	Ax	2	3	0.7353779
9-005 S. war Sc	Sc	2	3	1.092718022
9-050 S. war Sc	Sc	2	3	0.902785911
