condition	isolated from	batch	technical_replicate	concentration
untreated		1	3	5.707544358
5% BHI		1	3	10.18849148
1uM ANS		1	3	58.44348713
0.2% TritonX		1	3	159.2724664
1-065 S. cap Ac	Ac	1	3	37.7479765
4-062 S. cap Ax	Ax	1	3	73.84874169
3-009 S. cap Ch	Ch	1	3	42.59110921
1-001 S. cap Sc	Sc	1	3	40.4384892
1-076 S. epi Ac	Ac	1	3	64.9127956
4-066 S. epi Ax	Ax	1	3	69.76760346
8-043 S. epi Ch	Ch	1	3	483.5143263
8-074 S. epi Ch	Ch	1	3	43.53812226
1-060 S. hom Ac	Ac	1	3	19.46652345
2-069 S. hom Ac	Ac	1	3	14.31178096
12-071 S. hom Ac	Ac	1	3	24.78570527
13-082 S. hom Ac	Ac	1	3	30.03232758
3-042 S. hom Ax	Ax	1	3	28.20611365
4-065 S. hom Ax	Ax	1	3	33.42179043
9-083 S. hom Ax	Ax	1	3	18.8347035
8-063 S. hom Ch	Ch	1	3	13.54182121
4-057 S. war Ax	Ax	1	3	41.71153233
9-044 S. war Ax	Ax	1	3	58.80493808
9-005 S. war Sc	Sc	1	3	40.78939606
9-050 S. war Sc	Sc	1	3	86.83391679
untreated		2	1	10.30528776
5% BHI		2	1	8.972736653
1uM ANS		2	1	94.52832733
0.2% TritonX		2	1	161.4305916
1-065 S. cap Ac	Ac	2	1	85.27667473
4-062 S. cap Ax	Ax	2	1	152.0584622
3-009 S. cap Ch	Ch	2	1	84.69225572
1-001 S. cap Sc	Sc	2	1	95.52294499
1-076 S. epi Ac	Ac	2	1	64.44961098
4-066 S. epi Ax	Ax	2	1	82.78191117
8-043 S. epi Ch	Ch	2	1	303.9699675
8-074 S. epi Ch	Ch	2	1	27.69160783
1-060 S. hom Ac	Ac	2	1	47.53608303
2-069 S. hom Ac	Ac	2	1	23.88724801
12-071 S. hom Ac	Ac	2	1	19.62184426
13-082 S. hom Ac	Ac	2	1	19.44502372
3-042 S. hom Ax	Ax	2	1	31.33828466
4-065 S. hom Ax	Ax	2	1	19.01667972
9-083 S. hom Ax	Ax	2	1	31.58400597
8-063 S. hom Ch	Ch	2	1	33.61628829
4-057 S. war Ax	Ax	2	1	25.43484421
9-044 S. war Ax	Ax	2	1	43.00806001
9-005 S. war Sc	Sc	2	1	36.95556266
9-050 S. war Sc	Sc	2	1	38.33406752
untreated		2	2	10.10017506
5% BHI		2	2	10.60269109
1uM ANS		2	2	89.19171904
0.2% TritonX		2	2	160.4366229
1-065 S. cap Ac	Ac	2	2	67.73706025
4-062 S. cap Ax	Ax	2	2	145.178884
3-009 S. cap Ch	Ch	2	2	65.5628165
1-001 S. cap Sc	Sc	2	2	84.27063983
1-076 S. epi Ac	Ac	2	2	58.69247956
4-066 S. epi Ax	Ax	2	2	95.22435315
8-043 S. epi Ch	Ch	2	2	287.5245596
8-074 S. epi Ch	Ch	2	2	27.42448631
1-060 S. hom Ac	Ac	2	2	35.92033104
2-069 S. hom Ac	Ac	2	2	20.91776427
12-071 S. hom Ac	Ac	2	2	23.86115491
13-082 S. hom Ac	Ac	2	2	21.35267199
3-042 S. hom Ax	Ax	2	2	29.73541323
4-065 S. hom Ax	Ax	2	2	23.80898266
9-083 S. hom Ax	Ax	2	2	30.7661779
8-063 S. hom Ch	Ch	2	2	34.61249471
4-057 S. war Ax	Ax	2	2	30.22294624
9-044 S. war Ax	Ax	2	2	43.20956336
9-005 S. war Sc	Sc	2	2	31.85740195
9-050 S. war Sc	Sc	2	2	41.68791367
untreated		2	3	10.51104144
5% BHI		2	3	15.3310306
1uM ANS		2	3	70.11193423
0.2% TritonX		2	3	179.841139
1-065 S. cap Ac	Ac	2	3	67.48793337
4-062 S. cap Ax	Ax	2	3	201.7546335
3-009 S. cap Ch	Ch	2	3	68.45421606
1-001 S. cap Sc	Sc	2	3	69.016413
1-076 S. epi Ac	Ac	2	3	60.76379672
4-066 S. epi Ax	Ax	2	3	75.54019967
8-043 S. epi Ch	Ch	2	3	244.8055531
8-074 S. epi Ch	Ch	2	3	
1-060 S. hom Ac	Ac	2	3	34.86230172
2-069 S. hom Ac	Ac	2	3	16.25883089
12-071 S. hom Ac	Ac	2	3	22.95084244
13-082 S. hom Ac	Ac	2	3	16.57820655
3-042 S. hom Ax	Ax	2	3	33.14755459
4-065 S. hom Ax	Ax	2	3	23.4703171
9-083 S. hom Ax	Ax	2	3	30.57586482
8-063 S. hom Ch	Ch	2	3	28.65673797
4-057 S. war Ax	Ax	2	3	30.8478004
9-044 S. war Ax	Ax	2	3	45.29140025
9-005 S. war Sc	Sc	2	3	35.11240835
9-050 S. war Sc	Sc	2	3	39.26719712
