species	freq	site_size	percent_detected_at_site	region	category_within_site
Malassezia_dermatis	4	23	17.391304347826086	Ch	variable
Malassezia_furfur	4	23	17.391304347826086	Ch	variable
Malassezia_globosa	22	23	95.65217391304348	Ch	core
Malassezia_restricta	23	23	100	Ch	core
Malassezia_sympodialis	6	23	26.08695652173913	Ch	variable
Micrococcus_luteus	6	23	26.08695652173913	Ch	variable
Moraxella_osloensis	8	23	34.78260869565217	Ch	variable
Staphylococcus_capitis	17	23	73.91304347826086	Ch	prevalent
Staphylococcus_epidermidis	23	23	100	Ch	core
Staphylococcus_hominis	5	23	21.73913043478261	Ch	variable
Streptococcus_mitis	3	23	13.043478260869565	Ch	variable
Actinomyces_naeslundii	4	19	21.052631578947366	Ac	variable
Actinomyces_oris	4	19	21.052631578947366	Ac	variable
Actinomyces_sp._HMT_175	3	19	15.789473684210526	Ac	variable
Actinomyces_sp._oral_taxon_169	5	19	26.31578947368421	Ac	variable
Actinomyces_sp._oral_taxon_171	4	19	21.052631578947366	Ac	variable
Aspergillus_chevalieri	3	19	15.789473684210526	Ac	variable
Brevibacterium_casei	4	19	21.052631578947366	Ac	variable
Chryseobacterium_taklimakanense	3	19	15.789473684210526	Ac	variable
Corynebacterium_bovis	3	19	15.789473684210526	Ac	variable
Corynebacterium_kefirresidentii	19	19	100	Ac	core
Corynebacterium_macginleyi	4	19	21.052631578947366	Ac	variable
Corynebacterium_matruchotii	4	19	21.052631578947366	Ac	variable
Corynebacterium_segmentosum	13	19	68.42105263157895	Ac	prevalent
Corynebacterium_sp._zg-917	5	19	26.31578947368421	Ac	variable
Corynebacterium_tuberculostearicum	16	19	84.21052631578947	Ac	core
Corynebacterium_ureicelerivorans	12	19	63.1578947368421	Ac	prevalent
Cutibacterium_acnes	19	19	100	Ac	core
Cutibacterium_avidum	6	19	31.57894736842105	Ac	variable
Cutibacterium_granulosum	14	19	73.68421052631578	Ac	prevalent
Cutibacterium_modestum	14	19	73.68421052631578	Ac	prevalent
Dermacoccus_nishinomiyaensis	8	19	42.10526315789473	Ac	variable
Dermacoccus_sp._PAMC28757	8	19	42.10526315789473	Ac	variable
Finegoldia_magna	3	19	15.789473684210526	Ac	variable
Gordonia_bronchialis	5	19	26.31578947368421	Ac	variable
Gordonia_sp._JH63	3	19	15.789473684210526	Ac	variable
Gordonia_terrae	3	19	15.789473684210526	Ac	variable
Haemophilus_parainfluenzae	3	19	15.789473684210526	Ac	variable
Kocuria_palustris	3	19	15.789473684210526	Ac	variable
Kytococcus_sedentarius	3	19	15.789473684210526	Ac	variable
Lactobacillus_iners	3	19	15.789473684210526	Ac	variable
Lawsonella_clevelandensis	6	19	31.57894736842105	Ac	variable
Malassezia_arunalokei	12	19	63.1578947368421	Ac	prevalent
Malassezia_furfur	12	19	63.1578947368421	Ac	prevalent
Malassezia_globosa	19	19	100	Ac	core
Malassezia_japonica	3	19	15.789473684210526	Ac	variable
Malassezia_obtusa	3	19	15.789473684210526	Ac	variable
Malassezia_restricta	18	19	94.73684210526315	Ac	core
Malassezia_slooffiae	6	19	31.57894736842105	Ac	variable
Malassezia_sympodialis	5	19	26.31578947368421	Ac	variable
Micrococcus_luteus	14	19	73.68421052631578	Ac	prevalent
Moraxella_osloensis	18	19	94.73684210526315	Ac	core
Mycobacterium_grossiae	3	19	15.789473684210526	Ac	variable
Nocardioides_rotundus	3	19	15.789473684210526	Ac	variable
Paracoccus_contaminans	3	19	15.789473684210526	Ac	variable
Paracoccus_sanguinis	6	19	31.57894736842105	Ac	variable
Paracoccus_sp._AK26	4	19	21.052631578947366	Ac	variable
Paracoccus_sp._MC1862	7	19	36.84210526315789	Ac	variable
Paracoccus_yeei	8	19	42.10526315789473	Ac	variable
Pseudomonas_oryzihabitans	3	19	15.789473684210526	Ac	variable
Pseudomonas_stutzeri	3	19	15.789473684210526	Ac	variable
Roseomonas_mucosa	9	19	47.368421052631575	Ac	variable
Roseomonas_sp._FDAARGOS_362	6	19	31.57894736842105	Ac	variable
Rothia_dentocariosa	4	19	21.052631578947366	Ac	variable
Rothia_kristinae	3	19	15.789473684210526	Ac	variable
Rothia_mucilaginosa	5	19	26.31578947368421	Ac	variable
Schaalia_odontolytica	6	19	31.57894736842105	Ac	variable
Sphingomonas_melonis	3	19	15.789473684210526	Ac	variable
Sphingomonas_paucimobilis	4	19	21.052631578947366	Ac	variable
Staphylococcus_capitis	15	19	78.94736842105263	Ac	core
Staphylococcus_epidermidis	16	19	84.21052631578947	Ac	core
Staphylococcus_haemolyticus	4	19	21.052631578947366	Ac	variable
Staphylococcus_hominis	14	19	73.68421052631578	Ac	prevalent
Streptococcus_mitis	10	19	52.63157894736842	Ac	prevalent
Streptococcus_oralis	6	19	31.57894736842105	Ac	variable
Veillonella_parvula	5	19	26.31578947368421	Ac	variable
Actinomyces_naeslundii	12	18	66.66666666666666	Vf	prevalent
Actinomyces_oris	11	18	61.111111111111114	Vf	prevalent
Actinomyces_sp._HMT_175	7	18	38.88888888888889	Vf	variable
Actinomyces_sp._oral_taxon_169	11	18	61.111111111111114	Vf	prevalent
Actinomyces_sp._oral_taxon_171	11	18	61.111111111111114	Vf	prevalent
Actinomyces_sp._oral_taxon_414	7	18	38.88888888888889	Vf	variable
Actinomyces_viscosus	5	18	27.77777777777778	Vf	variable
Arachnia_propionica	6	18	33.33333333333333	Vf	variable
Brevibacterium_casei	8	18	44.44444444444444	Vf	variable
Candida_orthopsilosis	3	18	16.666666666666664	Vf	variable
Capnocytophaga_gingivalis	3	18	16.666666666666664	Vf	variable
Capnocytophaga_sputigena	3	18	16.666666666666664	Vf	variable
Cardiobacterium_hominis	3	18	16.666666666666664	Vf	variable
Chryseobacterium_taklimakanense	3	18	16.666666666666664	Vf	variable
Corynebacterium_bovis	3	18	16.666666666666664	Vf	variable
Corynebacterium_coyleae	4	18	22.22222222222222	Vf	variable
Corynebacterium_kefirresidentii	18	18	100	Vf	core
Corynebacterium_macginleyi	6	18	33.33333333333333	Vf	variable
Corynebacterium_matruchotii	11	18	61.111111111111114	Vf	prevalent
Corynebacterium_segmentosum	15	18	83.33333333333334	Vf	core
Corynebacterium_simulans	5	18	27.77777777777778	Vf	variable
Corynebacterium_singulare	3	18	16.666666666666664	Vf	variable
Corynebacterium_sp._zg-917	7	18	38.88888888888889	Vf	variable
Corynebacterium_tuberculostearicum	17	18	94.44444444444444	Vf	core
Corynebacterium_ureicelerivorans	13	18	72.22222222222221	Vf	prevalent
Cutibacterium_acnes	18	18	100	Vf	core
Cutibacterium_avidum	6	18	33.33333333333333	Vf	variable
Cutibacterium_granulosum	14	18	77.77777777777779	Vf	core
Cutibacterium_modestum	13	18	72.22222222222221	Vf	prevalent
Deinococcus_wulumuqiensis	3	18	16.666666666666664	Vf	variable
Dermabacter_jinjuensis	3	18	16.666666666666664	Vf	variable
Dermacoccus_nishinomiyaensis	10	18	55.55555555555556	Vf	prevalent
Dermacoccus_sp._PAMC28757	8	18	44.44444444444444	Vf	variable
Finegoldia_magna	5	18	27.77777777777778	Vf	variable
Fusobacterium_nucleatum	5	18	27.77777777777778	Vf	variable
Fusobacterium_pseudoperiodonticum	4	18	22.22222222222222	Vf	variable
Gordonia_bronchialis	6	18	33.33333333333333	Vf	variable
Gordonia_sp._JH63	4	18	22.22222222222222	Vf	variable
Gordonia_terrae	4	18	22.22222222222222	Vf	variable
Granulicatella_adiacens	4	18	22.22222222222222	Vf	variable
Haemophilus_parainfluenzae	13	18	72.22222222222221	Vf	prevalent
Kocuria_indica	4	18	22.22222222222222	Vf	variable
Kocuria_palustris	3	18	16.666666666666664	Vf	variable
Kocuria_rhizophila	4	18	22.22222222222222	Vf	variable
Kytococcus_sedentarius	4	18	22.22222222222222	Vf	variable
Lautropia_mirabilis	10	18	55.55555555555556	Vf	prevalent
Lawsonella_clevelandensis	5	18	27.77777777777778	Vf	variable
Malassezia_arunalokei	12	18	66.66666666666666	Vf	prevalent
Malassezia_furfur	7	18	38.88888888888889	Vf	variable
Malassezia_globosa	18	18	100	Vf	core
Malassezia_japonica	4	18	22.22222222222222	Vf	variable
Malassezia_restricta	17	18	94.44444444444444	Vf	core
Malassezia_slooffiae	4	18	22.22222222222222	Vf	variable
Malassezia_sympodialis	4	18	22.22222222222222	Vf	variable
Methylobacterium_radiodurans	3	18	16.666666666666664	Vf	variable
Micrococcus_luteus	16	18	88.88888888888889	Vf	core
Moraxella_osloensis	18	18	100	Vf	core
Mycobacterium_grossiae	5	18	27.77777777777778	Vf	variable
Neisseria_elongata	5	18	27.77777777777778	Vf	variable
Neisseria_mucosa	8	18	44.44444444444444	Vf	variable
Neisseria_sicca	6	18	33.33333333333333	Vf	variable
Neisseria_subflava	5	18	27.77777777777778	Vf	variable
Nocardioides_rotundus	5	18	27.77777777777778	Vf	variable
Paracoccus_contaminans	4	18	22.22222222222222	Vf	variable
Paracoccus_sanguinis	7	18	38.88888888888889	Vf	variable
Paracoccus_sp._AK26	4	18	22.22222222222222	Vf	variable
Paracoccus_sp._MC1862	7	18	38.88888888888889	Vf	variable
Paracoccus_yeei	11	18	61.111111111111114	Vf	prevalent
Pauljensenia_hongkongensis	3	18	16.666666666666664	Vf	variable
Pluralibacter_gergoviae	3	18	16.666666666666664	Vf	variable
Prevotella_melaninogenica	11	18	61.111111111111114	Vf	prevalent
Pseudomonas_aeruginosa	3	18	16.666666666666664	Vf	variable
Pseudomonas_putida	4	18	22.22222222222222	Vf	variable
Pseudomonas_stutzeri	4	18	22.22222222222222	Vf	variable
Roseomonas_mucosa	8	18	44.44444444444444	Vf	variable
Roseomonas_sp._FDAARGOS_362	7	18	38.88888888888889	Vf	variable
Rothia_aeria	9	18	50	Vf	variable
Rothia_dentocariosa	13	18	72.22222222222221	Vf	prevalent
Rothia_mucilaginosa	10	18	55.55555555555556	Vf	prevalent
Schaalia_odontolytica	12	18	66.66666666666666	Vf	prevalent
Sphingomonas_melonis	3	18	16.666666666666664	Vf	variable
Staphylococcus_capitis	14	18	77.77777777777779	Vf	core
Staphylococcus_epidermidis	17	18	94.44444444444444	Vf	core
Staphylococcus_haemolyticus	4	18	22.22222222222222	Vf	variable
Staphylococcus_hominis	17	18	94.44444444444444	Vf	core
Staphylococcus_warneri	3	18	16.666666666666664	Vf	variable
Stenotrophomonas_maltophilia	7	18	38.88888888888889	Vf	variable
Streptococcus_gordonii	5	18	27.77777777777778	Vf	variable
Streptococcus_gwangjuense	3	18	16.666666666666664	Vf	variable
Streptococcus_mitis	16	18	88.88888888888889	Vf	core
Streptococcus_oralis	13	18	72.22222222222221	Vf	prevalent
Streptococcus_pneumoniae	8	18	44.44444444444444	Vf	variable
Streptococcus_salivarius	4	18	22.22222222222222	Vf	variable
Streptococcus_sanguinis	9	18	50	Vf	variable
Streptococcus_sp._oral_taxon_061	5	18	27.77777777777778	Vf	variable
Streptococcus_sp._oral_taxon_431	5	18	27.77777777777778	Vf	variable
Veillonella_parvula	11	18	61.111111111111114	Vf	prevalent
Xanthomonas_campestris	4	18	22.22222222222222	Vf	variable
Acinetobacter_baumannii	3	18	16.666666666666664	Tw	variable
Acinetobacter_junii	5	18	27.77777777777778	Tw	variable
Bifidobacterium_bifidum	3	18	16.666666666666664	Tw	variable
Bifidobacterium_longum	3	18	16.666666666666664	Tw	variable
Brachybacterium_faecium	3	18	16.666666666666664	Tw	variable
Brachybacterium_ginsengisoli	3	18	16.666666666666664	Tw	variable
Brachybacterium_saurashtrense	5	18	27.77777777777778	Tw	variable
Brachybacterium_sp._SGAir0954	3	18	16.666666666666664	Tw	variable
Brevibacterium_casei	11	18	61.111111111111114	Tw	prevalent
Chroococcidiopsis_thermalis	5	18	27.77777777777778	Tw	variable
Chryseobacterium_taklimakanense	6	18	33.33333333333333	Tw	variable
Collinsella_aerofaciens	3	18	16.666666666666664	Tw	variable
Corynebacterium_jeikeium	3	18	16.666666666666664	Tw	variable
Corynebacterium_kefirresidentii	16	18	88.88888888888889	Tw	core
Corynebacterium_matruchotii	4	18	22.22222222222222	Tw	variable
Corynebacterium_segmentosum	4	18	22.22222222222222	Tw	variable
Corynebacterium_simulans	3	18	16.666666666666664	Tw	variable
Corynebacterium_striatum	3	18	16.666666666666664	Tw	variable
Corynebacterium_tuberculostearicum	16	18	88.88888888888889	Tw	core
Cutibacterium_acnes	17	18	94.44444444444444	Tw	core
Deinococcus_radiodurans	3	18	16.666666666666664	Tw	variable
Deinococcus_wulumuqiensis	6	18	33.33333333333333	Tw	variable
Dermacoccus_nishinomiyaensis	7	18	38.88888888888889	Tw	variable
Dermacoccus_sp._PAMC28757	7	18	38.88888888888889	Tw	variable
Epidermidibacterium_keratini	5	18	27.77777777777778	Tw	variable
Finegoldia_magna	7	18	38.88888888888889	Tw	variable
Gordonia_sp._JH63	3	18	16.666666666666664	Tw	variable
Gordonia_terrae	3	18	16.666666666666664	Tw	variable
Haemophilus_parainfluenzae	6	18	33.33333333333333	Tw	variable
Kocuria_indica	3	18	16.666666666666664	Tw	variable
Kocuria_palustris	13	18	72.22222222222221	Tw	prevalent
Kocuria_rhizophila	5	18	27.77777777777778	Tw	variable
Kocuria_sp._KD4	3	18	16.666666666666664	Tw	variable
Kocuria_sp._TGY1120_3	3	18	16.666666666666664	Tw	variable
Kytococcus_sedentarius	10	18	55.55555555555556	Tw	prevalent
Lactobacillus_iners	3	18	16.666666666666664	Tw	variable
Lawsonella_clevelandensis	3	18	16.666666666666664	Tw	variable
Lysobacter_oculi	3	18	16.666666666666664	Tw	variable
Malassezia_furfur	3	18	16.666666666666664	Tw	variable
Malassezia_globosa	11	18	61.111111111111114	Tw	prevalent
Malassezia_restricta	7	18	38.88888888888889	Tw	variable
Methylobacterium_radiodurans	7	18	38.88888888888889	Tw	variable
Micrococcus_luteus	13	18	72.22222222222221	Tw	prevalent
Moraxella_osloensis	17	18	94.44444444444444	Tw	core
Mycobacterium_grossiae	6	18	33.33333333333333	Tw	variable
Mycobacterium_paragordonae	3	18	16.666666666666664	Tw	variable
Neisseria_mucosa	4	18	22.22222222222222	Tw	variable
Neisseria_subflava	4	18	22.22222222222222	Tw	variable
Nocardioides_rotundus	5	18	27.77777777777778	Tw	variable
Ottowia_oryzae	4	18	22.22222222222222	Tw	variable
Ottowia_sp._27C	6	18	33.33333333333333	Tw	variable
Paracoccus_contaminans	8	18	44.44444444444444	Tw	variable
Paracoccus_sanguinis	12	18	66.66666666666666	Tw	prevalent
Paracoccus_sp._AK26	5	18	27.77777777777778	Tw	variable
Paracoccus_sp._MC1862	11	18	61.111111111111114	Tw	prevalent
Paracoccus_yeei	11	18	61.111111111111114	Tw	prevalent
Prevotella_melaninogenica	3	18	16.666666666666664	Tw	variable
Pseudomonas_aeruginosa	3	18	16.666666666666664	Tw	variable
Pseudomonas_oryzihabitans	4	18	22.22222222222222	Tw	variable
Pseudomonas_stutzeri	6	18	33.33333333333333	Tw	variable
Rhodococcus_sp._PBTS_1	5	18	27.77777777777778	Tw	variable
Roseomonas_gilardii	3	18	16.666666666666664	Tw	variable
Roseomonas_mucosa	3	18	16.666666666666664	Tw	variable
Roseomonas_sp._FDAARGOS_362	4	18	22.22222222222222	Tw	variable
Rothia_amarae	3	18	16.666666666666664	Tw	variable
Rothia_mucilaginosa	3	18	16.666666666666664	Tw	variable
Schaalia_odontolytica	4	18	22.22222222222222	Tw	variable
Skermanella_sp._TT6	5	18	27.77777777777778	Tw	variable
Sphingomonas_melonis	4	18	22.22222222222222	Tw	variable
Sphingomonas_paucimobilis	3	18	16.666666666666664	Tw	variable
Staphylococcus_aureus	7	18	38.88888888888889	Tw	variable
Staphylococcus_capitis	17	18	94.44444444444444	Tw	core
Staphylococcus_caprae	12	18	66.66666666666666	Tw	prevalent
Staphylococcus_cohnii	9	18	50	Tw	variable
Staphylococcus_epidermidis	18	18	100	Tw	core
Staphylococcus_haemolyticus	18	18	100	Tw	core
Staphylococcus_hominis	17	18	94.44444444444444	Tw	core
Staphylococcus_lugdunensis	5	18	27.77777777777778	Tw	variable
Staphylococcus_pasteuri	3	18	16.666666666666664	Tw	variable
Staphylococcus_saprophyticus	9	18	50	Tw	variable
Staphylococcus_sp._M0911	4	18	22.22222222222222	Tw	variable
Staphylococcus_sp._SB1-57	3	18	16.666666666666664	Tw	variable
Staphylococcus_warneri	15	18	83.33333333333334	Tw	core
Stenotrophomonas_maltophilia	4	18	22.22222222222222	Tw	variable
Streptococcus_mitis	3	18	16.666666666666664	Tw	variable
Streptococcus_oralis	5	18	27.77777777777778	Tw	variable
Streptococcus_salivarius	3	18	16.666666666666664	Tw	variable
Tsukamurella_tyrosinosolvens	4	18	22.22222222222222	Tw	variable
Veillonella_parvula	5	18	27.77777777777778	Tw	variable
