species	MHS340	MHS348	MHS420	MHS431	MHS602
Burkholderia sp. JP2-270	     7	0	0	0	0
Burkholderia sp. NRF60-BP8	     2	0	0	0	     7
Burkholderia sp. RPE67	     1	0	0	0	0
Burkholderia pseudomallei	     6	0	0	     4	    22
Burkholderia oklahomensis	     5	0	0	0	0
Burkholderia thailandensis	     1	0	0	     6	     4
Burkholderia sp. BDU6	     1	0	0	     2	     1
Burkholderia glumae	    20	0	0	0	    15
Burkholderia plantarii	    19	    1	0	0	     5
Burkholderia gladioli	     5	0	0	     5	    84
Cupriavidus basilensis	   102	   13	0	    18	   101
Cupriavidus taiwanensis	    80	    1	0	   315	    66
Cupriavidus campinensis	    69	   10	0	     6	    70
Cupriavidus pauculus	    63	    1	0	    28	    96
Cupriavidus sp. USMAA2-4	    19	0	0	0	    43
Cupriavidus sp. EM10	    11	    5	0	0	    52
Cupriavidus sp. KK10	     1	0	0	0	0
Cupriavidus oxalaticus	    34	0	0	    12	    86
Cupriavidus metallidurans	    23	    3	0	    12	    73
Cupriavidus neocaledonicus	    17	0	0	0	     7
Cupriavidus necator	    16	0	0	     1	    56
Cupriavidus nantongensis	     4	    1	0	0	     6
Cupriavidus gilardii	     2	0	0	0	    20
Cupriavidus pinatubonensis	     2	0	0	0	    23
Cupriavidus malaysiensis	     1	0	0	0	     8
Paraburkholderia fungorum	   138	    8	0	    21	    31
Paraburkholderia aromaticivorans	    83	    4	0	     3	    16
Paraburkholderia sp. PGU19	    52	0	0	0	     3
Paraburkholderia sp. PGU16	    14	0	0	0	    16
Paraburkholderia sp. 7MH5	     9	0	0	0	     4
Paraburkholderia megapolitana	    24	0	0	0	     3
Paraburkholderia sprentiae	    20	0	0	0	    25
Paraburkholderia phenoliruptrix	    15	0	0	0	     4
Paraburkholderia acidisoli	     8	0	0	0	     7
Paraburkholderia edwinii	     7	0	0	     1	0
Paraburkholderia caledonica	     3	0	0	     1	     8
Paraburkholderia caribensis	     2	0	0	     2	    20
Paraburkholderia terricola	     2	0	0	0	     1
Paraburkholderia acidiphila	     2	0	0	0	    22
Paraburkholderia caffeinilytica	     2	    1	0	     1	     3
Paraburkholderia graminis	     1	0	0	     1	     2
Paraburkholderia atlantica	     1	0	0	0	    11
Paraburkholderia dokdonella	     1	0	0	0	     3
Paraburkholderia phytofirmans	     1	0	0	0	     5
Paraburkholderia hospita	     1	0	0	     1	    15
Paraburkholderia tropica	     1	0	0	0	     5
Paraburkholderia xenovorans	     1	0	0	     2	     3
Ralstonia insidiosa	   133	    4	0	    16	   148
Ralstonia pickettii	    85	    3	0	0	    30
Ralstonia solanacearum	    58	    8	0	     5	   114
Ralstonia mannitolilytica	    33	0	0	     4	    10
Pandoraea pnomenusa	    28	0	0	0	    27
Pandoraea apista	    24	0	0	     2	    14
Pandoraea sp. XY-2	    16	0	0	0	     4
Pandoraea norimbergensis	     4	    1	0	     3	    10
Pandoraea sputorum	     3	    1	0	0	0
Pandoraea oxalativorans	     2	0	0	     2	     2
Pandoraea pulmonicola	     1	0	0	0	     1
Pandoraea thiooxydans	     1	0	0	0	    22
Pandoraea vervacti	     1	0	0	0	    20
Lautropia mirabilis	    13	0	0	     4	    26
Caballeronia insecticola	     2	0	0	0	     2
Chitinimonas arctica	     1	0	0	0	    11
Massilia sp. NP310	   430	   34	0	    13	    42
Massilia sp. WG5	   142	   16	0	     1	    91
Massilia sp. LPB0304	    40	    3	0	     3	    38
Massilia sp. PAMC28688	    26	0	0	0	     5
Massilia sp. NR 4-1	    24	    2	0	     2	     7
Massilia sp. YMA4	    12	0	0	0	     9
Massilia sp. CCM 8941	     5	0	0	0	     3
Massilia flava	    53	    6	0	     2	    20
Massilia putida	    51	    2	0	     2	    52
Massilia oculi	    26	    5	0	0	    22
Massilia umbonata	    16	    3	0	     1	    15
Massilia violaceinigra	    13	    4	0	0	    21
Massilia lutea	     5	0	0	     6	     4
Massilia albidiflava	     4	    1	0	0	    16
Massilia armeniaca	     3	0	0	     3	    38
Massilia plicata	     2	    2	0	     2	    43
Herbaspirillum huttiense	   209	   18	0	    22	   419
Herbaspirillum seropedicae	    40	    1	0	     2	    16
Herbaspirillum hiltneri	    31	0	0	0	     8
Herbaspirillum rubrisubalbicans	    26	0	0	     3	     6
Herbaspirillum robiniae	    21	    1	0	     1	    32
Herbaspirillum frisingense	     4	0	0	     2	    14
Herbaspirillum sp. meg3	     1	0	0	     1	     7
Janthinobacterium sp. 1_2014MBL_MicDiv	    46	    1	0	     5	    42
Janthinobacterium sp. LM6	    22	0	0	     4	    44
Janthinobacterium sp. HH102	    19	0	0	0	    16
Janthinobacterium sp. PAMC25594	     9	    4	0	     3	    22
Janthinobacterium sp. 17J80-10	     4	0	0	     2	     1
Janthinobacterium sp. Marseille	     2	0	0	     4	    17
Janthinobacterium tructae	    42	0	0	     4	0
Janthinobacterium agaricidamnosum	    22	    1	0	     2	    34
Janthinobacterium svalbardensis	     7	0	0	     3	    30
Janthinobacterium lividum	     4	0	0	     2	    11
Duganella sp. GN2-R2	    88	   14	0	     2	   121
Duganella sp. AF9R3	     1	    5	0	     8	    64
Collimonas arenae	     7	0	0	     1	    15
Collimonas fungivorans	     5	0	0	     2	    12
Collimonas pratensis	     1	0	0	     1	     2
Undibacterium sp. YM2	    26	0	0	0	     2
Undibacterium sp. KW1	    10	0	0	0	    23
Glaciimonas sp. PAMC28666	    16	0	0	0	0
Achromobacter deleyi	   211	0	0	     6	    50
Achromobacter xylosoxidans	   108	    1	0	    19	   154
Achromobacter insolitus	    29	0	0	     3	    14
Achromobacter denitrificans	    18	    1	0	0	    27
Achromobacter spanius	    18	0	0	     1	    86
Achromobacter sp. AONIH1	    14	    3	0	     1	    37
Achromobacter sp.	     2	0	0	0	0
Achromobacter sp. MFA1 R4	     1	0	0	0	    30
Achromobacter pestifer	     4	0	0	0	    18
Achromobacter ruhlandii	     1	0	0	0	     1
Achromobacter mucicolens	     1	0	0	     2	     9
Alcaligenes faecalis	   149	   10	0	    25	    60
Alcaligenes aquatilis	    36	    8	0	0	    22
Alcaligenes sp. HO-1	    28	0	0	     3	0
Alcaligenes sp. SORT26	     1	0	0	     1	     1
Bordetella trematum	    56	    6	0	0	    25
Bordetella hinzii	    32	    1	0	0	    48
Bordetella bronchialis	    27	0	0	     1	    68
Bordetella genomosp. 13	    15	0	0	0	    10
Bordetella genomosp. 8	    12	0	0	0	    11
Bordetella petrii	     7	0	0	0	    48
Bordetella avium	     4	0	0	     5	    14
Bordetella sp. H567	     2	    3	0	0	    24
Bordetella sp. N	     1	0	0	     1	     9
Bordetella bronchiseptica	     1	0	0	0	    13
Bordetella parapertussis	     1	0	0	0	0
Bordetella flabilis	     1	    1	0	0	    38
Pigmentiphaga sp. H8	    30	    2	0	0	    33
Pusillimonas sp. T7-7	     8	0	0	0	     3
Taylorella equigenitalis	     6	0	0	0	0
Kerstersia gyiorum	     4	0	0	0	     6
Algicoccus marinus	     3	0	0	0	     7
Advenella kashmirensis	     1	    7	0	0	     2
Aquabacterium olei	   189	    6	0	     2	   186
Mitsuaria sp. 7	   147	    4	0	     5	    89
Methylibium petroleiphilum	    48	    4	0	     6	    35
Methylibium sp. Pch-M	     3	    2	0	     1	    69
Rhizobacter sp. AJA081-3	    48	    2	0	     9	   101
Rhizobacter gummiphilus	     2	0	0	     4	    90
Xylophilus rhododendri	    46	    5	0	     6	   301
Leptothrix cholodnii	    41	    3	0	     1	   100
Sphaerotilus natans	    30	    1	0	    20	    18
Rubrivivax gelatinosus	    28	    3	0	     1	    90
Tepidimonas taiwanensis	    12	0	0	     2	    61
Inhella inkyongensis	    12	    3	0	     4	    31
Paucibacter sp. KCTC 42545	     5	    4	0	     8	    20
Thiomonas sp. X19	     4	0	0	     2	    16
Roseateles depolymerans	     4	    3	0	     7	    72
Sutterella wadsworthensis	     6	0	0	0	    10
Sutterella megalosphaeroides	     1	0	0	0	     2
Thauera sp. MZ1T	   112	    4	0	     4	    19
Thauera sp. K11	     9	0	0	     1	    20
Thauera humireducens	    12	    1	0	     2	    26
Thauera aromatica	     2	    2	0	0	    40
Thauera chlorobenzoica	     1	0	0	     1	    17
Azoarcus sp. KH32C	    22	0	0	0	    24
Azoarcus sp. DD4	    16	    5	0	0	    65
Azoarcus sp. CIB	    10	0	0	     2	    10
Azoarcus sp. M9-3-2	     7	0	0	0	     3
Azoarcus sp. DN11	     2	0	0	     1	    16
Azoarcus olearius	     9	0	0	0	    34
Azospira restricta	    97	0	0	     1	     5
Azospira oryzae	    51	    2	0	0	     8
Aromatoleum petrolei	    17	    4	0	     3	     7
Aromatoleum aromaticum	     1	0	0	     1	    23
Oryzomicrobium terrae	     1	0	0	     4	    17
Dechloromonas sp. TW-R-39-2	    10	0	0	0	    16
Fluviibacter phosphoraccumulans	     1	0	0	0	     6
Methylophilus sp. TWE2	    47	    4	0	0	     9
Methylophilus medardicus	    34	0	0	0	     2
Methylobacillus flagellatus	    51	0	0	0	0
Methylovorus glucosotrophus	     2	0	0	0	0
Candidatus Methylopumilus turicensis	     1	0	0	0	0
Methyloradius palustris	     1	0	0	0	     8
Methyloversatilis sp. RAC08	    30	    1	0	     6	    16
Denitratisoma sp. DHT3	    10	0	0	0	    17
Denitratisoma oestradiolicum	     9	0	0	     2	    17
Sterolibacterium denitrificans	    18	0	0	     1	     1
Sulfuritalea hydrogenivorans	     2	0	0	0	     4
Sideroxydans lithotrophicus	     7	    1	0	0	     4
Gallionella capsiferriformans	     3	0	0	0	     1
Candidatus Nitrotoga sp. AM1P	     1	0	0	0	     1
Nitrosospira multiformis	     2	0	0	0	     1
Nitrosomonas europaea	     1	0	0	0	0
Thiobacillus denitrificans	     3	0	0	     4	    16
Sulfuriferula sp. AH1	     2	0	0	0	0
Usitatibacter rugosus	     1	    1	0	0	     6
Neisseria sicca	   103	0	0	0	    10
Neisseria sp. oral taxon 014	    19	0	0	     3	     1
Neisseria sp. KEM232	     2	0	0	0	     3
Neisseria brasiliensis	     9	0	0	0	0
Neisseria mucosa	     5	0	0	     3	    12
Neisseria meningitidis	     2	0	0	0	    16
Neisseria gonorrhoeae	     1	0	0	     3	     5
Neisseria canis	     1	0	0	0	0
Neisseria shayeganii	     1	0	0	0	     4
Kingella oralis	     3	0	0	     3	     2
Vitreoscilla filiformis	     2	0	0	0	     3
Crenobacter cavernae	     2	0	0	0	    23
Chitinolyticbacter meiyuanensis	     1	0	0	0	    15
Laribacter hongkongensis	    15	0	0	0	     8
Chromobacterium vaccinii	     6	    1	0	     3	    18
Chromobacterium paludis	     2	0	0	0	     4
Chromobacterium violaceum	     1	0	0	0	    18
Pseudogulbenkiania sp. NH8B	     8	    1	0	0	0
Vogesella sp. LIG4	     4	0	0	     2	     7
Jeongeupia sp. HS-3	     2	0	0	0	     9
Jeongeupia sp. USM3	     1	0	0	     3	    11
Microvirgula aerodenitrificans	     2	0	0	0	     2
Aquitalea aquatilis	     1	0	0	0	0
Casimicrobium huifangae	     1	0	0	0	     1
Methylobacterium sp. WL1	   631	   79	0	    17	   241
Methylobacterium sp. DM1	   400	   18	0	     2	    93
Methylobacterium sp. AMS5	   324	   32	0	     5	   141
Methylobacterium sp. C1	   287	   38	0	     8	    57
Methylobacterium sp. XJLW	   254	   19	0	    10	    48
Methylobacterium sp. 17Sr1-1	   248	    9	0	   143	   635
Methylobacterium radiodurans	  1509	  136	0	   110	   568
Methylobacterium brachiatum	  1050	  119	0	    21	   255
Methylobacterium mesophilicum	   699	   91	0	    37	   215
Methylobacterium durans	   526	   47	0	    11	   170
Methylobacterium aquaticum	   520	   36	0	    65	   828
Methylobacterium indicum	   519	   46	0	    30	   246
Methylobacterium phyllosphaerae	   499	   13	0	    11	    19
Methylobacterium currus	   359	   41	0	    61	   612
Methylobacterium radiotolerans	   291	   35	0	     8	    54
Methylobacterium nodulans	   166	   39	0	    11	   264
Methylobacterium terrae	   133	   12	0	    28	   593
Methylobacterium oryzae	    50	0	0	     1	    47
Methylorubrum populi	  5062	  632	0	   110	   767
Methylorubrum extorquens	   969	  117	0	    66	  9148
Methylorubrum zatmanii	    26	    8	0	0	   134
Microvirga ossetica	    54	    4	0	     4	    37
Microvirga sp. 17 mud 1-3	    25	    6	0	     1	     7
Microvirga sp. VF16	     9	    3	0	     2	    32
Microvirga thermotolerans	    10	   16	0	0	    45
Mesorhizobium sp. Pch-S	  4174	  143	0	   249	   128
Mesorhizobium sp. NZP2298	    45	0	0	     4	0
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	    39	0	0	0	    13
Mesorhizobium sp. DCY119	    33	    1	0	0	    54
Mesorhizobium sp. 113-1-2	    11	    1	0	0	     3
Mesorhizobium sp. NZP2077	    11	    6	0	0	     5
Mesorhizobium sp. INR15	    11	0	0	0	    32
Mesorhizobium sp. 8	    10	    1	0	     1	    33
Mesorhizobium sp. L-2-11	     8	0	0	0	     9
Mesorhizobium sp. NIBR3	     7	0	0	     4	    13
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	     7	0	0	     1	0
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	     5	0	0	0	    13
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	     4	    3	0	0	    30
Mesorhizobium sp. J8	     3	0	0	0	     3
Mesorhizobium sp. NBSH29	     3	0	0	0	    18
Mesorhizobium sp. L-8-10	     1	0	0	0	     7
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	     1	0	0	0	     3
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	     1	0	0	0	    33
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	     1	    2	0	     2	    10
Mesorhizobium sp. 131-2-1	     1	    1	0	     7	    24
Mesorhizobium sp. 113-3-9	     1	0	0	     4	    38
Mesorhizobium terrae	    48	0	0	     2	    47
Mesorhizobium loti	     6	0	0	0	    23
Mesorhizobium oceanicum	     6	    3	0	     1	    12
Mesorhizobium erdmanii	     4	0	0	0	     2
Mesorhizobium amorphae	     3	0	0	0	     3
Mesorhizobium australicum	     2	0	0	     1	    10
Mesorhizobium huakuii	     1	0	0	     2	     2
Mesorhizobium ciceri	     1	0	0	0	     1
Mesorhizobium opportunistum	     1	0	0	0	    12
Nitratireductor sp. OM-1	     8	    1	0	0	     1
Nitratireductor sp. SY7	     8	    2	0	0	     8
Nitratireductor kimnyeongensis	     9	0	0	     1	     2
Phyllobacterium sp. 628	    13	0	0	     2	    95
Phyllobacterium zundukense	    10	0	0	     1	    18
Hoeflea sp. IMCC20628	    18	0	0	     2	0
Hoeflea phototrophica	     1	0	0	     2	    12
Aminobacter sp. SR38	     6	0	0	     3	     2
Aminobacter sp. MSH1	     4	0	0	0	   177
Roseitalea porphyridii	     1	    6	0	0	     9
Bradyrhizobium sp. PSBB068	   390	  277	0	    21	    11
Bradyrhizobium sp. 6(2017)	   139	    1	0	     5	    42
Bradyrhizobium sp. SK17	    48	    2	0	     5	    23
Bradyrhizobium sp. CCBAU 51753	    43	    1	0	     4	    22
Bradyrhizobium sp. ORS 285	    42	0	0	0	    49
Bradyrhizobium sp. CCBAU 53351	    37	    1	0	0	    25
Bradyrhizobium sp. BTAi1	    34	    3	0	     4	    81
Bradyrhizobium sp. CCBAU 53338	    34	    1	0	0	     3
Bradyrhizobium sp. S2-11-2	    22	0	0	0	     3
Bradyrhizobium sp. CCBAU 53340	    21	0	0	0	    26
Bradyrhizobium sp. LCT2	    20	0	0	0	     4
Bradyrhizobium sp. 1(2017)	    19	0	0	     2	     4
Bradyrhizobium sp. CCBAU 51765	    18	    1	0	     2	    19
Bradyrhizobium sp. WSM471	    17	0	0	0	     5
Bradyrhizobium sp. S2-11-4	    15	0	0	0	     1
Bradyrhizobium sp. CCBAU 051011	    13	0	0	     1	    42
Bradyrhizobium sp.	    10	0	0	0	     3
Bradyrhizobium sp. S2-20-1	     7	0	0	0	     1
Bradyrhizobium sp. CCBAU 53421	     3	    2	0	0	    36
Bradyrhizobium sp. CCGE-LA001	     1	    3	0	     2	    18
Bradyrhizobium sp. TM102	     1	0	0	0	0
Bradyrhizobium betae	   233	   18	0	    12	    58
Bradyrhizobium erythrophlei	   129	    9	0	     7	    51
Bradyrhizobium diazoefficiens	   112	    5	0	     2	    61
Bradyrhizobium cosmicum	    61	    2	0	     2	    17
Bradyrhizobium genosp. B	    53	    3	0	0	    18
Bradyrhizobium oligotrophicum	    40	    2	0	0	    37
Bradyrhizobium icense	    36	    1	0	0	    43
Bradyrhizobium guangdongense	    26	0	0	0	     2
Bradyrhizobium arachidis	    25	    1	0	0	    28
Bradyrhizobium lablabi	    18	0	0	     2	    11
Bradyrhizobium genosp. L	    17	    3	0	     6	    38
Bradyrhizobium amphicarpaeae	    16	0	0	     1	    13
Bradyrhizobium paxllaeri	    16	    6	0	0	    35
Bradyrhizobium canariense	    15	    1	0	     4	    25
Bradyrhizobium zhanjiangense	    11	    1	0	     3	     6
Bradyrhizobium guangxiense	     7	0	0	0	     7
Bradyrhizobium vignae	     6	0	0	0	     4
Bradyrhizobium japonicum	     4	    2	0	0	    43
Bradyrhizobium symbiodeficiens	     4	0	0	     2	    10
Bradyrhizobium guangzhouense	     2	0	0	     8	    20
Rhodopseudomonas sp. SK50-23	   226	   34	0	     4	    38
Rhodopseudomonas palustris	    74	    8	0	     8	   135
Tardiphaga robiniae	    82	    9	0	0	     3
Variibacter gotjawalensis	    55	0	0	0	    41
Afipia sp. GAS231	    22	    1	0	     2	    22
Afipia carboxidovorans	     2	0	0	0	     6
Nitrobacter hamburgensis	     2	    2	0	0	    18
Rhizobium sp. X9	   341	   17	0	    24	   106
Rhizobium sp. L51/94	    52	    5	0	0	     6
Rhizobium sp. ZX09	    39	0	0	0	     1
Rhizobium sp. ACO-34A	    38	0	0	0	    35
Rhizobium sp. AB2/73	    27	    4	0	0	    80
Rhizobium sp. BG4	    12	    1	0	0	     7
Rhizobium sp. NLR16a	    10	0	0	0	     8
Rhizobium sp. CIAT894	    10	    2	0	     1	    32
Rhizobium sp. Khangiran2	    10	0	0	0	     1
Rhizobium sp. 11515TR	     9	0	0	0	0
Rhizobium sp. NZLR1	     1	0	0	     1	     1
Rhizobium sp. WL3	     1	0	0	0	     3
Rhizobium sp. NIBRBAC000502774	     1	0	0	0	    27
Rhizobium sp. NXC24	     1	0	0	     2	0
Rhizobium oryzihabitans	   255	   13	0	    35	   124
Rhizobium phaseoli	    75	0	0	0	     3
Rhizobium pusense	    65	    3	0	     5	    93
Rhizobium leguminosarum	    18	    2	0	     1	   500
Rhizobium rosettiformans	    11	    6	0	     5	    12
Rhizobium lusitanum	     7	0	0	0	    23
Rhizobium pseudoryzae	     5	0	0	     1	    19
Rhizobium tropici	     4	0	0	0	0
Rhizobium etli	     4	0	0	     3	    11
Rhizobium bangladeshense	     2	0	0	0	     2
Rhizobium favelukesii	     1	    1	0	     5	    18
Rhizobium rhizoryzae	     1	0	0	0	     1
Rhizobium acidisoli	     1	0	0	0	     2
Agrobacterium tumefaciens	    75	    7	0	    14	    95
Agrobacterium sp. S7/73	    20	    1	0	0	    41
Agrobacterium vitis	    12	0	0	     1	    14
Agrobacterium larrymoorei	    10	0	0	0	0
Agrobacterium rhizogenes	     3	0	0	0	    32
Neorhizobium sp. NCHU2750	    28	0	0	     2	     6
Neorhizobium sp. SOG26	     1	    2	0	0	     9
Neorhizobium galegae	    26	0	0	0	     9
Pseudorhizobium flavum	    19	0	0	0	     2
Pseudorhizobium banfieldiae	     7	0	0	0	     2
Ensifer adhaerens	    61	    3	0	     5	    54
Ensifer sojae	    32	    5	0	0	     1
Ensifer alkalisoli	    26	0	0	0	    14
Ensifer mexicanus	     4	0	0	0	    16
Sinorhizobium fredii	    10	0	0	     1	    34
Sinorhizobium meliloti	     2	0	0	0	    19
Sinorhizobium americanum	     1	0	0	0	    12
Sinorhizobium sp. BG8	     1	0	0	     2	    12
Shinella sp. HZN7	    42	    5	0	     4	    26
Shinella sp. PSBB067	     1	0	0	0	    27
Georhizobium profundi	    30	0	0	0	     5
Peteryoungia desertarenae	     2	0	0	0	     1
Ciceribacter thiooxidans	     1	    1	0	     1	0
Bosea sp. RAC05	   155	   38	0	     2	  3224
Bosea sp. F3-2	    61	0	0	     2	   121
Bosea sp. AS-1	    60	    5	0	0	   134
Bosea sp. Tri-49	    51	0	0	    11	   123
Bosea sp. ANAM02	    22	    1	0	     8	   201
Bosea sp. PAMC 26642	    15	0	0	     4	   373
Bosea vaviloviae	    22	0	0	     1	   220
Hyphomicrobium denitrificans	   134	    2	0	     9	    24
Hyphomicrobium sp. MC1	    28	0	0	     4	    11
Hyphomicrobium nitrativorans	    13	0	0	     1	     1
Aquabacter sp. L1I39	    23	    1	0	0	    21
Rhodoplanes sp. Z2-YC6860	    20	0	0	     8	    26
Methyloceanibacter caenitepidi	    15	0	0	     1	     2
Candidatus Filomicrobium marinum	     8	0	0	0	     7
Caenibius tardaugens	     3	0	0	0	    17
Caenibius sp. WL	     2	    2	0	     2	    14
Rhodomicrobium vannielii	     1	    1	0	0	0
Methyloligella sp. GL2	     1	0	0	     2	     6
Xanthobacter sp. YN2	   127	0	0	     3	    56
Starkeya novella	    30	0	0	     1	    21
Starkeya sp. ORNL1	     5	0	0	0	    21
Pseudolabrys taiwanensis	    26	    2	0	     3	    16
Pseudolabrys sp. FHR47	     4	    2	0	0	    12
Labrys sp. KNU-23	    20	0	0	    27	     7
Ancylobacter sp. TS-1	    10	    8	0	0	    36
Ancylobacter pratisalsi	     5	0	0	     1	   270
Azorhizobium caulinodans	     1	0	0	     1	    27
Stappia sp. ES.058	    26	0	0	     3	    27
