species	MHS470	MHS524	MHS552	MHS566	MHS581
Vibrio atlanticus	      1	0	0	0	     1
Photobacterium damselae	     11	0	0	    1	0
Photobacterium profundum	      8	0	0	0	0
Photobacterium gaetbulicola	      1	     1	     4	0	0
Photobacterium sp. GJ3	      1	    10	0	0	     1
Aliivibrio salmonicida	      5	0	0	0	0
Aliivibrio fischeri	      4	0	     2	0	0
Salinivibrio costicola	      3	0	0	0	0
Salinivibrio kushneri	      2	0	     1	0	     3
Candidatus Enterovibrio luxaltus	      4	0	0	0	0
Thaumasiovibrio subtropicus	      3	     1	0	0	0
Grimontia hollisae	      1	0	     1	0	0
Plesiomonas shigelloides	 561756	   120	   116	  116	    72
Klebsiella pneumoniae	   8054	 14591	 20554	17067	 11602
Klebsiella grimontii	    474	  1182	  1609	 1292	   904
Klebsiella aerogenes	     25	    30	    35	   28	    31
Klebsiella quasipneumoniae	      8	    54	    72	   53	   137
Klebsiella oxytoca	      3	   268	   263	  321	   404
Klebsiella variicola	      2	    28	    59	   28	    46
Klebsiella michiganensis	      2	  4239	  3658	 3510	  4873
Klebsiella huaxiensis	      2	    48	    29	   46	    47
Klebsiella quasivariicola	      1	     8	     6	    1	     7
Escherichia coli	   3852	    98	    85	  131	   145
Escherichia fergusonii	      7	     4	     1	    2	0
Escherichia marmotae	      7	0	     1	0	0
Escherichia sp. E4742	      3	     1	     1	    2	     3
Escherichia albertii	      1	     6	     2	    2	     7
Salmonella enterica	    141	    89	    55	   60	    59
Salmonella bongori	      4	     5	     2	0	     1
Salmonella sp.	      1	     9	0	    2	     4
Enterobacter hormaechei	     11	   169	   197	  107	   290
Enterobacter cloacae	      7	     9	    20	   11	    54
Enterobacter kobei	      5	     1	    10	    6	     2
Enterobacter asburiae	      1	     3	     4	   11	    10
Enterobacter cancerogenus	      1	     1	     5	    7	     6
Enterobacter ludwigii	      1	     9	0	0	0
Enterobacter roggenkampii	      1	     1	    10	    6	     7
Enterobacter chuandaensis	      1	0	     3	    2	     2
Enterobacter cloacae complex sp.	      1	     3	     9	    3	     9
Enterobacter sp. SES19	      1	0	0	0	0
Enterobacter sp. RHBSTW-00175	      1	0	    14	   14	     5
Enterobacter sp. SA187	      1	     5	     9	0	0
Enterobacter bugandensis	      1	     1	     1	0	     7
Citrobacter sp. RHBSTW-00021	      4	0	0	0	0
Citrobacter sp. R56	      2	    15	     9	    6	     5
Citrobacter sp. BDA59-3	      1	     4	    32	   29	    38
Citrobacter sp. RHB36-C18	      1	0	0	0	0
Citrobacter freundii	      2	    13	   125	  270	   603
Citrobacter amalonaticus	      1	0	    10	    2	0
Candidatus Hamiltonella defensa	      3	0	0	0	0
secondary endosymbiont of Heteropsylla cubana	      2	0	0	0	0
secondary endosymbiont of Ctenarytaina eucalypti	      2	0	0	0	     1
Candidatus Purcelliella pentastirinorum	      3	     2	0	0	0
Candidatus Symbiopectobacterium sp. SyEd1	      1	     6	0	    1	     8
secondary endosymbiont of Trabutina mannipara	      1	0	0	0	0
Candidatus Annandia adelgestsuga	      1	0	0	0	0
Candidatus Doolittlea endobia	      1	0	     3	    1	0
Pluralibacter gergoviae	     12	    12	     8	   20	    13
[Enterobacter] lignolyticus	      1	0	     1	    3	0
Kosakonia pseudosacchari	      3	0	     1	0	     2
Kosakonia sp. SMBL-WEM22	      2	     2	0	0	     7
Kosakonia cowanii	      1	     1	     1	    5	    24
Kosakonia oryzae	      1	0	0	0	0
Shigella dysenteriae	      3	0	     1	    1	0
Shigella flexneri	      1	     3	     1	   14	     2
Shigella sonnei	      1	0	0	0	0
Leclercia adecarboxylata	      3	    18	     2	    1	    10
Leclercia sp. W6	      2	     2	     2	    1	     1
Raoultella planticola	      2	    11	    20	    9	     2
Raoultella ornithinolytica	      2	    36	    46	   14	    44
Cronobacter sakazakii	      4	     1	     7	    2	     3
Enterobacteriaceae endosymbiont of Neohaemonia nigricornis	      2	0	0	0	0
Enterobacteriaceae endosymbiont of Donacia cincticornis	      1	0	0	0	0
Scandinavium goeteborgense	      2	     1	0	    1	     8
Lelliottia amnigena	      1	     8	0	    6	    14
Lelliottia sp. WB101	      1	     1	0	0	     5
Candidatus Ishikawaella capsulata	      1	0	0	0	0
Cedecea neteri	      1	0	     2	0	     7
Edwardsiella piscicida	    736	0	     3	0	0
Edwardsiella ictaluri	    238	     2	     1	    1	0
Edwardsiella hoshinae	      6	     1	0	0	0
Edwardsiella anguillarum	      1	0	0	0	0
Hafnia alvei	      1	0	0	    4	     1
Serratia marcescens	     12	   392	   350	  243	   530
Serratia sp. CMO1	      3	0	     3	0	     1
Serratia sp. FGI94	      1	     9	    18	   14	     9
Serratia sp. ATCC 39006	      1	    12	     2	    1	     7
Serratia rubidaea	      4	    44	    64	   22	    33
Serratia odorifera	      2	    85	    27	   66	   113
Serratia plymuthica	      1	   476	   516	  370	   607
Serratia symbiotica	      1	    31	    43	   32	    18
Serratia fonticola	      1	    64	    92	   62	    92
Yersinia pestis	     10	     1	0	0	     4
Yersinia pseudotuberculosis	      1	0	0	0	0
Yersinia frederiksenii	      4	0	0	0	     1
Yersinia enterocolitica	      3	     6	     3	    1	     4
Yersinia aldovae	      2	     2	     2	0	     3
Yersinia intermedia	      1	0	0	0	0
Yersinia entomophaga	      1	0	     1	    2	0
Yersinia mollaretii	      1	0	0	0	0
Ewingella americana	      3	     9	     1	    4	    11
Rahnella aquatilis	      1	     2	0	0	     1
Rahnella inusitata	      1	    13	     7	    3	    27
Morganella morganii	     15	     2	     2	0	     8
Photorhabdus thracensis	      4	0	0	0	0
Photorhabdus akhurstii	      2	     1	0	0	     2
Photorhabdus asymbiotica	      1	0	0	0	0
Proteus mirabilis	      3	0	0	    1	0
Proteus vulgaris	      1	     1	0	0	0
Proteus penneri	      1	     1	0	    1	0
Proteus terrae	      1	0	     3	0	     1
Arsenophonus nasoniae	      5	0	0	    1	0
Arsenophonus endosymbiont of Aleurodicus dispersus	      1	0	0	0	0
Providencia rettgeri	      2	     1	     1	0	     2
Providencia stuartii	      2	0	0	0	0
Xenorhabdus poinarii	      2	0	0	0	0
Xenorhabdus nematophila	      1	0	0	    6	     1
Xenorhabdus bovienii	      1	     1	0	    1	0
Pantoea sp. MSR2	      2	0	0	    1	     2
Pantoea sp. SO10	      2	    13	0	0	0
Pantoea sp. At-9b	      1	0	     3	    1	0
Pantoea sp. CCBC3-3-1	      1	0	     2	    1	0
Pantoea dispersa	      3	     7	    14	    3	    13
Pantoea agglomerans	      3	    38	    11	   14	     4
Pantoea stewartii	      2	    11	     1	0	     6
Erwinia amylovora	      9	     8	     2	    1	     3
Erwinia persicina	      2	    16	    12	   16	    32
Erwinia sp. Ejp617	      1	0	     1	0	     1
Buchnera aphidicola	      7	    13	     1	    2	     1
Mixta gaviniae	      2	0	0	    4	     5
Pectobacterium parmentieri	      4	     1	     4	0	0
Pectobacterium carotovorum	      2	     2	0	    3	     4
Pectobacterium odoriferum	      1	0	0	0	0
Pectobacterium polaris	      1	     7	0	0	     6
Dickeya zeae	      1	     2	     8	    1	    12
Dickeya poaceiphila	      1	0	0	0	     7
Dickeya solani	      1	     1	0	0	     3
Brenneria goodwinii	      1	    23	     8	    2	     4
Candidatus Sodalis pierantonius	      8	0	0	    2	0
Sodalis endosymbiont of Henestaris halophilus	      3	     8	0	0	0
Sodalis sp. dw_23	      1	0	     5	0	     2
Pseudomonas aeruginosa	    339	  1610	  1267	  820	  1954
Pseudomonas oleovorans	     16	    55	    54	  102	   192
Pseudomonas nitroreducens	      5	    54	    81	    8	    39
Pseudomonas multiresinivorans	      4	    13	     5	    1	    19
Pseudomonas mendocina	      6	    48	    96	   41	   115
Pseudomonas alcaligenes	      6	    14	    31	   11	    30
Pseudomonas resinovorans	      3	     2	     5	   21	     2
Pseudomonas citronellolis	      2	     5	     5	0	    10
Pseudomonas rhizosphaerae	    282	    10	     3	    1	     5
Pseudomonas sp. J380	     20	    19	    42	   24	    13
Pseudomonas sp. phDV1	     19	   143	    69	   65	   177
Pseudomonas sp. OE 28.3	     17	    73	    85	   75	   110
Pseudomonas sp. NS1(2017)	     15	    70	    64	   49	   123
Pseudomonas sp. IB20	      8	    16	     8	   14	    26
Pseudomonas sp. S35	      5	    38	    43	   21	    51
Pseudomonas sp. DR208	      4	    19	    40	   13	    14
Pseudomonas sp. LPB0260	      4	    10	     9	    3	    43
Pseudomonas sp. TKP	      4	  1064	   862	  657	   978
Pseudomonas sp. LAB-08	      4	     7	    11	    7	    11
Pseudomonas sp. TUM18999	      4	     9	     1	    4	     3
Pseudomonas sp. MPC6	      4	     8	     4	   11	    17
Pseudomonas sp. CFSAN084952	      4	    23	    19	    6	    11
Pseudomonas sp. Ost2	      4	     8	    15	   10	    28
Pseudomonas sp. R5-89-07	      4	    17	    34	   26	    18
Pseudomonas sp. LBUM920	      4	0	     7	    1	    21
Pseudomonas sp. Y39-6	      3	    20	     4	   12	    52
Pseudomonas sp. JY-Q	      3	0	0	0	0
Pseudomonas sp. LG1D9	      3	     7	     2	    6	     5
Pseudomonas sp. SWI7	      3	0	0	0	0
Pseudomonas sp. SCB32	      3	    15	     6	   21	    53
Pseudomonas sp. 31-12	      3	     3	    10	    3	     9
Pseudomonas sp. ADAK13	      2	    63	    23	   34	    92
Pseudomonas sp. DY-1	      2	     1	     1	    7	0
Pseudomonas sp. THAF7b	      2	0	     1	0	0
Pseudomonas sp. B11D7D	      2	     4	    15	   10	    46
Pseudomonas sp. Leaf58	      2	     4	     8	    5	    18
Pseudomonas sp. S150	      2	     5	     8	    2	     2
Pseudomonas sp. BIOMIG1BAC	      2	    14	    10	   38	     4
Pseudomonas sp. MYb193	      2	    12	    10	   13	    36
Pseudomonas sp. TCU-HL1	      2	     7	     4	    9	    12
Pseudomonas sp. LPH1	      2	     3	    12	   10	    28
Pseudomonas sp. SNU WT1	      2	     2	     4	    3	    11
Pseudomonas sp. FDAARGOS_380	      2	    61	    55	   31	    37
Pseudomonas sp. HLS-6	      2	    10	     6	    6	    14
Pseudomonas sp. MTM4	      2	    14	    21	  346	    17
Pseudomonas sp. AN-B15	      2	     2	    10	    7	    11
Pseudomonas sp. LG1E9	      2	    35	    28	   10	    18
Pseudomonas sp. ATCC 13867	      2	    17	     5	   18	    42
Pseudomonas sp. SK2	      2	0	0	0	0
Pseudomonas sp. PP3	      2	    11	    10	    3	    10
Pseudomonas sp. BIGb0427	      1	     1	     8	0	0
Pseudomonas sp. ADAK18	      1	    12	    16	    3	    17
Pseudomonas sp. UW4	      1	     8	     3	0	     2
Pseudomonas sp. K2W31S-8	      1	    15	    15	    3	     7
Pseudomonas sp. AO-1	      1	    13	    20	   41	    46
Pseudomonas sp. SK3(2021)	      1	0	    14	0	     4
Pseudomonas sp. SK	      1	0	     5	0	     1
Pseudomonas sp. R3-18-08	      1	0	     1	0	     2
Pseudomonas sp. LTJR-52	      1	     2	0	0	     6
Pseudomonas sp. Tri1	      1	     5	    12	   12	    10
Pseudomonas sp. ACM7	      1	0	     6	    1	    18
Pseudomonas sp. 09C 129	      1	     9	    11	   15	     5
Pseudomonas sp. S09G 359	      1	    32	    53	   22	    37
Pseudomonas sp. SCA2728.1_7	      1	     5	    12	    8	    14
Pseudomonas sp. Cab53	      1	0	0	0	     1
Pseudomonas sp. Pc102	      1	     1	     4	    9	     1
Pseudomonas sp. StFLB209	      1	    11	     7	    3	     5
Pseudomonas sp. SWI36	      1	0	0	0	     1
Pseudomonas sp. PDNC002	      1	     5	    10	    4	    54
Pseudomonas sp. 15A4	      1	0	     8	0	     4
Pseudomonas sp. R76	      1	    13	     9	   12	    21
Pseudomonas sp. ABC1	      1	     2	     4	    4	    23
Pseudomonas sp. S34	      1	     6	    21	    3	     2
Pseudomonas sp. SDM007	      1	    20	     7	    3	    13
Pseudomonas sp. S07E 245	      1	0	     1	    4	0
Pseudomonas tolaasii	     66	    91	    62	   78	    79
Pseudomonas fluorescens	     51	  3290	  3360	 2688	  3732
Pseudomonas azotoformans	     22	   123	   120	   85	   174
Pseudomonas rhodesiae	     10	    48	    59	   75	    88
Pseudomonas mandelii	      6	    15	    12	    5	    13
Pseudomonas protegens	      5	    52	    94	   58	   113
Pseudomonas veronii	      4	   106	    35	   63	    47
Pseudomonas poae	      4	    19	    33	   11	    30
Pseudomonas synxantha	      4	    49	    73	   55	   103
Pseudomonas libanensis	      3	    52	    34	   31	    43
Pseudomonas orientalis	      2	    56	    57	   29	    51
Pseudomonas migulae	      2	     3	    26	   15	    37
Pseudomonas brenneri	      2	    28	    37	   34	    37
Pseudomonas trivialis	      2	    17	    15	   32	    51
Pseudomonas mucidolens	      1	     4	    12	    9	    23
Pseudomonas cedrina	      1	     6	    16	   29	    24
Pseudomonas stutzeri	    119	   506	   406	  167	   388
Pseudomonas xanthomarina	      2	     1	     1	   18	     1
Pseudomonas putida	     57	   272	   235	  153	   855
Pseudomonas oryzihabitans	      8	     7	    13	   10	    20
Pseudomonas plecoglossicida	      4	    12	     5	    3	     8
Pseudomonas monteilii	      4	    26	    18	   10	    32
Pseudomonas fulva	      1	     3	    17	    4	    24
Pseudomonas chlororaphis	     13	   106	    55	   58	    97
Pseudomonas fragi	      8	    61	    38	   50	    98
Pseudomonas simiae	     15	    34	    41	   17	    46
Pseudomonas viridiflava	      5	    12	     7	    4	    15
Pseudomonas amygdali	      5	     7	    17	    4	0
Pseudomonas cichorii	      2	     7	     7	   25	    20
Pseudomonas fuscovaginae	      1	     7	0	   10	     2
Pseudomonas psychrotolerans	     12	    46	    11	    4	    10
Pseudomonas salmasensis	     11	    48	    34	   21	   107
Pseudomonas qingdaonensis	      9	    31	    41	   42	   100
Pseudomonas extremaustralis	      8	    78	    47	   52	    73
Pseudomonas umsongensis	      7	    37	    20	   17	    34
Pseudomonas silesiensis	      6	     8	     3	    7	    11
Pseudomonas oryzae	      5	    20	     8	    5	     3
Pseudomonas alcaliphila	      4	    38	    21	   11	    84
Pseudomonas lurida	      4	    39	    22	   34	    60
Pseudomonas pohangensis	      4	     1	    14	    5	    26
Pseudomonas thivervalensis	      4	     2	     7	    1	     2
Pseudomonas knackmussii	      4	    10	     7	    5	    15
Pseudomonas koreensis	      4	     7	     7	   17	    12
Pseudomonas muyukensis	      4	    12	    16	    7	    40
Pseudomonas otitidis	      3	    12	    16	   13	    39
Pseudomonas versuta	      3	     3	     4	    3	     8
Pseudomonas yamanorum	      3	    52	    71	   37	    89
Pseudomonas anuradhapurensis	      3	     1	0	    5	     1
Pseudomonas antarctica	      3	    20	    13	   12	    41
Pseudomonas xantholysinigenes	      3	0	0	    1	    13
Pseudomonas vanderleydeniana	      3	    13	    10	0	    10
Pseudomonas denitrificans (nom. rej.)	      3	     5	     6	   13	    60
Pseudomonas alvandae	      3	0	     3	    7	    20
Pseudomonas fakonensis	      3	0	     4	    4	     8
Pseudomonas eucalypticola	      2	     4	     1	0	    12
Pseudomonas zarinae	      2	0	     4	0	0
Pseudomonas gozinkensis	      2	0	0	    2	0
Pseudomonas arsenicoxydans	      2	     5	     9	   12	     2
Pseudomonas toyotomiensis	      2	     7	     7	    4	    15
Pseudomonas brassicacearum	      2	     9	     8	    9	     5
Pseudomonas vancouverensis	      2	    17	     5	    1	     7
Pseudomonas entomophila	      2	    36	    12	   23	     8
Pseudomonas allokribbensis	      1	     1	     1	0	     3
Pseudomonas saudiphocaensis	      1	     1	     1	    4	     1
Pseudomonas hamedanensis	      1	     1	     8	   13	     3
Pseudomonas moraviensis	      1	     4	     9	    8	    12
Pseudomonas cremoricolorata	      1	    12	    10	0	     7
Pseudomonas zeae	      1	    32	     6	   13	     7
Pseudomonas sediminis	      1	    21	    40	   20	    47
Pseudomonas glycinae	      1	0	0	    1	0
Pseudomonas litoralis	      1	     5	     3	0	    10
Pseudomonas maumuensis	      1	     2	     7	0	0
Pseudomonas viciae	      1	     1	    10	    4	     9
Pseudomonas lini	      1	     3	    17	    1	     4
Azotobacter vinelandii	      1	     3	     1	0	    17
Azotobacter salinestris	      1	     2	     1	    3	    21
Permianibacter aggregans	      1	0	0	    1	    14
Oblitimonas alkaliphila	      1	     1	0	0	0
Entomomonas moraniae	      1	0	0	0	0
Moraxella osloensis	    869	  2322	  2586	 1996	  4376
Moraxella nonliquefaciens	      1	     1	0	0	    19
Moraxella catarrhalis	      1	     9	0	    6	   100
Acinetobacter johnsonii	    124	   172	   371	  448	   741
Acinetobacter lwoffii	     78	   142	   166	  123	   417
Acinetobacter bereziniae	     74	   202	 30300	26720	 41543
Acinetobacter baumannii	     34	    28	   771	  775	   813
Acinetobacter pittii	      5	     4	    99	  128	   211
Acinetobacter nosocomialis	      2	     7	    57	   47	    73
Acinetobacter sp. MYb10	      8	     7	   272	  137	   245
Acinetobacter sp. NEB 394	      6	    10	   105	   50	   107
Acinetobacter sp. WCHA55	      3	    11	     3	    3	    19
Acinetobacter sp. Marseille-Q1620	      3	     1	    45	   30	    47
Acinetobacter sp. WCHA45	      2	    13	   398	  326	   504
Acinetobacter sp. WY4	      2	     9	0	    4	    24
Acinetobacter sp. TTH0-4	      2	     7	    29	   20	    65
Acinetobacter sp. FDAARGOS_560	      1	0	0	    1	0
Acinetobacter sp. 10FS3-1	      1	     7	    88	   57	    73
Acinetobacter sp. SWBY1	      1	0	     6	   14	     4
Acinetobacter sp. NEB149	      1	0	0	   14	    14
Acinetobacter sp. NCu2D-2	      1	     5	    14	    5	     5
Acinetobacter sp. TGL-Y2	      1	0	    20	   10	    35
Acinetobacter sp. CS-2	      1	    11	    12	   17	    32
Acinetobacter schindleri	     28	   148	    34	  129	   109
Acinetobacter junii	     12	    91	   118	   45	   133
Acinetobacter radioresistens	      9	    19	   273	  176	   187
Acinetobacter pseudolwoffii	      4	     8	     2	    2	    22
Acinetobacter haemolyticus	      3	     5	   241	  174	   345
Acinetobacter shaoyimingii	      3	     1	    29	   30	    26
Acinetobacter guillouiae	      3	    10	   230	  136	   226
Acinetobacter ursingii	      3	     2	   258	  166	   261
Acinetobacter variabilis	      3	0	    46	    9	    22
Acinetobacter indicus	      2	    19	   151	  145	   239
Acinetobacter wuhouensis	      2	0	   137	  114	   208
Acinetobacter gyllenbergii	      1	0	    61	   28	    57
Acinetobacter bouvetii	      1	     3	    12	   10	    13
Acinetobacter septicus	      1	     8	0	    4	     5
Acinetobacter piscicola	      1	0	    66	   73	    98
Psychrobacter sp. 28M-43	      1	0	0	0	     8
Stenotrophomonas maltophilia	    356	  2375	  2974	 1776	  3463
Stenotrophomonas sp. SAU14A_NAIMI4_5	      3	     9	     6	    8	    18
Stenotrophomonas sp. ESTM1D_MKCIP4_1	      2	    19	    16	   17	    12
Stenotrophomonas sp. LM091	     35	    22	    94	   29	    60
Stenotrophomonas sp. ASS1	      8	    22	    79	   29	    61
Stenotrophomonas sp. 364	      6	     5	    10	    5	    19
Stenotrophomonas sp. NA06056	      5	     1	    15	    3	     6
Stenotrophomonas sp. 169	      1	     9	    17	    8	    19
Stenotrophomonas rhizophila	     18	    41	   150	   37	   148
Stenotrophomonas acidaminiphila	      4	    14	   104	   32	    63
Stenotrophomonas indicatrix	      2	     5	     1	0	    16
Xanthomonas euvesicatoria	     21	    14	     7	   24	    14
Xanthomonas translucens	      8	    30	    20	   20	    41
Xanthomonas campestris	      8	    40	    14	   24	    46
Xanthomonas arboricola	      7	     6	    10	    5	    18
Xanthomonas hortorum	      7	     3	     2	0	    18
Xanthomonas fragariae	      5	    13	     1	    6	0
Xanthomonas citri	      4	     9	     4	   11	    10
Xanthomonas albilineans	      3	     4	0	    2	     2
Xanthomonas oryzae	      2	     9	    19	    2	    24
Xanthomonas cucurbitae	      2	     3	     2	    1	     7
Xanthomonas sp. MLO165	      1	0	     1	0	     1
Xanthomonas theicola	      1	    21	    10	    5	    18
Xanthomonas sacchari	      1	     9	    11	    6	    15
Xanthomonas axonopodis	      1	     4	     1	0	0
Pseudoxanthomonas suwonensis	     30	   131	   116	   17	   142
Pseudoxanthomonas mexicana	     20	   139	    66	   11	    78
Pseudoxanthomonas sp. X-1	      8	    13	    38	   32	   115
Pseudoxanthomonas spadix	      6	    35	    18	   20	    25
Lysobacter sp. TY2-98	      6	     3	     7	    1	    13
Lysobacter sp. K5869	      2	     4	     7	    2	     8
Lysobacter capsici	      9	    14	    18	   11	    17
Lysobacter enzymogenes	      8	    16	    28	   16	    33
Lysobacter solisilvae (ex Kim et al. 2021)	      5	    19	    14	    5	    16
Lysobacter gummosus	      4	     9	     4	    4	    22
Lysobacter maris	      4	    20	    18	    3	    20
Lysobacter oculi	      4	    29	     6	    5	    16
Lysobacter antibioticus	      3	    14	    14	   18	    27
Lysobacter solisilvae (ex Woo and Kim 2020)	      2	    21	     3	    6	     4
Luteimonas sp. MC1825	      6	     9	     1	    1	     6
Luteimonas sp. YGD11-2	      3	    11	     2	    2	    14
Luteimonas sp. MC1572	      1	     3	     3	    7	     8
Luteimonas chenhongjianii	      5	    15	     9	    7	    30
Luteimonas granuli	      3	     8	     7	    2	     5
Luteimonas yindakuii	      2	     2	     1	    1	     5
Thermomonas sp. XSG	      6	     4	    11	    7	     7
Thermomonas sp. SY21	      4	    25	     3	    8	     2
Thermomonas carbonis	      3	0	    10	    3	     5
Xylella fastidiosa	      1	0	0	0	0
Pseudolysobacter antarcticus	      1	     2	0	    3	0
Rhodanobacter denitrificans	      5	     5	     5	    3	     2
Rhodanobacter glycinis	      4	     2	     1	0	     1
Rhodanobacter sp. FDAARGOS 1247	      4	    14	     3	0	    23
Dyella thiooxydans	      4	     4	     7	0	     3
Dyella japonica	      3	     1	    15	    1	    12
Luteibacter pinisoli	      2	     7	     4	    1	     7
Ahniella affigens	      2	0	    12	    8	     2
Frateuria aurantia	      1	    10	     3	    1	    18
Halomonas sp. PGE1	    146	   790	   282	  164	   528
Halomonas sp. JS92-SW72	     46	   306	    62	   89	   215
Halomonas sp. BC-M4-5	     14	    54	   264	  153	   413
Halomonas sp. Y2R2	      9	     5	     7	    5	     3
Halomonas sp. MCCC 1A13718	      6	    13	   139	   41	   249
Halomonas sp. 18071143	      4	    20	    27	   40	    86
Halomonas sp. THAF12	      4	    18	    28	    2	    19
Halomonas sp. hl-4	      3	0	0	0	0
Halomonas sp. 1513	      3	    23	    27	   17	    50
Halomonas sp. SS10-MC5	      3	0	    10	    6	    10
Halomonas sp. YLGW01	      3	    12	    10	    6	    21
Halomonas sp. KO116	      3	     8	     8	    4	0
Halomonas sp. THAF5a	      2	    13	    18	   13	    37
Halomonas sp. A3H3	      1	     7	0	    3	     2
Halomonas sp. R57-5	      1	     2	0	0	     9
Halomonas sp. HG01	      1	     6	     3	    7	    24
Halomonas socia	      9	    15	    20	   17	    29
Halomonas meridiana	      3	    65	    17	   26	    35
Halomonas subglaciescola	      1	     4	     2	0	     3
Halomonas hydrothermalis	      1	    25	    10	   26	    58
Halomonas denitrificans	      1	     7	    13	   17	    30
Halomonas beimenensis	      1	    15	    22	   18	    27
Halomonas aestuarii	      1	    17	    12	    1	    12
Pistricoccus aurantiacus	     16	    15	    22	   12	    31
Candidatus Carsonella ruddii	      3	     1	0	0	0
Candidatus Portiera aleyrodidarum	      2	0	0	0	0
Kushneria phosphatilytica	      4	0	     2	    2	     6
Kushneria konosiri	      1	0	0	0	0
Marinobacterium aestuarii	      2	0	     2	0	     1
Neptunomonas japonica	      2	0	0	0	0
Marinomonas algicola	      1	0	0	0	0
Thalassolituus oleivorans	      1	0	0	0	0
Alcanivorax xenomutans	      1	0	     4	0	     8
Alcanivorax pacificus	      1	     4	0	    4	    20
Reinekea forsetii	      1	0	0	0	0
Saccharospirillum mangrovi	      1	     3	     2	    2	     5
Endozoicomonas montiporae	      2	0	0	0	0
Litoricola lipolytica	      1	0	0	0	0
Kangiella sediminilitoris	      1	0	0	0	0
Shewanella sp. Arc9-LZ	      6	     5	0	0	0
Shewanella sp. LZH-2	      4	     3	     1	0	0
Shewanella sp. FDAARGOS_354	      3	0	0	0	0
Shewanella sp. WE21	      2	0	0	0	0
Shewanella sp. WPAGA9	      2	0	0	0	0
Shewanella sp. FJAT-52076	      1	0	0	    1	     2
Shewanella sp. FJAT-53681	      1	0	0	0	0
Shewanella maritima	      2	0	0	0	0
Shewanella denitrificans	      2	0	     2	    1	0
Shewanella algae	      1	     1	0	0	     5
Shewanella putrefaciens	      1	     9	    11	   13	0
Shewanella baltica	      1	0	0	0	0
Shewanella pealeana	      1	0	0	0	0
Parashewanella spongiae	      1	0	0	0	     1
Marinobacter sp. LQ44	      2	     2	0	    1	     2
Marinobacter sp. Arc7-DN-1	      1	     3	     1	    2	     4
Marinobacter salsuginis	      4	     7	0	0	0
