Checklist	ERC000011	ENA default sample checklist				
1586248	mixed RNA library	SMT030_T1_Ch_merged	skin_metatranscriptomics	SMT030_T1_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T1_Sc_merged	skin_metatranscriptomics	SMT030_T1_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T1_Tw_merged	skin_metatranscriptomics	SMT030_T1_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T1_Vf_merged	skin_metatranscriptomics	SMT030_T1_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T2_Ac_merged	skin_metatranscriptomics	SMT030_T2_Ac_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T2_Ch_merged	skin_metatranscriptomics	SMT030_T2_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T2_Sc_merged	skin_metatranscriptomics	SMT030_T2_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T2_Tw_merged	skin_metatranscriptomics	SMT030_T2_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T2_Vf_merged	skin_metatranscriptomics	SMT030_T2_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T3_Ac_merged	skin_metatranscriptomics	SMT030_T3_Ac_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T3_Ch_merged	skin_metatranscriptomics	SMT030_T3_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T3_Sc_merged	skin_metatranscriptomics	SMT030_T3_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T3_Tw_merged	skin_metatranscriptomics	SMT030_T3_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T3_Vf_merged	skin_metatranscriptomics	SMT030_T3_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	MHS339_merged	skin_metatranscriptomics	SMT006_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS340_merged	skin_metatranscriptomics	Neg001_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS341_merged	skin_metatranscriptomics	SMT003_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS342_merged	skin_metatranscriptomics	SMT015_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS343_merged	skin_metatranscriptomics	SMT019_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS344_merged	skin_metatranscriptomics	SMT010_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS345_merged	skin_metatranscriptomics	SMT010_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS346_merged	skin_metatranscriptomics	SMT010_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS347_merged	skin_metatranscriptomics	SMT023_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS348_merged	skin_metatranscriptomics	Neg002_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS349_merged	skin_metatranscriptomics	SMT002_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS350_merged	skin_metatranscriptomics	SMT004_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS351_merged	skin_metatranscriptomics	SMT004_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS352_merged	skin_metatranscriptomics	SMT004_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS353_merged	skin_metatranscriptomics	SMT005_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS354_merged	skin_metatranscriptomics	SMT007_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS355_merged	skin_metatranscriptomics	SMT007_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS356_merged	skin_metatranscriptomics	SMT007_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS357_merged	skin_metatranscriptomics	SMT009_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS358_merged	skin_metatranscriptomics	SMT009_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS359_merged	skin_metatranscriptomics	SMT011_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS360_merged	skin_metatranscriptomics	SMT014_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS361_merged	skin_metatranscriptomics	SMT014_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS362_merged	skin_metatranscriptomics	SMT024_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS363_merged	skin_metatranscriptomics	SMT024_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS364_merged	skin_metatranscriptomics	SMT016_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS365_merged	skin_metatranscriptomics	SMT020_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS366_merged	skin_metatranscriptomics	SMT025_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS367_merged	skin_metatranscriptomics	SMT027_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS368_merged	skin_metatranscriptomics	SMT026_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS369_merged	skin_metatranscriptomics	SMT018_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS370_merged	skin_metatranscriptomics	SMT018_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS371_merged	skin_metatranscriptomics	SMT001_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS381_merged	skin_metatranscriptomics	SMT003_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS382_merged	skin_metatranscriptomics	SMT003_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS383_merged	skin_metatranscriptomics	SMT003_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS384_merged	skin_metatranscriptomics	SMT015_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS385_merged	skin_metatranscriptomics	SMT019_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS386_merged	skin_metatranscriptomics	SMT019_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS387_merged	skin_metatranscriptomics	SMT019_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS388_merged	skin_metatranscriptomics	SMT001_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS389_merged	skin_metatranscriptomics	SMT001_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS390_merged	skin_metatranscriptomics	SMT002_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS391_merged	skin_metatranscriptomics	SMT002_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS392_merged	skin_metatranscriptomics	SMT002_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS393_merged	skin_metatranscriptomics	SMT004_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS394_merged	skin_metatranscriptomics	SMT004_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS396_merged	skin_metatranscriptomics	SMT005_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS397_merged	skin_metatranscriptomics	SMT005_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS398_merged	skin_metatranscriptomics	SMT007_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS399_merged	skin_metatranscriptomics	SMT027_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS402_merged	skin_metatranscriptomics	SMT026_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS405_merged	skin_metatranscriptomics	SMT022_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS407_merged	skin_metatranscriptomics	SMT015_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS408_merged	skin_metatranscriptomics	SMT015_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS409_merged	skin_metatranscriptomics	SMT015_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS410_merged	skin_metatranscriptomics	SMT019_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS411_merged	skin_metatranscriptomics	SMT010_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS412_merged	skin_metatranscriptomics	SMT001_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS413_merged	skin_metatranscriptomics	SMT001_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS414_merged	skin_metatranscriptomics	SMT023_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS415_merged	skin_metatranscriptomics	SMT023_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS416_merged	skin_metatranscriptomics	SMT023_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS417_merged	skin_metatranscriptomics	SMT011_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS418_merged	skin_metatranscriptomics	SMT011_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS419_merged	skin_metatranscriptomics	SMT011_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS420_merged	skin_metatranscriptomics	Neg003_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS421_merged	skin_metatranscriptomics	SMT012_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS422_merged	skin_metatranscriptomics	SMT012_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS423_merged	skin_metatranscriptomics	SMT012_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS424_merged	skin_metatranscriptomics	SMT012_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS425_merged	skin_metatranscriptomics	SMT012_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS426_merged	skin_metatranscriptomics	SMT014_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS427_merged	skin_metatranscriptomics	SMT014_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS428_merged	skin_metatranscriptomics	SMT014_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS429_merged	skin_metatranscriptomics	SMT024_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS430_merged	skin_metatranscriptomics	SMT024_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS431_merged	skin_metatranscriptomics	Neg004_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS432_merged	skin_metatranscriptomics	SMT016_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS433_merged	skin_metatranscriptomics	SMT016_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS434_merged	skin_metatranscriptomics	SMT016_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS435_merged	skin_metatranscriptomics	SMT020_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS436_merged	skin_metatranscriptomics	SMT020_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS437_merged	skin_metatranscriptomics	SMT025_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS438_merged	skin_metatranscriptomics	SMT025_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS439_merged	skin_metatranscriptomics	SMT027_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS440_merged	skin_metatranscriptomics	SMT026_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS441_merged	skin_metatranscriptomics	SMT026_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS442_merged	skin_metatranscriptomics	SMT018_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS443_merged	skin_metatranscriptomics	SMT018_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS445_merged	skin_metatranscriptomics	3_Bac_(VV:LM:PS)_mixed_RNA_library	2022	Singapore
256318	metagenome	MHS446_merged	skin_metatranscriptomics	SMT006_Sc_metagenome	2022	Singapore
256318	metagenome	MHS447_merged	skin_metatranscriptomics	SMT006_Ch_metagenome	2022	Singapore
256318	metagenome	MHS448_merged	skin_metatranscriptomics	SMT006_Ac_metagenome	2022	Singapore
256318	metagenome	MHS449_merged	skin_metatranscriptomics	SMT006_Vf_metagenome	2022	Singapore
256318	metagenome	MHS450_merged	skin_metatranscriptomics	SMT006_Tw_metagenome	2022	Singapore
256318	metagenome	MHS451_merged	skin_metatranscriptomics	SMT008_Sc_metagenome	2022	Singapore
256318	metagenome	MHS452_merged	skin_metatranscriptomics	SMT008_Ac_metagenome	2022	Singapore
256318	metagenome	MHS453_merged	skin_metatranscriptomics	SMT008_Vf_metagenome	2022	Singapore
256318	metagenome	MHS454_merged	skin_metatranscriptomics	SMT008_Tw_metagenome	2022	Singapore
256318	metagenome	MHS455_merged	skin_metatranscriptomics	SMT013_Sc_metagenome	2022	Singapore
256318	metagenome	MHS456_merged	skin_metatranscriptomics	SMT013_Ch_metagenome	2022	Singapore
256318	metagenome	MHS457_merged	skin_metatranscriptomics	SMT013_Ac_metagenome	2022	Singapore
256318	metagenome	MHS458_merged	skin_metatranscriptomics	SMT013_Vf_metagenome	2022	Singapore
256318	metagenome	MHS459_merged	skin_metatranscriptomics	SMT013_Tw_metagenome	2022	Singapore
256318	metagenome	MHS460_merged	skin_metatranscriptomics	SMT017_Sc_metagenome	2022	Singapore
256318	metagenome	MHS461_merged	skin_metatranscriptomics	SMT017_Ch_metagenome	2022	Singapore
256318	metagenome	MHS462_merged	skin_metatranscriptomics	SMT017_Tw_metagenome	2022	Singapore
256318	metagenome	MHS463_merged	skin_metatranscriptomics	SMT021_Sc_metagenome	2022	Singapore
256318	metagenome	MHS464_merged	skin_metatranscriptomics	SMT021_Ch_metagenome	2022	Singapore
256318	metagenome	MHS465_merged	skin_metatranscriptomics	SMT021_Ac_metagenome	2022	Singapore
256318	metagenome	MHS466_merged	skin_metatranscriptomics	SMT021_Vf_metagenome	2022	Singapore
256318	metagenome	MHS467_merged	skin_metatranscriptomics	SMT021_Tw_metagenome	2022	Singapore
256318	metagenome	MHS468_merged	skin_metatranscriptomics	SMT023_Sc_metagenome	2022	Singapore
256318	metagenome	MHS469_merged	skin_metatranscriptomics	SMT023_Ac_metagenome	2022	Singapore
256318	metagenome	MHS470_merged	skin_metatranscriptomics	Neg001_metagenome	2022	Singapore
256318	metagenome	MHS471_merged	skin_metatranscriptomics	SMT023_Ch_metagenome	2022	Singapore
256318	metagenome	MHS472_merged	skin_metatranscriptomics	SMT023_Tw_metagenome	2022	Singapore
256318	metagenome	MHS473_merged	skin_metatranscriptomics	SMT001_Sc_metagenome	2022	Singapore
256318	metagenome	MHS474_merged	skin_metatranscriptomics	SMT001_Ch_metagenome	2022	Singapore
256318	metagenome	MHS475_merged	skin_metatranscriptomics	SMT001_Ac_metagenome	2022	Singapore
256318	metagenome	MHS476_merged	skin_metatranscriptomics	SMT001_Vf_metagenome	2022	Singapore
256318	metagenome	MHS477_merged	skin_metatranscriptomics	SMT001_Tw_metagenome	2022	Singapore
256318	metagenome	MHS478_merged	skin_metatranscriptomics	SMT015_Sc_metagenome	2022	Singapore
256318	metagenome	MHS479_merged	skin_metatranscriptomics	SMT015_Ch_metagenome	2022	Singapore
256318	metagenome	MHS480_merged	skin_metatranscriptomics	SMT015_Ac_metagenome	2022	Singapore
256318	metagenome	MHS481_merged	skin_metatranscriptomics	SMT015_Vf_metagenome	2022	Singapore
256318	metagenome	MHS482_merged	skin_metatranscriptomics	SMT015_Tw_metagenome	2022	Singapore
256318	metagenome	MHS483_merged	skin_metatranscriptomics	SMT003_Sc_metagenome	2022	Singapore
256318	metagenome	MHS484_merged	skin_metatranscriptomics	SMT003_Ac_metagenome	2022	Singapore
256318	metagenome	MHS485_merged	skin_metatranscriptomics	SMT003_Vf_metagenome	2022	Singapore
256318	metagenome	MHS486_merged	skin_metatranscriptomics	SMT003_Tw_metagenome	2022	Singapore
256318	metagenome	MHS487_merged	skin_metatranscriptomics	SMT019_Sc_metagenome	2022	Singapore
256318	metagenome	MHS488_merged	skin_metatranscriptomics	SMT019_Ch_metagenome	2022	Singapore
256318	metagenome	MHS489_merged	skin_metatranscriptomics	SMT019_Ac_metagenome	2022	Singapore
256318	metagenome	MHS490_merged	skin_metatranscriptomics	SMT019_Vf_metagenome	2022	Singapore
256318	metagenome	MHS491_merged	skin_metatranscriptomics	SMT019_Tw_metagenome	2022	Singapore
256318	metagenome	MHS492_merged	skin_metatranscriptomics	SMT010_Sc_metagenome	2022	Singapore
256318	metagenome	MHS493_merged	skin_metatranscriptomics	SMT010_Ch_metagenome	2022	Singapore
256318	metagenome	MHS494_merged	skin_metatranscriptomics	SMT010_Ac_metagenome	2022	Singapore
256318	metagenome	MHS495_merged	skin_metatranscriptomics	SMT010_Vf_metagenome	2022	Singapore
256318	metagenome	MHS496_merged	skin_metatranscriptomics	SMT010_Tw_metagenome	2022	Singapore
256318	metagenome	MHS497_merged	skin_metatranscriptomics	SMT002_Sc_metagenome	2022	Singapore
256318	metagenome	MHS498_merged	skin_metatranscriptomics	SMT002_Ch_metagenome	2022	Singapore
256318	metagenome	MHS499_merged	skin_metatranscriptomics	SMT002_Ac_metagenome	2022	Singapore
256318	metagenome	MHS500_merged	skin_metatranscriptomics	SMT002_Vf_metagenome	2022	Singapore
256318	metagenome	MHS501_merged	skin_metatranscriptomics	SMT002_Tw_metagenome	2022	Singapore
256318	metagenome	MHS502_merged	skin_metatranscriptomics	SMT004_Sc_metagenome	2022	Singapore
256318	metagenome	MHS503_merged	skin_metatranscriptomics	SMT004_Ch_metagenome	2022	Singapore
256318	metagenome	MHS504_merged	skin_metatranscriptomics	SMT004_Ac_metagenome	2022	Singapore
256318	metagenome	MHS505_merged	skin_metatranscriptomics	SMT004_Vf_metagenome	2022	Singapore
256318	metagenome	MHS506_merged	skin_metatranscriptomics	SMT004_Tw_metagenome	2022	Singapore
256318	metagenome	MHS507_merged	skin_metatranscriptomics	SMT005_Sc_metagenome	2022	Singapore
256318	metagenome	MHS508_merged	skin_metatranscriptomics	SMT005_Ch_metagenome	2022	Singapore
256318	metagenome	MHS509_merged	skin_metatranscriptomics	SMT005_Ac_metagenome	2022	Singapore
256318	metagenome	MHS510_merged	skin_metatranscriptomics	SMT005_Vf_metagenome	2022	Singapore
256318	metagenome	MHS511_merged	skin_metatranscriptomics	SMT005_Tw_metagenome	2022	Singapore
256318	metagenome	MHS513_merged	skin_metatranscriptomics	SMT007_Sc_metagenome	2022	Singapore
256318	metagenome	MHS514_merged	skin_metatranscriptomics	SMT007_Ch_metagenome	2022	Singapore
256318	metagenome	MHS515_merged	skin_metatranscriptomics	SMT007_Vf_metagenome	2022	Singapore
256318	metagenome	MHS516_merged	skin_metatranscriptomics	SMT007_Tw_metagenome	2022	Singapore
256318	metagenome	MHS517_merged	skin_metatranscriptomics	SMT009_Sc_metagenome	2022	Singapore
256318	metagenome	MHS518_merged	skin_metatranscriptomics	SMT009_Ch_metagenome	2022	Singapore
256318	metagenome	MHS519_merged	skin_metatranscriptomics	SMT009_Ac_metagenome	2022	Singapore
256318	metagenome	MHS520_merged	skin_metatranscriptomics	SMT009_Vf_metagenome	2022	Singapore
256318	metagenome	MHS521_merged	skin_metatranscriptomics	SMT009_Tw_metagenome	2022	Singapore
256318	metagenome	MHS522_merged	skin_metatranscriptomics	SMT011_Sc_metagenome	2022	Singapore
256318	metagenome	MHS523_merged	skin_metatranscriptomics	SMT011_Ch_metagenome	2022	Singapore
256318	metagenome	MHS524_merged	skin_metatranscriptomics	Neg002_metagenome	2022	Singapore
256318	metagenome	MHS525_merged	skin_metatranscriptomics	SMT011_Ac_metagenome	2022	Singapore
256318	metagenome	MHS526_merged	skin_metatranscriptomics	SMT011_Vf_metagenome	2022	Singapore
256318	metagenome	MHS527_merged	skin_metatranscriptomics	SMT011_Tw_metagenome	2022	Singapore
256318	metagenome	MHS528_merged	skin_metatranscriptomics	SMT012_Sc_metagenome	2022	Singapore
256318	metagenome	MHS529_merged	skin_metatranscriptomics	SMT012_Ch_metagenome	2022	Singapore
256318	metagenome	MHS530_merged	skin_metatranscriptomics	SMT012_Ac_metagenome	2022	Singapore
256318	metagenome	MHS531_merged	skin_metatranscriptomics	SMT012_Vf_metagenome	2022	Singapore
256318	metagenome	MHS532_merged	skin_metatranscriptomics	SMT012_Tw_metagenome	2022	Singapore
256318	metagenome	MHS533_merged	skin_metatranscriptomics	SMT024_Sc_metagenome	2022	Singapore
256318	metagenome	MHS534_merged	skin_metatranscriptomics	SMT024_Ch_metagenome	2022	Singapore
