FileType	fastq	Read submission file type									
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
MHS463_merged	PRJEB89273	Illumina HiSeq X Ten	MHS463_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS463_merged_decont_1.fastq.gz		MHS463_merged_decont_2.fastq.gz	
MHS464_merged	PRJEB89273	Illumina HiSeq X Ten	MHS464_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS464_merged_decont_1.fastq.gz		MHS464_merged_decont_2.fastq.gz	
MHS465_merged	PRJEB89273	Illumina HiSeq X Ten	MHS465_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS465_merged_decont_1.fastq.gz		MHS465_merged_decont_2.fastq.gz	
MHS466_merged	PRJEB89273	Illumina HiSeq X Ten	MHS466_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS466_merged_decont_1.fastq.gz		MHS466_merged_decont_2.fastq.gz	
MHS467_merged	PRJEB89273	Illumina HiSeq X Ten	MHS467_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS467_merged_decont_1.fastq.gz		MHS467_merged_decont_2.fastq.gz	
MHS380_merged	PRJEB89273	Illumina HiSeq X Ten	MHS380_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS380_merged_decont_1.fastq.gz		MHS380_merged_decont_2.fastq.gz	
MHS379_merged	PRJEB89273	Illumina HiSeq X Ten	MHS379_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS379_merged_decont_1.fastq.gz		MHS379_merged_decont_2.fastq.gz	
MHS378_merged	PRJEB89273	Illumina HiSeq X Ten	MHS378_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS378_merged_decont_1.fastq.gz		MHS378_merged_decont_2.fastq.gz	
MHS338_merged	PRJEB89273	Illumina HiSeq X Ten	MHS338_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS338_merged_decont_1.fastq.gz		MHS338_merged_decont_2.fastq.gz	
MHS336_merged	PRJEB89273	Illumina HiSeq X Ten	MHS336_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS336_merged_decont_1.fastq.gz		MHS336_merged_decont_2.fastq.gz	
MHS376_merged	PRJEB89273	Illumina HiSeq X Ten	MHS376_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS376_merged_decont_1.fastq.gz		MHS376_merged_decont_2.fastq.gz	
MHS377_merged	PRJEB89273	Illumina HiSeq X Ten	MHS377_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS377_merged_decont_1.fastq.gz		MHS377_merged_decont_2.fastq.gz	
MHS337_merged	PRJEB89273	Illumina HiSeq X Ten	MHS337_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS337_merged_decont_1.fastq.gz		MHS337_merged_decont_2.fastq.gz	
MHS334_merged	PRJEB89273	Illumina HiSeq X Ten	MHS334_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS334_merged_decont_1.fastq.gz		MHS334_merged_decont_2.fastq.gz	
MHS374_merged	PRJEB89273	Illumina HiSeq X Ten	MHS374_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS374_merged_decont_1.fastq.gz		MHS374_merged_decont_2.fastq.gz	
MHS333_merged	PRJEB89273	Illumina HiSeq X Ten	MHS333_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS333_merged_decont_1.fastq.gz		MHS333_merged_decont_2.fastq.gz	
MHS375_merged	PRJEB89273	Illumina HiSeq X Ten	MHS375_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS375_merged_decont_1.fastq.gz		MHS375_merged_decont_2.fastq.gz	
MHS335_merged	PRJEB89273	Illumina HiSeq X Ten	MHS335_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS335_merged_decont_1.fastq.gz		MHS335_merged_decont_2.fastq.gz	
MHS331_merged	PRJEB89273	Illumina HiSeq X Ten	MHS331_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS331_merged_decont_1.fastq.gz		MHS331_merged_decont_2.fastq.gz	
MHS373_merged	PRJEB89273	Illumina HiSeq X Ten	MHS373_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS373_merged_decont_1.fastq.gz		MHS373_merged_decont_2.fastq.gz	
MHS332_merged	PRJEB89273	Illumina HiSeq X Ten	MHS332_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS332_merged_decont_1.fastq.gz		MHS332_merged_decont_2.fastq.gz	
MHS329_merged	PRJEB89273	Illumina HiSeq X Ten	MHS329_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS329_merged_decont_1.fastq.gz		MHS329_merged_decont_2.fastq.gz	
MHS328_merged	PRJEB89273	Illumina HiSeq X Ten	MHS328_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS328_merged_decont_1.fastq.gz		MHS328_merged_decont_2.fastq.gz	
MHS406_merged	PRJEB89273	Illumina HiSeq X Ten	MHS406_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS406_merged_decont_1.fastq.gz		MHS406_merged_decont_2.fastq.gz	
MHS372_merged	PRJEB89273	Illumina HiSeq X Ten	MHS372_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS372_merged_decont_1.fastq.gz		MHS372_merged_decont_2.fastq.gz	
MHS330_merged	PRJEB89273	Illumina HiSeq X Ten	MHS330_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS330_merged_decont_1.fastq.gz		MHS330_merged_decont_2.fastq.gz	
MHS339_merged	PRJEB89273	Illumina HiSeq X Ten	MHS339_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS339_merged_decont_1.fastq.gz		MHS339_merged_decont_2.fastq.gz	
MHS340_merged	PRJEB89273	Illumina HiSeq X Ten	MHS340_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS340_merged_decont_1.fastq.gz		MHS340_merged_decont_2.fastq.gz	
MHS341_merged	PRJEB89273	Illumina HiSeq X Ten	MHS341_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS341_merged_decont_1.fastq.gz		MHS341_merged_decont_2.fastq.gz	
MHS342_merged	PRJEB89273	Illumina HiSeq X Ten	MHS342_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS342_merged_decont_1.fastq.gz		MHS342_merged_decont_2.fastq.gz	
MHS343_merged	PRJEB89273	Illumina HiSeq X Ten	MHS343_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS343_merged_decont_1.fastq.gz		MHS343_merged_decont_2.fastq.gz	
MHS344_merged	PRJEB89273	Illumina HiSeq X Ten	MHS344_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS344_merged_decont_1.fastq.gz		MHS344_merged_decont_2.fastq.gz	
MHS345_merged	PRJEB89273	Illumina HiSeq X Ten	MHS345_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS345_merged_decont_1.fastq.gz		MHS345_merged_decont_2.fastq.gz	
MHS346_merged	PRJEB89273	Illumina HiSeq X Ten	MHS346_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS346_merged_decont_1.fastq.gz		MHS346_merged_decont_2.fastq.gz	
MHS347_merged	PRJEB89273	Illumina HiSeq X Ten	MHS347_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS347_merged_decont_1.fastq.gz		MHS347_merged_decont_2.fastq.gz	
MHS348_merged	PRJEB89273	Illumina HiSeq X Ten	MHS348_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS348_merged_decont_1.fastq.gz		MHS348_merged_decont_2.fastq.gz	
MHS349_merged	PRJEB89273	Illumina HiSeq X Ten	MHS349_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS349_merged_decont_1.fastq.gz		MHS349_merged_decont_2.fastq.gz	
MHS350_merged	PRJEB89273	Illumina HiSeq X Ten	MHS350_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS350_merged_decont_1.fastq.gz		MHS350_merged_decont_2.fastq.gz	
MHS351_merged	PRJEB89273	Illumina HiSeq X Ten	MHS351_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS351_merged_decont_1.fastq.gz		MHS351_merged_decont_2.fastq.gz	
MHS352_merged	PRJEB89273	Illumina HiSeq X Ten	MHS352_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS352_merged_decont_1.fastq.gz		MHS352_merged_decont_2.fastq.gz	
MHS353_merged	PRJEB89273	Illumina HiSeq X Ten	MHS353_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS353_merged_decont_1.fastq.gz		MHS353_merged_decont_2.fastq.gz	
MHS354_merged	PRJEB89273	Illumina HiSeq X Ten	MHS354_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS354_merged_decont_1.fastq.gz		MHS354_merged_decont_2.fastq.gz	
MHS355_merged	PRJEB89273	Illumina HiSeq X Ten	MHS355_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS355_merged_decont_1.fastq.gz		MHS355_merged_decont_2.fastq.gz	
MHS356_merged	PRJEB89273	Illumina HiSeq X Ten	MHS356_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS356_merged_decont_1.fastq.gz		MHS356_merged_decont_2.fastq.gz	
MHS357_merged	PRJEB89273	Illumina HiSeq X Ten	MHS357_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS357_merged_decont_1.fastq.gz		MHS357_merged_decont_2.fastq.gz	
MHS358_merged	PRJEB89273	Illumina HiSeq X Ten	MHS358_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS358_merged_decont_1.fastq.gz		MHS358_merged_decont_2.fastq.gz	
MHS359_merged	PRJEB89273	Illumina HiSeq X Ten	MHS359_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS359_merged_decont_1.fastq.gz		MHS359_merged_decont_2.fastq.gz	
MHS360_merged	PRJEB89273	Illumina HiSeq X Ten	MHS360_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS360_merged_decont_1.fastq.gz		MHS360_merged_decont_2.fastq.gz	
MHS361_merged	PRJEB89273	Illumina HiSeq X Ten	MHS361_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS361_merged_decont_1.fastq.gz		MHS361_merged_decont_2.fastq.gz	
MHS362_merged	PRJEB89273	Illumina HiSeq X Ten	MHS362_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS362_merged_decont_1.fastq.gz		MHS362_merged_decont_2.fastq.gz	
MHS363_merged	PRJEB89273	Illumina HiSeq X Ten	MHS363_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS363_merged_decont_1.fastq.gz		MHS363_merged_decont_2.fastq.gz	
MHS364_merged	PRJEB89273	Illumina HiSeq X Ten	MHS364_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS364_merged_decont_1.fastq.gz		MHS364_merged_decont_2.fastq.gz	
MHS365_merged	PRJEB89273	Illumina HiSeq X Ten	MHS365_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS365_merged_decont_1.fastq.gz		MHS365_merged_decont_2.fastq.gz	
MHS366_merged	PRJEB89273	Illumina HiSeq X Ten	MHS366_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS366_merged_decont_1.fastq.gz		MHS366_merged_decont_2.fastq.gz	
MHS367_merged	PRJEB89273	Illumina HiSeq X Ten	MHS367_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS367_merged_decont_1.fastq.gz		MHS367_merged_decont_2.fastq.gz	
MHS368_merged	PRJEB89273	Illumina HiSeq X Ten	MHS368_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS368_merged_decont_1.fastq.gz		MHS368_merged_decont_2.fastq.gz	
MHS369_merged	PRJEB89273	Illumina HiSeq X Ten	MHS369_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS369_merged_decont_1.fastq.gz		MHS369_merged_decont_2.fastq.gz	
MHS370_merged	PRJEB89273	Illumina HiSeq X Ten	MHS370_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS370_merged_decont_1.fastq.gz		MHS370_merged_decont_2.fastq.gz	
MHS371_merged	PRJEB89273	Illumina HiSeq X Ten	MHS371_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS371_merged_decont_1.fastq.gz		MHS371_merged_decont_2.fastq.gz	
MHS381_merged	PRJEB89273	Illumina HiSeq X Ten	MHS381_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS381_merged_decont_1.fastq.gz		MHS381_merged_decont_2.fastq.gz	
MHS382_merged	PRJEB89273	Illumina HiSeq X Ten	MHS382_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS382_merged_decont_1.fastq.gz		MHS382_merged_decont_2.fastq.gz	
MHS383_merged	PRJEB89273	Illumina HiSeq X Ten	MHS383_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS383_merged_decont_1.fastq.gz		MHS383_merged_decont_2.fastq.gz	
MHS384_merged	PRJEB89273	Illumina HiSeq X Ten	MHS384_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS384_merged_decont_1.fastq.gz		MHS384_merged_decont_2.fastq.gz	
MHS385_merged	PRJEB89273	Illumina HiSeq X Ten	MHS385_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS385_merged_decont_1.fastq.gz		MHS385_merged_decont_2.fastq.gz	
MHS386_merged	PRJEB89273	Illumina HiSeq X Ten	MHS386_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS386_merged_decont_1.fastq.gz		MHS386_merged_decont_2.fastq.gz	
MHS387_merged	PRJEB89273	Illumina HiSeq X Ten	MHS387_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS387_merged_decont_1.fastq.gz		MHS387_merged_decont_2.fastq.gz	
MHS388_merged	PRJEB89273	Illumina HiSeq X Ten	MHS388_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS388_merged_decont_1.fastq.gz		MHS388_merged_decont_2.fastq.gz	
MHS389_merged	PRJEB89273	Illumina HiSeq X Ten	MHS389_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS389_merged_decont_1.fastq.gz		MHS389_merged_decont_2.fastq.gz	
MHS390_merged	PRJEB89273	Illumina HiSeq X Ten	MHS390_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS390_merged_decont_1.fastq.gz		MHS390_merged_decont_2.fastq.gz	
MHS391_merged	PRJEB89273	Illumina HiSeq X Ten	MHS391_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS391_merged_decont_1.fastq.gz		MHS391_merged_decont_2.fastq.gz	
MHS392_merged	PRJEB89273	Illumina HiSeq X Ten	MHS392_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS392_merged_decont_1.fastq.gz		MHS392_merged_decont_2.fastq.gz	
MHS393_merged	PRJEB89273	Illumina HiSeq X Ten	MHS393_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS393_merged_decont_1.fastq.gz		MHS393_merged_decont_2.fastq.gz	
MHS394_merged	PRJEB89273	Illumina HiSeq X Ten	MHS394_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS394_merged_decont_1.fastq.gz		MHS394_merged_decont_2.fastq.gz	
MHS396_merged	PRJEB89273	Illumina HiSeq X Ten	MHS396_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS396_merged_decont_1.fastq.gz		MHS396_merged_decont_2.fastq.gz	
MHS397_merged	PRJEB89273	Illumina HiSeq X Ten	MHS397_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS397_merged_decont_1.fastq.gz		MHS397_merged_decont_2.fastq.gz	
MHS398_merged	PRJEB89273	Illumina HiSeq X Ten	MHS398_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS398_merged_decont_1.fastq.gz		MHS398_merged_decont_2.fastq.gz	
MHS399_merged	PRJEB89273	Illumina HiSeq X Ten	MHS399_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS399_merged_decont_1.fastq.gz		MHS399_merged_decont_2.fastq.gz	
MHS402_merged	PRJEB89273	Illumina HiSeq X Ten	MHS402_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS402_merged_decont_1.fastq.gz		MHS402_merged_decont_2.fastq.gz	
MHS405_merged	PRJEB89273	Illumina HiSeq X Ten	MHS405_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS405_merged_decont_1.fastq.gz		MHS405_merged_decont_2.fastq.gz	
MHS407_merged	PRJEB89273	Illumina HiSeq X Ten	MHS407_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS407_merged_decont_1.fastq.gz		MHS407_merged_decont_2.fastq.gz	
MHS408_merged	PRJEB89273	Illumina HiSeq X Ten	MHS408_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS408_merged_decont_1.fastq.gz		MHS408_merged_decont_2.fastq.gz	
MHS409_merged	PRJEB89273	Illumina HiSeq X Ten	MHS409_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS409_merged_decont_1.fastq.gz		MHS409_merged_decont_2.fastq.gz	
MHS410_merged	PRJEB89273	Illumina HiSeq X Ten	MHS410_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS410_merged_decont_1.fastq.gz		MHS410_merged_decont_2.fastq.gz	
MHS411_merged	PRJEB89273	Illumina HiSeq X Ten	MHS411_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS411_merged_decont_1.fastq.gz		MHS411_merged_decont_2.fastq.gz	
MHS412_merged	PRJEB89273	Illumina HiSeq X Ten	MHS412_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS412_merged_decont_1.fastq.gz		MHS412_merged_decont_2.fastq.gz	
MHS413_merged	PRJEB89273	Illumina HiSeq X Ten	MHS413_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS413_merged_decont_1.fastq.gz		MHS413_merged_decont_2.fastq.gz	
MHS414_merged	PRJEB89273	Illumina HiSeq X Ten	MHS414_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS414_merged_decont_1.fastq.gz		MHS414_merged_decont_2.fastq.gz	
MHS415_merged	PRJEB89273	Illumina HiSeq X Ten	MHS415_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS415_merged_decont_1.fastq.gz		MHS415_merged_decont_2.fastq.gz	
MHS416_merged	PRJEB89273	Illumina HiSeq X Ten	MHS416_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS416_merged_decont_1.fastq.gz		MHS416_merged_decont_2.fastq.gz	
MHS417_merged	PRJEB89273	Illumina HiSeq X Ten	MHS417_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS417_merged_decont_1.fastq.gz		MHS417_merged_decont_2.fastq.gz	
MHS418_merged	PRJEB89273	Illumina HiSeq X Ten	MHS418_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS418_merged_decont_1.fastq.gz		MHS418_merged_decont_2.fastq.gz	
MHS419_merged	PRJEB89273	Illumina HiSeq X Ten	MHS419_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS419_merged_decont_1.fastq.gz		MHS419_merged_decont_2.fastq.gz	
MHS420_merged	PRJEB89273	Illumina HiSeq X Ten	MHS420_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS420_merged_decont_1.fastq.gz		MHS420_merged_decont_2.fastq.gz	
MHS421_merged	PRJEB89273	Illumina HiSeq X Ten	MHS421_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS421_merged_decont_1.fastq.gz		MHS421_merged_decont_2.fastq.gz	
MHS422_merged	PRJEB89273	Illumina HiSeq X Ten	MHS422_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS422_merged_decont_1.fastq.gz		MHS422_merged_decont_2.fastq.gz	
MHS423_merged	PRJEB89273	Illumina HiSeq X Ten	MHS423_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS423_merged_decont_1.fastq.gz		MHS423_merged_decont_2.fastq.gz	
MHS424_merged	PRJEB89273	Illumina HiSeq X Ten	MHS424_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS424_merged_decont_1.fastq.gz		MHS424_merged_decont_2.fastq.gz	
MHS425_merged	PRJEB89273	Illumina HiSeq X Ten	MHS425_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS425_merged_decont_1.fastq.gz		MHS425_merged_decont_2.fastq.gz	
MHS426_merged	PRJEB89273	Illumina HiSeq X Ten	MHS426_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS426_merged_decont_1.fastq.gz		MHS426_merged_decont_2.fastq.gz	
MHS427_merged	PRJEB89273	Illumina HiSeq X Ten	MHS427_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS427_merged_decont_1.fastq.gz		MHS427_merged_decont_2.fastq.gz	
MHS428_merged	PRJEB89273	Illumina HiSeq X Ten	MHS428_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS428_merged_decont_1.fastq.gz		MHS428_merged_decont_2.fastq.gz	
MHS429_merged	PRJEB89273	Illumina HiSeq X Ten	MHS429_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS429_merged_decont_1.fastq.gz		MHS429_merged_decont_2.fastq.gz	
MHS430_merged	PRJEB89273	Illumina HiSeq X Ten	MHS430_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS430_merged_decont_1.fastq.gz		MHS430_merged_decont_2.fastq.gz	
