Accession	Library_ID	Title	Total_bases_Mb	FastQ_URL	FastQ_filename	PRJNA	SRX	strain	expt_cat	expt_desc	plotting_cat	Instrument	pubmed	warning	study
SRR11998504	SRR11998504	GSM4611569: S. epidermidis under low iron - rep3; Staphylococcusepidermidis 1457; RNA-Seq	13270	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR11998504/SRR11998504_1.fastq.gz	SRR11998504_1.fastq.gz	PRJNA638918	SRX8532048	S_epidermidis_1457	low_iron	low_iron_liquid	low_iron_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998504	SRR11998504	GSM4611569: S. epidermidis under low iron - rep3; Staphylococcusepidermidis 1457; RNA-Seq	13270	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR11998504/SRR11998504_2.fastq.gz	SRR11998504_2.fastq.gz	PRJNA638918	SRX8532048	S_epidermidis_1457	low_iron	low_iron_liquid	low_iron_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998505	SRR11998505	GSM4611570: S. epidermidis under hypoxia - rep1; Staphylococcusepidermidis 1457; RNA-Seq	27275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR11998505/SRR11998505_1.fastq.gz	SRR11998505_1.fastq.gz	PRJNA638918	SRX8532049	S_epidermidis_1457	hypoxia	hypoxia_liquid	hypoxia_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998505	SRR11998505	GSM4611570: S. epidermidis under hypoxia - rep1; Staphylococcusepidermidis 1457; RNA-Seq	27275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR11998505/SRR11998505_2.fastq.gz	SRR11998505_2.fastq.gz	PRJNA638918	SRX8532049	S_epidermidis_1457	hypoxia	hypoxia_liquid	hypoxia_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998506	SRR11998506	GSM4611571: S. epidermidis under hypoxia - rep2; Staphylococcusepidermidis 1457; RNA-Seq	38242	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR11998506/SRR11998506_1.fastq.gz	SRR11998506_1.fastq.gz	PRJNA638918	SRX8532050	S_epidermidis_1457	hypoxia	hypoxia_liquid	hypoxia_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998506	SRR11998506	GSM4611571: S. epidermidis under hypoxia - rep2; Staphylococcusepidermidis 1457; RNA-Seq	38242	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR11998506/SRR11998506_2.fastq.gz	SRR11998506_2.fastq.gz	PRJNA638918	SRX8532050	S_epidermidis_1457	hypoxia	hypoxia_liquid	hypoxia_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998507	SRR11998507	GSM4611572: S. epidermidis under hypoxia - rep3; Staphylococcusepidermidis 1457; RNA-Seq	42237	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/007/SRR11998507/SRR11998507_1.fastq.gz	SRR11998507_1.fastq.gz	PRJNA638918	SRX8532051	S_epidermidis_1457	hypoxia	hypoxia_liquid	hypoxia_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998507	SRR11998507	GSM4611572: S. epidermidis under hypoxia - rep3; Staphylococcusepidermidis 1457; RNA-Seq	42237	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/007/SRR11998507/SRR11998507_2.fastq.gz	SRR11998507_2.fastq.gz	PRJNA638918	SRX8532051	S_epidermidis_1457	hypoxia	hypoxia_liquid	hypoxia_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998508	SRR11998508	GSM4611573: S. epidermidis under nutritional downshift - rep1; Staphylococcusepidermidis 1457; RNA-Seq	9357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/008/SRR11998508/SRR11998508_1.fastq.gz	SRR11998508_1.fastq.gz	PRJNA638918	SRX8532053	S_epidermidis_1457	nutritional_downshift	nutritional_downshift_liquid	nutritional_downshift_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998508	SRR11998508	GSM4611573: S. epidermidis under nutritional downshift - rep1; Staphylococcusepidermidis 1457; RNA-Seq	9357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/008/SRR11998508/SRR11998508_2.fastq.gz	SRR11998508_2.fastq.gz	PRJNA638918	SRX8532053	S_epidermidis_1457	nutritional_downshift	nutritional_downshift_liquid	nutritional_downshift_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998509	SRR11998509	GSM4611574: S. epidermidis under nutritional downshift - rep2; Staphylococcusepidermidis 1457; RNA-Seq	13376	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/009/SRR11998509/SRR11998509_1.fastq.gz	SRR11998509_1.fastq.gz	PRJNA638918	SRX8532052	S_epidermidis_1457	nutritional_downshift	nutritional_downshift_liquid	nutritional_downshift_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998509	SRR11998509	GSM4611574: S. epidermidis under nutritional downshift - rep2; Staphylococcusepidermidis 1457; RNA-Seq	13376	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/009/SRR11998509/SRR11998509_2.fastq.gz	SRR11998509_2.fastq.gz	PRJNA638918	SRX8532052	S_epidermidis_1457	nutritional_downshift	nutritional_downshift_liquid	nutritional_downshift_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998510	SRR11998510	GSM4611575: S. epidermidis under nutritional downshift - rep3; Staphylococcusepidermidis 1457; RNA-Seq	33476	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/010/SRR11998510/SRR11998510_1.fastq.gz	SRR11998510_1.fastq.gz	PRJNA638918	SRX8532054	S_epidermidis_1457	nutritional_downshift	nutritional_downshift_liquid	nutritional_downshift_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998510	SRR11998510	GSM4611575: S. epidermidis under nutritional downshift - rep3; Staphylococcusepidermidis 1457; RNA-Seq	33476	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/010/SRR11998510/SRR11998510_2.fastq.gz	SRR11998510_2.fastq.gz	PRJNA638918	SRX8532054	S_epidermidis_1457	nutritional_downshift	nutritional_downshift_liquid	nutritional_downshift_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998511	SRR11998511	GSM4611576: S. epidermidis under nitrosative stress - rep1; Staphylococcusepidermidis 1457; RNA-Seq	45224	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/011/SRR11998511/SRR11998511_1.fastq.gz	SRR11998511_1.fastq.gz	PRJNA638918	SRX8532055	S_epidermidis_1457	nitrosative_stress	nitrosative_stress_liquid	nitrosative_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998511	SRR11998511	GSM4611576: S. epidermidis under nitrosative stress - rep1; Staphylococcusepidermidis 1457; RNA-Seq	45224	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/011/SRR11998511/SRR11998511_2.fastq.gz	SRR11998511_2.fastq.gz	PRJNA638918	SRX8532055	S_epidermidis_1457	nitrosative_stress	nitrosative_stress_liquid	nitrosative_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998512	SRR11998512	GSM4611577: S. epidermidis under nitrosative stress - rep2; Staphylococcusepidermidis 1457; RNA-Seq	52676	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/012/SRR11998512/SRR11998512_1.fastq.gz	SRR11998512_1.fastq.gz	PRJNA638918	SRX8532056	S_epidermidis_1457	nitrosative_stress	nitrosative_stress_liquid	nitrosative_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998512	SRR11998512	GSM4611577: S. epidermidis under nitrosative stress - rep2; Staphylococcusepidermidis 1457; RNA-Seq	52676	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/012/SRR11998512/SRR11998512_2.fastq.gz	SRR11998512_2.fastq.gz	PRJNA638918	SRX8532056	S_epidermidis_1457	nitrosative_stress	nitrosative_stress_liquid	nitrosative_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998513	SRR11998513	GSM4611578: S. epidermidis under nitrosative stress - rep3; Staphylococcusepidermidis 1457; RNA-Seq	36579	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/013/SRR11998513/SRR11998513_1.fastq.gz	SRR11998513_1.fastq.gz	PRJNA638918	SRX8532057	S_epidermidis_1457	nitrosative_stress	nitrosative_stress_liquid	nitrosative_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998513	SRR11998513	GSM4611578: S. epidermidis under nitrosative stress - rep3; Staphylococcusepidermidis 1457; RNA-Seq	36579	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/013/SRR11998513/SRR11998513_2.fastq.gz	SRR11998513_2.fastq.gz	PRJNA638918	SRX8532057	S_epidermidis_1457	nitrosative_stress	nitrosative_stress_liquid	nitrosative_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998514	SRR11998514	GSM4611579: S. epidermidis under osmotic stress - rep1; Staphylococcusepidermidis 1457; RNA-Seq	24636	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/014/SRR11998514/SRR11998514_1.fastq.gz	SRR11998514_1.fastq.gz	PRJNA638918	SRX8532058	S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998514	SRR11998514	GSM4611579: S. epidermidis under osmotic stress - rep1; Staphylococcusepidermidis 1457; RNA-Seq	24636	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/014/SRR11998514/SRR11998514_2.fastq.gz	SRR11998514_2.fastq.gz	PRJNA638918	SRX8532058	S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998515	SRR11998515	GSM4611580: S. epidermidis under osmotic stress - rep2; Staphylococcusepidermidis 1457; RNA-Seq	31078	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/015/SRR11998515/SRR11998515_1.fastq.gz	SRR11998515_1.fastq.gz	PRJNA638918	SRX8532059	S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998515	SRR11998515	GSM4611580: S. epidermidis under osmotic stress - rep2; Staphylococcusepidermidis 1457; RNA-Seq	31078	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/015/SRR11998515/SRR11998515_2.fastq.gz	SRR11998515_2.fastq.gz	PRJNA638918	SRX8532059	S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998516	SRR11998516	GSM4611581: S. epidermidis under osmotic stress - rep3; Staphylococcusepidermidis 1457; RNA-Seq	5535	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/016/SRR11998516/SRR11998516_1.fastq.gz	SRR11998516_1.fastq.gz	PRJNA638918	SRX8532060	S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998516	SRR11998516	GSM4611581: S. epidermidis under osmotic stress - rep3; Staphylococcusepidermidis 1457; RNA-Seq	5535	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/016/SRR11998516/SRR11998516_2.fastq.gz	SRR11998516_2.fastq.gz	PRJNA638918	SRX8532060	S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998520	SRR11998520	GSM4611585: S. epidermidis at stationary phase - rep1; Staphylococcusepidermidis 1457; RNA-Seq	56769	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/020/SRR11998520/SRR11998520_1.fastq.gz	SRR11998520_1.fastq.gz	PRJNA638918	SRX8532064	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998520	SRR11998520	GSM4611585: S. epidermidis at stationary phase - rep1; Staphylococcusepidermidis 1457; RNA-Seq	56769	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/020/SRR11998520/SRR11998520_2.fastq.gz	SRR11998520_2.fastq.gz	PRJNA638918	SRX8532064	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998521	SRR11998521	GSM4611586: S. epidermidis at stationary phase - rep2; Staphylococcusepidermidis 1457; RNA-Seq	11914	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/021/SRR11998521/SRR11998521_1.fastq.gz	SRR11998521_1.fastq.gz	PRJNA638918	SRX8532065	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998521	SRR11998521	GSM4611586: S. epidermidis at stationary phase - rep2; Staphylococcusepidermidis 1457; RNA-Seq	11914	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/021/SRR11998521/SRR11998521_2.fastq.gz	SRR11998521_2.fastq.gz	PRJNA638918	SRX8532065	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998522	SRR11998522	GSM4611587: S. epidermidis at stationary phase - rep3; Staphylococcusepidermidis 1457; RNA-Seq	16389	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/022/SRR11998522/SRR11998522_1.fastq.gz	SRR11998522_1.fastq.gz	PRJNA638918	SRX8532066	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998522	SRR11998522	GSM4611587: S. epidermidis at stationary phase - rep3; Staphylococcusepidermidis 1457; RNA-Seq	16389	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/022/SRR11998522/SRR11998522_2.fastq.gz	SRR11998522_2.fastq.gz	PRJNA638918	SRX8532066	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR17798917	SRR17798917	monoculture S. epidermidis HAF242 (replicate 3)	6528	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/017/SRR17798917/SRR17798917_1.fastq.gz	SRR17798917_1.fastq.gz	PRJNA801462	SRX13961073	S_epidermidis_HAF242	stationary_phase	stationary_phase_plate	stationary_phase_plate	NovaSeq_6000	https://www.nature.com/articles/s42003-022-03897-6		Ahle_et_al_2022
SRR17798917	SRR17798917	monoculture S. epidermidis HAF242 (replicate 3)	6528	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/017/SRR17798917/SRR17798917_2.fastq.gz	SRR17798917_2.fastq.gz	PRJNA801462	SRX13961073	S_epidermidis_HAF242	stationary_phase	stationary_phase_plate	stationary_phase_plate	NovaSeq_6000	https://www.nature.com/articles/s42003-022-03897-6		Ahle_et_al_2022
SRR17798918	SRR17798918	monoculture S. epidermidis HAF242 (replicate 2)	4976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/018/SRR17798918/SRR17798918_1.fastq.gz	SRR17798918_1.fastq.gz	PRJNA801462	SRX13961072	S_epidermidis_HAF242	stationary_phase	stationary_phase_plate	stationary_phase_plate	NovaSeq_6000	https://www.nature.com/articles/s42003-022-03897-6		Ahle_et_al_2022
SRR17798918	SRR17798918	monoculture S. epidermidis HAF242 (replicate 2)	4976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/018/SRR17798918/SRR17798918_2.fastq.gz	SRR17798918_2.fastq.gz	PRJNA801462	SRX13961072	S_epidermidis_HAF242	stationary_phase	stationary_phase_plate	stationary_phase_plate	NovaSeq_6000	https://www.nature.com/articles/s42003-022-03897-6		Ahle_et_al_2022
SRR17798919	SRR17798919	monoculture S. epidermidis HAF242 (replicate 1)	4515	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/019/SRR17798919/SRR17798919_1.fastq.gz	SRR17798919_1.fastq.gz	PRJNA801462	SRX13961071	S_epidermidis_HAF242	stationary_phase	stationary_phase_plate	stationary_phase_plate	NovaSeq_6000	https://www.nature.com/articles/s42003-022-03897-6		Ahle_et_al_2022
SRR17798919	SRR17798919	monoculture S. epidermidis HAF242 (replicate 1)	4515	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/019/SRR17798919/SRR17798919_2.fastq.gz	SRR17798919_2.fastq.gz	PRJNA801462	SRX13961071	S_epidermidis_HAF242	stationary_phase	stationary_phase_plate	stationary_phase_plate	NovaSeq_6000	https://www.nature.com/articles/s42003-022-03897-6		Ahle_et_al_2022
SRR5417098	SRR5417098	GSM2563903: SE1457-1; Staphylococcus epidermidis; RNA-Seq	33231	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR541/008/SRR5417098/SRR5417098_1.fastq.gz	SRR5417098_1.fastq.gz	PRJNA381636	SRX2708696	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5417098	SRR5417098	GSM2563903: SE1457-1; Staphylococcus epidermidis; RNA-Seq	33231	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR541/008/SRR5417098/SRR5417098_2.fastq.gz	SRR5417098_2.fastq.gz	PRJNA381636	SRX2708696	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5417099	SRR5417099	GSM2563904: SE1457-2; Staphylococcus epidermidis; RNA-Seq	34844	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR541/009/SRR5417099/SRR5417099_1.fastq.gz	SRR5417099_1.fastq.gz	PRJNA381636	SRX2708697	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5417099	SRR5417099	GSM2563904: SE1457-2; Staphylococcus epidermidis; RNA-Seq	34844	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR541/009/SRR5417099/SRR5417099_2.fastq.gz	SRR5417099_2.fastq.gz	PRJNA381636	SRX2708697	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5417100	SRR5417100	GSM2563905: SE1457-3; Staphylococcus epidermidis; RNA-Seq	31429	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR541/000/SRR5417100/SRR5417100_1.fastq.gz	SRR5417100_1.fastq.gz	PRJNA381636	SRX2708698	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
