PAG	DNF11_0001	Pregnancy-associated glycoprotein
mcfN	DNF11_0114	Mitochondrial substrate carrier family protein N
UAC1	DNF11_0115	Adenylate cyclase
NIPA2_1	DNF11_0116	Magnesium transporter NIPA2
	DNF11_0117	putative mitochondrial pyruvate carrier 2
PCK1	DNF11_0118	Phosphoenolpyruvate carboxykinase
trm112	DNF11_0119	Multifunctional methyltransferase subunit trm112
ERT1	DNF11_0120	Transcription activator of gluconeogenesis ERT1
TOP1	DNF11_0121	DNA topoisomerase 1
rpc6	DNF11_0122	putative DNA-directed RNA polymerase III subunitrpc6
DUG2	DNF11_0123	putative di- and tripeptidase DUG2
dur3-1	DNF11_0124	putative urea active transporter 1
GAR1	DNF11_0125	H/ACA ribonucleoprotein complex subunit 1
AACS	DNF11_0126	Acetoacetyl-CoA synthetase
	DNF11_0127	putative serine/threonine-protein kinase
sws2	DNF11_0128	37S ribosomal protein subunit sws2, mitochondrial
CNB1	DNF11_0129	Calcineurin subunit B
PSMB6	DNF11_0130	Proteasome subunit beta type-6
grn1	DNF11_0131	GTPase grn1
	DNF11_0132	hypothetical protein
CLIP1	DNF11_0133	CAP-Gly domain-containing linker protein 1
nudE	DNF11_0134	Nuclear distribution protein nudE
ppk15	DNF11_0135	Serine/threonine-protein kinase ppk15
cysB	DNF11_0136	Cysteine synthase
prpD	DNF11_0137	2-methylcitrate dehydratase
	DNF11_0138	hypothetical protein
	DNF11_0139	hypothetical protein
	DNF11_0140	RhoGEF domain protein
PS2	DNF11_0141	Inorganic pyrophosphatase 1
	DNF11_0142	Putative serine/threonine-protein phosphatase
	DNF11_0143	hypothetical protein
DBP10	DNF11_0144	ATP-dependent RNA helicase DBP10
SID2	DNF11_0145	Ferrichrome siderophore peptide synthetase
pmd1_1	DNF11_0146	Leptomycin B resistance protein pmd1
ILV1	DNF11_0147	Threonine dehydratase, mitochondrial
GNL3L	DNF11_0148	Guanine nucleotide-binding protein-like 3-like protein
hrp3	DNF11_0149	Chromodomain helicase hrp3
Arpc4	DNF11_0150	Actin-related protein 2/3 complex subunit 4
srb8	DNF11_0151	Mediator of RNA polymerase II transcription subunit 12
lrs1	DNF11_0152	Putative leucine--tRNA ligase, cytoplasmic
	DNF11_0153	SUR7/PalI family protein
sgmB	DNF11_0154	Sphingomyelin phosphodiesterase B
asm-3	DNF11_0155	Putative sphingomyelin phosphodiesterase asm-3
FADS3	DNF11_0156	Fatty acid desaturase 3
SED4	DNF11_0157	Putative guanine nucleotide-exchange factor SED4
	DNF11_0158	hypothetical protein
RAD14	DNF11_0159	DNA repair protein RAD14
SET2	DNF11_0160	Histone-lysine N-methyltransferase, H3 lysine-36specific
xpo4	DNF11_0161	Exportin-4
Sod2b	DNF11_0162	Superoxide dismutase [Mn
	DNF11_0163	hypothetical protein
	DNF11_0164	hypothetical protein
RPO41	DNF11_0165	DNA-directed RNA polymerase, mitochondrial
FAO2	DNF11_0166	Long-chain-alcohol oxidase FAO2
	DNF11_0167	HEAT repeat
PMT4	DNF11_0168	Dolichyl-phosphate-mannose--protein mannosyltransferase 4
GALM	DNF11_0169	Aldose 1-epimerase
	DNF11_0170	Actin-fragmin kinase
	DNF11_0171	hypothetical protein
BETAC-AD	DNF11_0172	Beta-adaptin-like protein C
dim1	DNF11_0173	Dimethyladenosine transferase
cut4	DNF11_0174	Anaphase-promoting complex subunit 1
OTUD3	DNF11_0175	OTU domain-containing protein 3
	DNF11_0176	putative ATP-dependent helicase
	DNF11_0177	ATPase inhibitor, mitochondrial
	DNF11_0178	ATP synthase complex subunit h
SFT2	DNF11_0179	Protein transport protein SFT2
tif213	DNF11_0180	Eukaryotic translation initiation factor 2 subunit gamma
	DNF11_0181	pentatricopeptide repeat domain protein
NPL6	DNF11_0182	Chromatin structure-remodeling complex subunit RSC7
DOA4	DNF11_0183	Ubiquitin carboxyl-terminal hydrolase 4
Gfer	DNF11_0184	FAD-linked sulfhydryl oxidase ALR
nst1	DNF11_0185	Stress response protein nst1
	DNF11_0186	hypothetical protein
	DNF11_0187	uncharacterized protein
UBI1	DNF11_0188	60S ribosomal protein L40
	DNF11_0189	uncharacterized protein
RPL20B	DNF11_0190	60S ribosomal protein L20-B
VPS35	DNF11_0191	Vacuolar protein sorting-associated protein 35
atp9b	DNF11_0192	putative phospholipid-transporting ATPase IIB
	DNF11_0193	hypothetical protein
sce3	DNF11_0194	putative RNA-binding protein sce3
MTD1	DNF11_0195	Methylenetetrahydrofolate dehydrogenase [NAD(+)
taf6	DNF11_0196	Transcription initiation factor TFIID subunit 6
pep12	DNF11_0197	Syntaxin pep12
ENGASE	DNF11_0198	Cytosolic endo-beta-N-acetylglucosaminidase
	DNF11_0199	uncharacterized protein
	DNF11_0200	chaperone protein DnaJ
argx	DNF11_0201	putative argininosuccinate lyase
CANX	DNF11_0202	Calnexin
krp1	DNF11_0203	Dibasic-processing endoprotease
	DNF11_0204	hypothetical protein
	DNF11_0205	hypothetical protein
ISW2	DNF11_0206	ISWI chromatin-remodeling complex ATPase ISW2
kap95	DNF11_0207	Importin subunit beta-1
	DNF11_0208	Putative phospho-2-dehydro-3-deoxyheptonate aldolase
	DNF11_0209	Golgi complex component 7
MDH1_1	DNF11_0210	Malate dehydrogenase, cytoplasmic
PEX6	DNF11_0211	Peroxisomal biogenesis factor 6
stt3	DNF11_0212	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit stt3
	DNF11_0213	hypothetical protein
	DNF11_0214	hypothetical protein
	DNF11_0215	Putative protein disulfide-isomerase
FNTB	DNF11_0216	Protein farnesyltransferase subunit beta
	DNF11_0217	hypothetical protein
	DNF11_0218	hypothetical protein
cdc13_1	DNF11_0219	G2/mitotic-specific cyclin cdc13
scn1	DNF11_0220	Cut9-interacting protein scn1
vps1	DNF11_0221	Vacuolar protein sorting-associated protein 1
nxt3	DNF11_0222	Putative G3BP-like protein
SEY1	DNF11_0223	Protein SEY1
	DNF11_0224	Rare lipoprotein A (RlpA)-like double-psi beta-barrel
MGA2	DNF11_0225	Protein MGA2
css1	DNF11_0226	Inositol phosphosphingolipids phospholipase C
alg9	DNF11_0227	Alpha-1,2-mannosyltransferase alg9
orc1	DNF11_0228	Origin recognition complex subunit 1
	DNF11_0229	hypothetical protein
met11	DNF11_0230	Methylenetetrahydrofolate reductase 2
	DNF11_0231	putative 20S rRNA accumulation protein 4
GRX5	DNF11_0232	Monothiol glutaredoxin-5, mitochondrial
	DNF11_0233	bZIP transcription factor
rst2	DNF11_0234	Zinc finger protein rst2
GOSR1	DNF11_0235	Golgi SNAP receptor complex member 1
xpo1	DNF11_0236	Exportin-1
nuc-2	DNF11_0237	Ankyrin repeat protein nuc-2
	DNF11_0238	hypothetical protein
cmkA	DNF11_0239	Calcium/calmodulin-dependent protein kinase
cct1	DNF11_0240	T-complex protein 1 subunit alpha
	DNF11_0241	uncharacterized protein
bub1	DNF11_0242	Checkpoint serine/threonine-protein kinase bub1
	DNF11_0243	uncharacterized protein
	DNF11_0244	putative urease accessory protein ureG-like protein
MSS51	DNF11_0245	Protein MSS51, mitochondrial
stt4	DNF11_0246	Phosphatidylinositol 4-kinase stt4
	DNF11_0247	hypothetical protein
MRPS9	DNF11_0248	37S ribosomal protein S9, mitochondrial
mrps18	DNF11_0249	Putative 37S ribosomal protein S18, mitochondrial
	DNF11_0250	hypothetical protein
gpt	DNF11_0251	putative alanine aminotransferase, mitochondrial
	DNF11_0252	Replication factor C subunit 5
	DNF11_0253	Dipeptidyl-peptidase 5
	DNF11_0254	putative proteasome subunit beta type-7
nsp1	DNF11_0255	Nucleoporin nsp1
AVT1	DNF11_0256	Vacuolar amino acid transporter 1
	DNF11_0257	hypothetical protein
mag1	DNF11_0258	DNA-3-methyladenine glycosylase 1
rpn-1	DNF11_0259	26S proteasome regulatory subunit rpn-1
	DNF11_0260	hypothetical protein
yta12	DNF11_0261	Mitochondrial respiratory chain complexes assembly protein rca1
VPS8	DNF11_0262	Vacuolar protein sorting-associated protein 8
rga5	DNF11_0263	Rho-GTPase-activating protein 5
rpc25	DNF11_0264	DNA-directed RNA polymerase III subunit rpc8
	DNF11_0265	uncharacterized protein
RAD54B	DNF11_0266	DNA repair and recombination protein RAD54B
nudC	DNF11_0267	Nuclear movement protein nudC
rps14	DNF11_0268	40S ribosomal protein S14
rpl38a	DNF11_0269	60S ribosomal protein L38-1
	DNF11_0270	uncharacterized protein
cut23	DNF11_0271	Anaphase-promoting complex subunit 8
	DNF11_0272	hypothetical protein
bioA	DNF11_0273	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
MPP10	DNF11_0274	U3 small nucleolar RNA-associated protein MPP10
	DNF11_0275	hypothetical protein
TRM6	DNF11_0276	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
	DNF11_0277	hypothetical protein
	DNF11_0278	hypothetical protein
pgs1	DNF11_0279	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
	DNF11_0280	hypothetical protein
	DNF11_0281	Eukaryotic translation initiation factor 3 subunit D
vid27	DNF11_0282	Vacuolar import and degradation protein 27
sec18	DNF11_0283	Vesicular-fusion protein sec18
Pdp1	DNF11_0284	[Pyruvate dehydrogenase [acetyl-transferring
	DNF11_0285	putative cytochrome b5
PSMD8	DNF11_0286	26S proteasome non-ATPase regulatory subunit 8
HMGB4	DNF11_0287	High mobility group B protein 4
	DNF11_0288	putative hydrolase
	DNF11_0289	MAGE family protein
	DNF11_0290	hypothetical protein
rex3	DNF11_0291	RNA exonuclease 3
ERG27	DNF11_0292	3-keto-steroid reductase
msp1	DNF11_0293	Protein msp1, mitochondrial
40Srps3	DNF11_0294	40S ribosomal protein S3
	DNF11_0295	Hyaluronan / mRNA binding family protein
plc1	DNF11_0296	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1
	DNF11_0297	hypothetical protein
	DNF11_0298	hypothetical protein
rpl-16	DNF11_0299	60S ribosomal protein L16
rpl32a	DNF11_0300	60S ribosomal protein L32-A
	DNF11_0301	hypothetical protein
	DNF11_0302	hypothetical protein
	DNF11_0303	uncharacterized protein
DENND6B	DNF11_0304	uncharacterized protein
DBP5	DNF11_0305	ATP-dependent RNA helicase DBP5
	DNF11_0306	DNA polymerase subunit Cdc27
TOF1	DNF11_0307	Topoisomerase 1-associated factor 1
Dcp1b	DNF11_0308	mRNA-decapping enzyme 1B
mis18	DNF11_0309	Kinetochore protein mis18
cdc13_2	DNF11_0310	G2/mitotic-specific cyclin cdc13
RRI1	DNF11_0311	COP9 signalosome complex subunit 5
MSC7	DNF11_0312	uncharacterized protein
lcb2	DNF11_0313	Serine palmitoyltransferase 2
rpl-24	DNF11_0314	60S ribosomal protein L24
rae1	DNF11_0315	Poly(A)+ RNA export protein
GUF1	DNF11_0316	Translation factor GUF1, mitochondrial
plb1	DNF11_0317	Lysophospholipase 1
	DNF11_0318	phosphoglycerate mutase
DGAT2A	DNF11_0319	Diacylglycerol O-acyltransferase 2A
cnd2	DNF11_0320	Condensin complex subunit 2
	DNF11_0321	putative CDP-alcohol phosphatidyltransferase class-I family protein C22A12.10
rgf3	DNF11_0322	Rho1 guanine nucleotide exchange factor 3
	DNF11_0323	uncharacterized protein
brc1	DNF11_0324	BRCT-containing protein 1
	DNF11_0325	DNA topoisomerase 2-associated protein pat1
sec1	DNF11_0326	Protein transport protein sec1
	DNF11_0327	DASH complex subunit Hsk3 like protein
Aadat	DNF11_0328	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
smb1	DNF11_0329	Small nuclear ribonucleoprotein-associated protein B
	DNF11_0330	uncharacterized protein
nit2	DNF11_0331	putative hydrolase nit2
DED1	DNF11_0332	ATP-dependent RNA helicase DED1
	DNF11_0333	hypothetical protein
rpl-11	DNF11_0334	60S ribosomal protein L11
	DNF11_0335	uncharacterized protein
ssp1	DNF11_0336	Serine/threonine-protein kinase ssp1
CRAT	DNF11_0337	Carnitine O-acetyltransferase
	DNF11_0338	secondary thiamine-phosphate synthase enzyme
HIS4	DNF11_0339	Histidinol dehydrogenase
	DNF11_0340	uncharacterized protein
maf1	DNF11_0341	Repressor of RNA polymerase III transcription maf1
	DNF11_0342	hypothetical protein
mug65	DNF11_0343	Meiotically up-regulated gene 65 protein
	DNF11_0344	Calmodulin
chr3	DNF11_0345	Chitin synthase regulatory factor 3
	DNF11_0346	GATA Zn-finger-containing transcription factor
prp22	DNF11_0347	Pre-mRNA-splicing factor ATP-dependent RNA helicase prp22
ies2	DNF11_0348	INO80 complex subunit 2
uba2	DNF11_0349	Ubiquitin-activating enzyme E1-like protein
ZIFL1	DNF11_0350	Protein ZINC INDUCED FACILITATOR-LIKE 1
tfa1	DNF11_0351	Transcription initiation factor IIE subunit alpha
	DNF11_0352	hypothetical protein
NMD3	DNF11_0353	60S ribosomal export protein NMD3
mtr4	DNF11_0354	ATP-dependent RNA helicase mtr4
UMP1	DNF11_0355	Proteasome maturation factor UMP1
	DNF11_0356	Isopeptidase T
gcs1	DNF11_0357	Glutamate--cysteine ligase
	DNF11_0358	hypothetical protein
dml1	DNF11_0359	Protein dml1
Txnl4a	DNF11_0360	Thioredoxin-like protein 4A
	DNF11_0361	Putative pterin-4-alpha-carbinolamine dehydratase
	DNF11_0362	uncharacterized protein
ATP20	DNF11_0363	ATP synthase subunit g, mitochondrial
SIW14	DNF11_0364	Tyrosine-protein phosphatase SIW14
mad2	DNF11_0365	Mitotic spindle checkpoint component mad2
mcm4	DNF11_0366	DNA replication licensing factor mcm4
YSH1	DNF11_0367	Endoribonuclease YSH1
	DNF11_0368	uncharacterized protein
VMA4	DNF11_0369	V-type proton ATPase subunit E
TIF35	DNF11_0370	Eukaryotic translation initiation factor 3 subunit G
	DNF11_0371	ribonuclease III
	DNF11_0372	hypothetical protein
	DNF11_0373	uncharacterized protein
rps18a	DNF11_0374	40S ribosomal protein S18
pyc	DNF11_0375	Pyruvate carboxylase
	DNF11_0376	hypothetical protein
phb2	DNF11_0377	Prohibitin-2
mcm5	DNF11_0378	DNA replication licensing factor mcm5
TTG1	DNF11_0379	Protein TRANSPARENT TESTA GLABRA 1
	DNF11_0380	hypothetical protein
CDC25_1	DNF11_0381	Cell division control protein 25
Slc30a5	DNF11_0382	Zinc transporter 5
	DNF11_0383	uncharacterized protein
TRP-1	DNF11_0384	Tryptophan synthase
SYMPK	DNF11_0385	Symplekin
vha-10	DNF11_0386	putative V-type proton ATPase subunit G
	DNF11_0387	WD domain, G-beta repeat
	DNF11_0388	uncharacterized protein
pms1	DNF11_0389	DNA mismatch repair protein pms1
	DNF11_0390	hypothetical protein
Dynll1	DNF11_0391	Dynein light chain 1, cytoplasmic
tif224	DNF11_0392	putative translation initiation factor eIF-2B subunit delta
RVS167	DNF11_0393	Reduced viability upon starvation protein 167
	DNF11_0394	hypothetical protein
Tbc1d5	DNF11_0395	TBC1 domain family member 5
	DNF11_0396	uncharacterized protein
kap123	DNF11_0397	putative importin subunit beta-4
Dyrk4	DNF11_0398	Dual specificity tyrosine-phosphorylation-regulated kinase 4
	DNF11_0399	Vitamin-D-receptor interacting Mediator subunit 4
tbp1_1	DNF11_0400	26S protease regulatory subunit 6A
kif11_1	DNF11_0401	Kinesin-related protein 11
prpf38a	DNF11_0402	Pre-mRNA-splicing factor 38A
	DNF11_0403	uncharacterized protein
MYO2	DNF11_0404	Myosin-2
	DNF11_0405	Whi5 like protein
	DNF11_0406	Dolichol-phosphate mannosyltransferase subunit 3(DPM3)
SMYD1	DNF11_0407	Histone-lysine N-methyltransferase SMYD1
ARP6	DNF11_0408	Actin-like protein ARP6
ppi1	DNF11_0409	Peptidyl-prolyl cis-trans isomerase
	DNF11_0410	hypothetical protein
lac1	DNF11_0411	Sphingosine N-acyltransferase lac1
spf31	DNF11_0412	J domain-containing protein spf31
dbp6	DNF11_0413	ATP-dependent RNA helicase dbp6
cmc2	DNF11_0414	COX assembly mitochondrial protein 2
SCS7	DNF11_0415	Ceramide very long chain fatty acid hydroxylase SCS7
Elac2	DNF11_0416	Zinc phosphodiesterase ELAC protein 2
slm1	DNF11_0417	Cytoskeletal signaling protein slm1
PFS2	DNF11_0418	Polyadenylation factor subunit 2
Gpaa1	DNF11_0419	Glycosylphosphatidylinositol anchor attachment 1protein
coq3	DNF11_0420	Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial
vps36	DNF11_0421	Vacuolar protein-sorting-associated protein 36
	DNF11_0422	Translation initiation factor eIF3 subunit 135
hmgA	DNF11_0423	3-hydroxy-3-methylglutaryl-coenzyme A reductase
	DNF11_0424	hypothetical protein
lcf2	DNF11_0425	Long-chain-fatty-acid--CoA ligase 2
	DNF11_0426	uncharacterized protein
SNRNP200	DNF11_0427	U5 small nuclear ribonucleoprotein 200 kDa helicase
set3	DNF11_0428	SET domain-containing protein 3
pds5	DNF11_0429	Sister chromatid cohesion protein pds5
cops3	DNF11_0430	COP9 signalosome complex subunit 3
fbh1	DNF11_0431	F-box DNA helicase protein 1
	DNF11_0432	uncharacterized protein
	DNF11_0433	uncharacterized protein
MPH1	DNF11_0434	ATP-dependent DNA helicase MPH1
NPR3	DNF11_0435	Nitrogen permease regulator 3
rid1	DNF11_0436	GTPase-binding protein rid1
kif11_2	DNF11_0437	Kinesin-related protein 11
yraM	DNF11_0438	Putative isomerase YraM
galE	DNF11_0439	UDP-glucose 4-epimerase
	DNF11_0440	hypothetical protein
RPL12B	DNF11_0441	60S ribosomal protein L12-B
cpc-2	DNF11_0442	Guanine nucleotide-binding protein subunit beta-like protein
RBG2	DNF11_0443	Glycine-rich RNA-binding protein 2, mitochondrial
	DNF11_0444	hypothetical protein
	DNF11_0445	uncharacterized protein
TMP1	DNF11_0446	Thymidylate synthase
	DNF11_0447	hypothetical protein
	DNF11_0448	Surfeit locus protein 5 subunit 22 of Mediator complex
samB	DNF11_0449	MYND-type zinc finger protein samB
FOL3	DNF11_0450	Folylpolyglutamate synthase
	DNF11_0451	hypothetical protein
ssb2	DNF11_0452	Replication factor A protein 2
KDM5C	DNF11_0453	Lysine-specific demethylase 5C
Pros26.4	DNF11_0454	26S protease regulatory subunit 4
TIM22	DNF11_0455	Mitochondrial import inner membrane translocase subunit TIM22
PMA1	DNF11_0456	Plasma membrane ATPase 1
cct3	DNF11_0457	T-complex protein 1 subunit gamma
	DNF11_0458	hypothetical protein
rhp16	DNF11_0459	ATP-dependent helicase rhp16
TTI1	DNF11_0460	TEL2-interacting protein 1
HAT2	DNF11_0461	Histone acetyltransferase type B subunit 2
PMP3	DNF11_0462	Plasma membrane proteolipid 3
dhh1	DNF11_0463	ATP-dependent RNA helicase dhh1
PAM17	DNF11_0464	Presequence translocated-associated motor subunit PAM17, mitochondrial
cwf23	DNF11_0465	Pre-mRNA-splicing factor cwf23
MTF1	DNF11_0466	Mitochondrial transcription factor 1
	DNF11_0467	54S ribosomal protein L35, mitochondrial
ATG11	DNF11_0468	Autophagy-related protein 11
	DNF11_0469	Pre-mRNA polyadenylation factor fip1
	DNF11_0470	putative mitochondrial pyruvate carrier 1
fahd1	DNF11_0471	Acylpyruvase FAHD1, mitochondrial
	DNF11_0472	Spc19
	DNF11_0473	hypothetical protein
Rpp30	DNF11_0474	Ribonuclease P protein subunit p30
APA2	DNF11_0475	5',5'''-P-1,P-4-tetraphosphate phosphorylase 2
avt5	DNF11_0476	Vacuolar amino acid transporter 5
RAD51	DNF11_0477	DNA repair protein RAD51
	DNF11_0478	SNARE domain protein
strap	DNF11_0479	Serine-threonine kinase receptor-associated protein
CHS8	DNF11_0480	Chitin synthase 8
CPK1	DNF11_0481	Mitogen-activated protein kinase CPK1
chr4	DNF11_0482	Chitin synthase regulatory factor 4
ANB1	DNF11_0483	Eukaryotic translation initiation factor 5A
CBF1	DNF11_0484	Centromere-binding protein 1
tel2	DNF11_0485	DNA replication checkpoint protein tel2
met8	DNF11_0486	Sirohydrochlorin ferrochelatase
pil1	DNF11_0487	putative sphingolipid long chain base-responsiveprotein pil1
RPP40	DNF11_0488	Ribonuclease P protein subunit p40
abaA	DNF11_0489	Regulatory protein abaA
Fam96b	DNF11_0490	Mitotic spindle-associated MMXD complex subunit MIP18
VPS33A	DNF11_0491	Vacuolar protein sorting-associated protein 33A
	DNF11_0492	Cysteine--tRNA ligase
METTL21D	DNF11_0493	Protein-lysine methyltransferase METTL21D
	DNF11_0494	putative inositol polyphosphate 5-phosphatase C9G1.10c
	DNF11_0495	hypothetical protein
usp106	DNF11_0496	U1 snRNP-associated protein usp106
tmp1b	DNF11_0497	Thymidylate kinase
Cstf2	DNF11_0498	Cleavage stimulation factor subunit 2
	DNF11_0499	putative prefoldin subunit 1
PPP2R5D	DNF11_0500	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform
sec66	DNF11_0501	Translocation protein sec66
ckb-2	DNF11_0502	Casein kinase II subunit beta-2
pdb1	DNF11_0503	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
ipp1	DNF11_0504	Inorganic pyrophosphatase
CCP2	DNF11_0505	Putative heme-binding peroxidase
	DNF11_0506	hypothetical protein
ATP2A3	DNF11_0507	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3
MRPL31	DNF11_0508	54S ribosomal protein L31, mitochondrial
FBA1	DNF11_0509	Fructose-bisphosphate aldolase
PLEKHA8P1	DNF11_0510	Putative protein PLEKHA9
POSTN	DNF11_0511	Periostin
elp3	DNF11_0512	Elongator complex protein 3
	DNF11_0513	Phosphoinositide 3-phosphatase
rna1	DNF11_0514	Ran GTPase-activating protein 1
	DNF11_0515	uncharacterized protein
wdr83	DNF11_0516	WD repeat domain-containing protein 83
FMOGS-OX5	DNF11_0517	Flavin-containing monooxygenase FMO GS-OX5
	DNF11_0518	putative serine/threonine kinase
TIM8	DNF11_0519	Mitochondrial import inner membrane translocase subunit TIM8
pol5	DNF11_0520	DNA polymerase V
stg	DNF11_0521	M-phase inducer phosphatase
