LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	AFT_HUMAN_RM	AFT_RIBO_RM	AFT_DEDUP	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT
SMT028_T3_Ch	40476175	21143548	0.313429	19743380	14341479	4109225	4109225	14.38	369596	3739629	3694035
SMT028_T3_Sc	21652798	8822877	0.180586	8439206	5663147	3074913	3074913	4.14	312390	2762523	2729985
SMT028_T3_Tw	14355696	4586740	0.0834294	4249673	3510552	2273387	2273387	3.15	209756	2063631	2041978
SMT029_T1_Ac	12700768	12200631	0.589678	11693299	11157028	2369657	2369657	67.94	142474	2227183	2207917
SMT029_T1_Ch	49182666	47856440	0.643154	47283810	40524138	7874830	7874830	74.90	369939	7504891	7496464
SMT029_T1_Sc	15191166	13284972	0.629791	12906795	9529529	1550905	1550905	43.63	389778	1161127	1155037
SMT029_T1_Tw	26185222	24302408	0.637958	23991314	17678406	3100364	3100364	59.66	404632	2695732	2685420
SMT029_T1_Vf	25270688	13498471	0.250177	11987815	9507955	2670289	2670289	15.81	328757	2341532	2314853
SMT029_T2_Ac	12375223	5745590	0.1582	4890385	4027331	1723372	1723372	7.07	221668	1501704	1473228
SMT029_T2_Ch	71206275	69614928	0.672339	69254482	63795065	10725922	10725922	81.42	200983	10524939	10517253
SMT029_T2_Sc	50990903	45942879	0.667602	44525619	34160889	3906502	3906502	51.95	451472	3455030	3436363
SMT029_T2_Tw	48546445	47929351	0.747304	47826901	32410968	3886204	3886204	54.42	308704	3577500	3573906
SMT029_T2_Vf	6778386	4742189	0.336242	4216860	3197228	874391	874391	11.84	420300	454091	442187
SMT029_T3_Ac	19633998	10045609	0.24973	8519006	6204916	2694897	2694897	12.17	211113	2483784	2434132
SMT029_T3_Ch	18920919	16236811	0.554263	16061677	14863990	3387045	3387045	65.74	105810	3281235	3276143
SMT029_T3_Sc	19347821	9894192	0.259068	9379759	6778055	2637294	2637294	10.63	208226	2429068	2407012
SMT029_T3_Tw	19526034	19132535	0.66572	19081465	15307476	3045572	3045572	71.04	262281	2783291	2780125
SMT029_T3_Vf	8533558	5844327	0.361994	5265474	4310849	1060353	1060353	11.89	320679	739674	725507
SMT030_T1_Ac	10338468	5698229	0.265789	3523679	2946310	1256580	1256580	7.28	225235	1031345	1007660
SMT030_T1_Ch	62099600	60164263	0.696185	58406490	39471924	6317416	6317416	58.05	480855	5836561	5817633
SMT030_T1_Sc	31416996	28525404	0.681454	27914581	15176888	2158500	2158500	50.25	231212	1927288	1910967
SMT030_T1_Tw	18709169	16958464	0.599875	12900032	11871281	1884161	1884161	58.29	229700	1654461	1610114
SMT030_T1_Vf	12457200	5248986	0.15832	4821041	3975741	1895017	1895017	5.71	244609	1650408	1624556
SMT030_T2_Ac	9159663	7277966	0.482476	6310252	5436869	1236406	1236406	10.81	453991	782415	771515
SMT030_T2_Ch	35464983	35034707	0.724705	34521907	24004373	3588230	3588230	58.02	242919	3345311	3339132
SMT030_T2_Sc	14953339	12713449	0.63172	12152928	7304064	1123311	1123311	34.20	206608	916703	909161
SMT030_T2_Tw	8536316	6576185	0.476013	6414129	6088513	1355021	1355021	40.53	164387	1190634	1182905
SMT030_T2_Vf	20915168	17299236	0.586978	16633434	12868224	1946409	1946409	34.92	383412	1562997	1550417
SMT030_T3_Ac	7796550	5170389	0.366518	4734804	4054593	1156020	1156020	13.03	305361	850659	838834
SMT030_T3_Ch	21144233	20555349	0.668688	19863808	13334727	2333297	2333297	52.47	207096	2126201	2112202
SMT030_T3_Sc	11482677	10158071	0.647519	9879219	6253674	1067212	1067212	34.06	159538	907674	899795
SMT030_T3_Tw	11077362	10651054	0.611234	10614932	10359958	2481184	2481184	78.38	126696	2354488	2349925
SMT030_T3_Vf	8814645	6427379	0.459322	6170831	4711712	1079356	1079356	19.90	268544	810812	800951
