LIBID	subj_region	subject	region	mol_type	UMI	low_conc	comments
MHS438	SMT025_Ch	SMT025	Ch	RNA	TRUE	FALSE	
MHS439	SMT027_Ch	SMT027	Ch	RNA	TRUE	FALSE	
MHS440	SMT026_Sc	SMT026	Sc	RNA	TRUE	FALSE	
MHS441	SMT026_Ac	SMT026	Ac	RNA	TRUE	FALSE	
MHS442	SMT018_Sc	SMT018	Sc	RNA	TRUE	FALSE	
MHS443	SMT018_Ch	SMT018	Ch	RNA	TRUE	FALSE	
MHS444	ZymoCtrl	ZymoCtrl	pos-ctrl	RNA	TRUE	FALSE	
MHS445	3 Bac (VV:LM:PS)	VV-LM-PS	pos-ctrl	RNA	TRUE	FALSE	
MHS446	SMT006_Sc	SMT006	Sc	DNA	FALSE	FALSE	
MHS447	SMT006_Ch	SMT006	Ch	DNA	FALSE	FALSE	
MHS448	SMT006_Ac	SMT006	Ac	DNA	FALSE	FALSE	
MHS449	SMT006_Vf	SMT006	Vf	DNA	FALSE	FALSE	
MHS450	SMT006_Tw	SMT006	Tw	DNA	FALSE	FALSE	
MHS451	SMT008_Sc	SMT008	Sc	DNA	FALSE	FALSE	
MHS452	SMT008_Ac	SMT008	Ac	DNA	FALSE	FALSE	
MHS453	SMT008_Vf	SMT008	Vf	DNA	FALSE	FALSE	
MHS454	SMT008_Tw	SMT008	Tw	DNA	FALSE	FALSE	
MHS455	SMT013_Sc	SMT013	Sc	DNA	FALSE	FALSE	
MHS456	SMT013_Ch	SMT013	Ch	DNA	FALSE	FALSE	
MHS457	SMT013_Ac	SMT013	Ac	DNA	FALSE	FALSE	
MHS458	SMT013_Vf	SMT013	Vf	DNA	FALSE	FALSE	
MHS459	SMT013_Tw	SMT013	Tw	DNA	FALSE	FALSE	
MHS460	SMT017_Sc	SMT017	Sc	DNA	FALSE	FALSE	
MHS461	SMT017_Ch	SMT017	Ch	DNA	FALSE	FALSE	
MHS462	SMT017_Tw	SMT017	Tw	DNA	FALSE	FALSE	
MHS463	SMT021_Sc	SMT021	Sc	DNA	FALSE	FALSE	
MHS464	SMT021_Ch	SMT021	Ch	DNA	FALSE	FALSE	
MHS465	SMT021_Ac	SMT021	Ac	DNA	FALSE	FALSE	
MHS466	SMT021_Vf	SMT021	Vf	DNA	FALSE	FALSE	
MHS467	SMT021_Tw	SMT021	Tw	DNA	FALSE	FALSE	
MHS468	SMT023_Sc	SMT023	Sc	DNA	FALSE	FALSE	
MHS469	SMT023_Ac	SMT023	Ac	DNA	FALSE	FALSE	
MHS470	Neg001	Neg001	neg-ctrl	DNA	FALSE	TRUE	
MHS471	SMT023_Ch	SMT023	Ch	DNA	FALSE	FALSE	
MHS472	SMT023_Tw	SMT023	Tw	DNA	FALSE	FALSE	
MHS473	SMT001_Sc	SMT001	Sc	DNA	FALSE	FALSE	
MHS474	SMT001_Ch	SMT001	Ch	DNA	FALSE	FALSE	
MHS475	SMT001_Ac	SMT001	Ac	DNA	FALSE	FALSE	
MHS476	SMT001_Vf	SMT001	Vf	DNA	FALSE	FALSE	
MHS477	SMT001_Tw	SMT001	Tw	DNA	FALSE	FALSE	
MHS478	SMT015_Sc	SMT015	Sc	DNA	FALSE	FALSE	
MHS479	SMT015_Ch	SMT015	Ch	DNA	FALSE	FALSE	
MHS480	SMT015_Ac	SMT015	Ac	DNA	FALSE	FALSE	
MHS481	SMT015_Vf	SMT015	Vf	DNA	FALSE	FALSE	
MHS482	SMT015_Tw	SMT015	Tw	DNA	FALSE	FALSE	
MHS483	SMT003_Sc	SMT003	Sc	DNA	FALSE	FALSE	
MHS484	SMT003_Ac	SMT003	Ac	DNA	FALSE	FALSE	
MHS485	SMT003_Vf	SMT003	Vf	DNA	FALSE	FALSE	
MHS486	SMT003_Tw	SMT003	Tw	DNA	FALSE	FALSE	
MHS487	SMT019_Sc	SMT019	Sc	DNA	FALSE	FALSE	
MHS488	SMT019_Ch	SMT019	Ch	DNA	FALSE	FALSE	
MHS489	SMT019_Ac	SMT019	Ac	DNA	FALSE	FALSE	
MHS490	SMT019_Vf	SMT019	Vf	DNA	FALSE	FALSE	
MHS491	SMT019_Tw	SMT019	Tw	DNA	FALSE	FALSE	
MHS492	SMT010_Sc	SMT010	Sc	DNA	FALSE	FALSE	
MHS493	SMT010_Ch	SMT010	Ch	DNA	FALSE	FALSE	
MHS494	SMT010_Ac	SMT010	Ac	DNA	FALSE	FALSE	
MHS495	SMT010_Vf	SMT010	Vf	DNA	FALSE	FALSE	
MHS496	SMT010_Tw	SMT010	Tw	DNA	FALSE	FALSE	
MHS497	SMT002_Sc	SMT002	Sc	DNA	FALSE	FALSE	
MHS498	SMT002_Ch	SMT002	Ch	DNA	FALSE	FALSE	
MHS499	SMT002_Ac	SMT002	Ac	DNA	FALSE	FALSE	
MHS500	SMT002_Vf	SMT002	Vf	DNA	FALSE	FALSE	
MHS501	SMT002_Tw	SMT002	Tw	DNA	FALSE	FALSE	
MHS502	SMT004_Sc	SMT004	Sc	DNA	FALSE	FALSE	
MHS503	SMT004_Ch	SMT004	Ch	DNA	FALSE	FALSE	
MHS504	SMT004_Ac	SMT004	Ac	DNA	FALSE	FALSE	
MHS505	SMT004_Vf	SMT004	Vf	DNA	FALSE	FALSE	
MHS506	SMT004_Tw	SMT004	Tw	DNA	FALSE	FALSE	
MHS507	SMT005_Sc	SMT005	Sc	DNA	FALSE	FALSE	
MHS508	SMT005_Ch	SMT005	Ch	DNA	FALSE	FALSE	
MHS509	SMT005_Ac	SMT005	Ac	DNA	FALSE	FALSE	
MHS510	SMT005_Vf	SMT005	Vf	DNA	FALSE	FALSE	
MHS511	SMT005_Tw	SMT005	Tw	DNA	FALSE	FALSE	
MHS513	SMT007_Sc	SMT007	Sc	DNA	FALSE	FALSE	
MHS514	SMT007_Ch	SMT007	Ch	DNA	FALSE	FALSE	
MHS515	SMT007_Vf	SMT007	Vf	DNA	FALSE	FALSE	
MHS516	SMT007_Tw	SMT007	Tw	DNA	FALSE	FALSE	
MHS517	SMT009_Sc	SMT009	Sc	DNA	FALSE	FALSE	
MHS518	SMT009_Ch	SMT009	Ch	DNA	FALSE	FALSE	
MHS519	SMT009_Ac	SMT009	Ac	DNA	FALSE	FALSE	
MHS520	SMT009_Vf	SMT009	Vf	DNA	FALSE	FALSE	
MHS521	SMT009_Tw	SMT009	Tw	DNA	FALSE	FALSE	
MHS522	SMT011_Sc	SMT011	Sc	DNA	FALSE	FALSE	
MHS523	SMT011_Ch	SMT011	Ch	DNA	FALSE	FALSE	
MHS524	Neg002	Neg002	neg-ctrl	DNA	FALSE	TRUE	
MHS525	SMT011_Ac	SMT011	Ac	DNA	FALSE	FALSE	
MHS526	SMT011_Vf	SMT011	Vf	DNA	FALSE	FALSE	
MHS527	SMT011_Tw	SMT011	Tw	DNA	FALSE	FALSE	
MHS528	SMT012_Sc	SMT012	Sc	DNA	FALSE	FALSE	
MHS529	SMT012_Ch	SMT012	Ch	DNA	FALSE	FALSE	
MHS530	SMT012_Ac	SMT012	Ac	DNA	FALSE	FALSE	
MHS531	SMT012_Vf	SMT012	Vf	DNA	FALSE	FALSE	
MHS532	SMT012_Tw	SMT012	Tw	DNA	FALSE	FALSE	
MHS533	SMT024_Sc	SMT024	Sc	DNA	FALSE	FALSE	
MHS534	SMT024_Ch	SMT024	Ch	DNA	FALSE	FALSE	
MHS535	SMT024_Ac	SMT024	Ac	DNA	FALSE	FALSE	
MHS536	SMT024_Vf	SMT024	Vf	DNA	FALSE	FALSE	
MHS537	SMT024_Tw	SMT024	Tw	DNA	FALSE	FALSE	
MHS538	SMT014_Sc	SMT014	Sc	DNA	FALSE	FALSE	
MHS539	SMT014_Ch	SMT014	Ch	DNA	FALSE	FALSE	
MHS540	SMT014_Ac	SMT014	Ac	DNA	FALSE	FALSE	
MHS541	SMT014_Vf	SMT014	Vf	DNA	FALSE	FALSE	
MHS542	SMT014_Tw	SMT014	Tw	DNA	FALSE	FALSE	
MHS543	SMT016_Sc	SMT016	Sc	DNA	FALSE	FALSE	
MHS544	SMT016_Ch	SMT016	Ch	DNA	FALSE	FALSE	
MHS545	SMT016_Ac	SMT016	Ac	DNA	FALSE	FALSE	
MHS546	SMT016_Vf	SMT016	Vf	DNA	FALSE	FALSE	
MHS547	SMT016_Tw	SMT016	Tw	DNA	FALSE	FALSE	
MHS548	SMT020_Sc	SMT020	Sc	DNA	FALSE	FALSE	
MHS549	SMT020_Ch	SMT020	Ch	DNA	FALSE	FALSE	
MHS550	SMT020_Ac	SMT020	Ac	DNA	FALSE	FALSE	
MHS551	SMT020_Vf	SMT020	Vf	DNA	FALSE	FALSE	
MHS552	Neg003	Neg003	neg-ctrl	DNA	FALSE	TRUE	
MHS553	SMT020_Tw	SMT020	Tw	DNA	FALSE	FALSE	
MHS554	SMT025_Sc	SMT025	Sc	DNA	FALSE	FALSE	
MHS555	SMT025_Ch	SMT025	Ch	DNA	FALSE	FALSE	
MHS556	SMT025_Ac	SMT025	Ac	DNA	FALSE	FALSE	
MHS557	SMT025_Vf	SMT025	Vf	DNA	FALSE	FALSE	
MHS558	SMT025_Tw	SMT025	Tw	DNA	FALSE	FALSE	
MHS559	SMT022_Sc	SMT022	Sc	DNA	FALSE	FALSE	
MHS560	SMT022_Ch	SMT022	Ch	DNA	FALSE	FALSE	
MHS561	SMT022_Ac	SMT022	Ac	DNA	FALSE	FALSE	
MHS562	SMT022_Vf	SMT022	Vf	DNA	FALSE	FALSE	
MHS563	SMT022_Tw	SMT022	Tw	DNA	FALSE	FALSE	
MHS564	SMT018_Sc	SMT018	Sc	DNA	FALSE	FALSE	
MHS565	SMT018_Ac	SMT018	Ac	DNA	FALSE	FALSE	
MHS566	Neg004	Neg004	neg-ctrl	DNA	FALSE	TRUE	
MHS567	SMT018_Ch	SMT018	Ch	DNA	FALSE	FALSE	
MHS568	SMT018_Vf	SMT018	Vf	DNA	FALSE	FALSE	
MHS569	SMT018_Tw	SMT018	Tw	DNA	FALSE	FALSE	
MHS570	SMT026_Sc	SMT026	Sc	DNA	FALSE	FALSE	
MHS571	SMT026_Ac	SMT026	Ac	DNA	FALSE	FALSE	
MHS572	SMT026_Ch	SMT026	Ch	DNA	FALSE	FALSE	
MHS573	SMT026_Vf	SMT026	Vf	DNA	FALSE	FALSE	
MHS574	SMT026_Tw	SMT026	Tw	DNA	FALSE	FALSE	
MHS575	SMT027_Sc	SMT027	Sc	DNA	FALSE	FALSE	
MHS576	SMT027_Ac	SMT027	Ac	DNA	FALSE	FALSE	
MHS577	SMT027_Ch	SMT027	Ch	DNA	FALSE	FALSE	
MHS578	SMT027_Vf	SMT027	Vf	DNA	FALSE	FALSE	
MHS579	SMT027_Tw	SMT027	Tw	DNA	FALSE	FALSE	
MHS580	Neg005	Neg005	neg-ctrl	DNA	FALSE	TRUE	
MHS581	Neg006	Neg006	neg-ctrl	DNA	FALSE	TRUE	
MHS582	ZymoD6300	ZymoD6300	pos-ctrl	DNA	FALSE	FALSE	
MHS583	SMT001_Tw_002	SMT001	Tw	RNA	TRUE	FALSE	technical replicate analysis
MHS584	SMT001_Tw_003	SMT001	Tw	RNA	TRUE	FALSE	technical replicate analysis
MHS585	SMT023_Ch_002	SMT023	Ch	RNA	FALSE	FALSE	technical replicate analysis
MHS586	SMT023_Ch_003	SMT023	Ch	RNA	FALSE	FALSE	technical replicate analysis
MHS587	SMT023_Ac_002	SMT023	Ac	RNA	FALSE	FALSE	technical replicate analysis
MHS588	SMT023_Ac_003	SMT023	Ac	RNA	FALSE	FALSE	technical replicate analysis
MHS589	3 Bac (VV:LM:PS)	VV-LM-PS_002	pos-ctrl	RNA	TRUE	FALSE	technical replicate analysis
MHS590	3 Bac (VV:LM:PS)	VV-LM-PS_003	pos-ctrl	RNA	TRUE	FALSE	technical replicate analysis
MHS593	SMT027_Ac	SMT027	Ac	RNA	TRUE	TRUE	re-sequenced
MHS594	SMT026_Ch	SMT026	Ch	RNA	TRUE	TRUE	re-sequenced
MHS598	SMT005_Sc	SMT005	Sc	RNA	FALSE	TRUE	re-sequenced
MHS602	Neg007	Neg007	neg-ctrl	RNA	FALSE	FALSE	
MHS592	SMT007_Ac	SMT007	Ac	DNA	FALSE	FALSE	re-sequenced
